source,relation,target,domain,provenance,book_page
RM-01,defines,identification,rhetoric,burke-direct,19
RM-01,defines,consubstantiality,rhetoric,burke-direct,21
RM-01,defines,division,rhetoric,burke-direct,22
RM-01,defines,property (identifying nature),rhetoric,burke-direct,23
RM-01,defines,attitude as incipient act,rhetoric,burke-direct,42
RM-01,defines,realistic function of rhetoric,rhetoric,burke-direct,43
RM-01,defines,rhetoric as addressed,rhetoric,burke-direct,38
identification,identifies-with,A identified with B (shared interests),rhetoric,burke-direct,20
identification,consubstantial-with,consubstantiality (substantially one),rhetoric,burke-direct,21
consubstantiality,extends,substance as act / acting-together,rhetoric,burke-direct,21
identification,qualifies,division (compensatory-to),rhetoric,burke-direct,22
identification,extends,transformation / reidentification,rhetoric,burke-direct,20
identification,extends,persuasion (reduced to wider term),rhetoric,burke-direct,46
identification,extends,communication (rhetoric as addressed),rhetoric,burke-direct,46
identification,extends,property (identification by),rhetoric,burke-direct,24
property,qualifies,Avarice as property-translated-into-attitude,rhetoric,burke-direct,24
property,identifies-with,economic class (Belonging is rhetorical),rhetoric,burke-direct,28
identification,qualifies,the autonomous (not free from identification),rhetoric,burke-direct,27
identification,qualifies,identification by default (autonomy of art/science),rhetoric,burke-direct,26
science as agency,identifies-with,scenes/acts/agents/purposes,rhetoric,burke-direct,29
identification,qualifies,unavowed theological identification,rhetoric,burke-direct,30
identification,extends,scapegoat (secularized Divine Scapegoat),rhetoric,burke-direct,31
identification,qualifies,ingenuous vs cunning identifications,rhetoric,burke-direct,35
rhetoric,extends,rhetorica utens / rhetorica docens,rhetoric,burke-direct,36
rhetoric as addressed,extends,self-address (I addressing its me),rhetoric,burke-direct,38
rhetoric as addressed,extends,socialization (voice-within),rhetoric,burke-direct,39
rhetoric,contests,magic as bad-science (scientist antithesis),rhetoric,burke-direct,41
magic,qualifies,faulty derivation of rhetoric,rhetoric,burke-direct,42
magic,extends,primitive rhetoric (social cohesion),rhetoric,burke-direct,43
rhetorical language,qualifies,inducement to action or attitude,rhetoric,burke-direct,42
consubstantiality,qualifies,identification of unequal status -> magic/mystery (seed),rhetoric,burke-direct,48
RM-01,cites,Aristotle (rhetoric proves opposites),rhetoric,burke-direct,25
RM-01,cites,Aristotle (Art of Rhetoric / docens),rhetoric,burke-direct,36
RM-01,cites,Marx / Marxism (capitalistic rhetoric),rhetoric,burke-direct,24
RM-01,cites,Veblen (theorist of rhetoric),rhetoric,burke-direct,28
RM-01,cites,Freud (Wit and the Unconscious; psyche-as-parliament),rhetoric,burke-direct,38
RM-01,cites,G. H. Mead (I addressing its me),rhetoric,burke-direct,38
RM-01,cites,Kluckhohn (Navaho Witchcraft),rhetoric,burke-direct,40
RM-01,cites,Kardiner (The Individual and His Society),rhetoric,burke-direct,39
RM-01,cites,Cassirer (The Myth of the State),rhetoric,burke-direct,40
RM-01,cites,Malinowski (magic as social cohesion),rhetoric,burke-direct,43
RM-01,cites,Coleridge (Religious Musings; property),rhetoric,burke-direct,24
RM-01,cites,Stendhal (Julien Sorel) / Moliere (Tartuffe) / Shakespeare (Iago),rhetoric,burke-direct,36
RM-01,extends,Grammar of Motives (substance -> identification),rhetoric,burke-direct,21
RM-01,bridges-to-pipeline,A Grammar of Motives (Burke 1945) GM-08/GM-02 substance,cross-pipeline,burke-direct,21
RM-01,bridges-to-pipeline,In-Game (Calleja 2011) IG-10 incorporation,cross-pipeline,anticipatory-projection,21
RM-01,bridges-to-pipeline,In-Game (Calleja 2011) IG-06 Shared involvement,cross-pipeline,anticipatory-projection,28
consubstantiality,maps-to-pim-dimension,Incorporation (dual-axis absorption),game-behavior,anticipatory-projection,21
identification,maps-to-pim-dimension,Shared involvement (avatar/guild/faction/playerbase),game-behavior,anticipatory-projection,28
attitude as incipient act,maps-to-pim-dimension,Affective involvement,game-behavior,anticipatory-projection,42
identification by interests,maps-to-pim-dimension,Ludic involvement (goal-alignment),game-behavior,anticipatory-projection,25
consubstantiality,maps-to-pentad-term,Act (acting-together),pentad,anticipatory-projection,21
identification,maps-to-pentad-term,Agent (individual locus of motives),pentad,anticipatory-projection,20
attitude as incipient act,maps-to-pentad-term,Attitude (6th term),pentad,anticipatory-projection,42
science as agency,maps-to-pentad-term,Agency,pentad,anticipatory-projection,29
Avarice (property-as-attitude),maps-to-pentad-term,Scene (scenic word property),pentad,anticipatory-projection,24
