source,relation,target,domain,provenance,book_page
RM-07,defines,pure persuasion,rhetoric,burke-direct,267
RM-07,defines,self-interference (standoffishness),rhetoric,burke-direct,269
RM-07,defines,ultimate identification,rhetoric,burke-direct,328
RM-07,defines,the Kill / victimage,rhetoric,burke-direct,252
RM-07,defines,god-term (title-of-titles),rhetoric,burke-direct,275
RM-07,defines,socioanagogic method,rhetoric,burke-direct,296
RM-07,defines,range of mountings,rhetoric,burke-direct,301
RM-07,defines,Ersatzmystik,rhetoric,burke-direct,331
RM-07,defines,hierarchic psychosis,rhetoric,burke-direct,278
RM-07,defines,Order-Secret-Kill triad,rhetoric,burke-direct,260
RM-07,defines,principle of the oxymoron,rhetoric,burke-direct,324
RM-07,defines,pontification (bridging device),rhetoric,burke-direct,298
RM-07,defines,attitudinal glow (mystic state),rhetoric,burke-direct,331
RM-07,defines,katharma (sacred-loathsome scapegoat),rhetoric,burke-direct,328
RM-07,defines,homo dialecticus,rhetoric,burke-direct,283
RM-07,extends,identification,rhetoric,burke-direct,266
RM-07,extends,consubstantiality,rhetoric,burke-direct,266
RM-07,extends,hierarchy,rhetoric,burke-direct,260
RM-07,extends,mystery,rhetoric,burke-direct,298
RM-07,extends,courtship,rhetoric,burke-direct,268
RM-07,extends,terministic screen,rhetoric,burke-direct,299
RM-07,extends,Attitude (6th term),rhetoric,burke-direct,331
RM-07,identifies-with,pure persuasion,courtship,rhetoric,burke-direct,271
pure persuasion,identifies-with,god-term (title-of-titles),rhetoric,burke-direct,276
pure persuasion,qualifies,courtship,rhetoric,burke-direct,271
ultimate identification,consubstantial-with,mystical union,rhetoric,burke-direct,326
ultimate identification,extends,identification,rhetoric,burke-direct,326
the Kill / victimage,extends,hierarchy,rhetoric,burke-direct,260
consubstantiality through shared sacrifice,extends,consubstantiality,rhetoric,burke-direct,266
RM-07,cites,William James (Varieties of Religious Experience),rhetoric,burke-direct,328
RM-07,cites,Henry James (Spoils of Poynton),rhetoric,burke-direct,294
RM-07,cites,Gerard Manley Hopkins,rhetoric,burke-direct,313
RM-07,cites,W. B. Yeats (Byzantium poems),rhetoric,burke-direct,316
RM-07,cites,T. S. Eliot (Quartets),rhetoric,burke-direct,318
RM-07,cites,Kierkegaard,rhetoric,burke-direct,252
RM-07,cites,Malinowski (phatic communion),rhetoric,burke-direct,270
RM-07,cites,Kant (pure practical reason),rhetoric,burke-direct,308
RM-07,cites,Austin Warren (Rage for Order),rhetoric,burke-direct,296
RM-07,cites,Dante (Purgatorio/Inferno),rhetoric,burke-direct,302
RM-07,cites,Luther (Christ as katharma),rhetoric,burke-direct,328
RM-07,contests,Kierkegaard (theology of the Kill),rhetoric,burke-direct,252
RM-07,contests,Kierkegaard (Absurd as foundational),rhetoric,burke-direct,254
RM-07,contests,psychoanalysis (concealing hierarchic motive),rhetoric,burke-direct,280
RM-07,bridges-to-pipeline,RM-01 (identification arc completion),rhetoric,burke-direct,266
RM-07,bridges-to-pipeline,RM-06 (courtship as pure persuasion ground),rhetoric,burke-direct,268
RM-07,maps-to-pim-dimension,Incorporation (Calleja),game-behavior,anticipatory-projection,328
RM-07,maps-to-pim-dimension,Shared involvement (Calleja),game-behavior,anticipatory-projection,266
RM-07,maps-to-pim-dimension,Ludic involvement (Calleja),game-behavior,anticipatory-projection,267
RM-07,maps-to-pim-dimension,Affective involvement (Calleja),game-behavior,anticipatory-projection,313
RM-07,maps-to-pim-dimension,Performative involvement (Calleja),game-behavior,anticipatory-projection,270
RM-07,maps-to-pim-dimension,Spatial involvement (Calleja),game-behavior,anticipatory-projection,294
RM-07,maps-to-pim-dimension,Narrative involvement (Calleja),game-behavior,anticipatory-projection,299
RM-07,maps-to-pentad-term,Purpose,dramatism,anticipatory-projection,260
RM-07,maps-to-pentad-term,Act,dramatism,anticipatory-projection,267
RM-07,maps-to-pentad-term,Attitude (6th term),dramatism,anticipatory-projection,331
pure persuasion,maps-to-pim-dimension,Ludic involvement (Calleja),game-behavior,anticipatory-projection,267
ultimate identification,maps-to-pim-dimension,Incorporation (Calleja),game-behavior,anticipatory-projection,328
the Kill / victimage,maps-to-pim-dimension,Shared involvement (Calleja),game-behavior,anticipatory-projection,266
attitudinal glow (mystic state),maps-to-pentad-term,Attitude (6th term),dramatism,anticipatory-projection,331
