source,relation,target,locus,provenance,note
§58,defines,captivation,(p.238 / GA pp.346 / pdf 131),faithful,"Benommenheit named as the essential structure of animality; 'the animal can only behave insofar as it is essentially captivated'."
§58,glosses-german,behaviour,(p.237 / GA pp.345 / pdf 130),faithful,"Benehmen/Sichbenehmen = the animal's manner of being, a driven performing (Treiben); set against human comportment (Verhalten) as action."
behaviour,contests,comportment,(p.237 / GA pp.345 / pdf 130),faithful,"Behaviour and comportment are 'fundamentally different from one another'; the animal behaves, it does not comport itself toward."
captivation,grounds-question,behaviour,(p.239 / GA pp.347 / pdf 131),faithful,"Captivation is 'the inner possibility of behaviour as such', not a state accompanying it."
§59,instances-in-text,captivation,(p.242 / GA pp.353 / pdf 133),faithful,"Bee with severed abdomen carries on sucking — proves no recognition of presence; the bee is 'taken [hingenommen] by its food'."
§59,interprets-experiment-finding,being taken,(p.243 / GA pp.354 / pdf 133),faithful,"Driven being-taken excludes recognition of presence and prevents 'taking up a position over and against' the food (Bethe/Rádl sun-orientation experiments)."
captivation,defines,apprehending,(p.247 / GA pp.360 / pdf 135),faithful,"Captivation = having every apprehending [Vernehmen] of something as something withheld [genommen]; 'no apprehending, but only a behaving [Benehmen]'."
captivation,discloses,the animal does not stand within a manifestness of beings,(p.248 / GA pp.361 / pdf 136),faithful,"Beings are neither disclosed to nor closed off from the animal; captivation 'stands outside this possibility'."
behaviour,deepens-into,eliminative character,(p.250 / GA pp.363-65 / pdf 137),faithful,"Behaviour shows an eliminative character (Beseitigen) — devouring or avoidance; the other is there only as prey/partner, in a form of 'away' (weg)."
§60,defines,disinhibiting ring,(p.253 / GA pp.369-70 / pdf 139),faithful,"The animal surrounds itself with an Enthemmungsring that prescribes what can occasion its behaviour; 'nothing else can ever penetrate the ring'."
disinhibiting ring,extends,captivation,(p.255 / GA pp.370 / pdf 139),faithful,"Self-encirclement (Sich-Einringen) open to disinhibition is not encapsulation but the very structure of captivated behaviour; borne along as long as the animal lives."
disinhibition,qualifies,irritability / ability to be stimulated,(p.255 / GA pp.372 / pdf 140),faithful,"Heidegger inverts the order: stimulation is possible only where there is prior disinhibition and intrinsic encirclement (against Johannes Müller's Reizbarkeit)."
captivation,defines,the organism,(p.258 / GA pp.376 / pdf 141),faithful,"'The organism is the capability for behaviour in the unity of captivation'; 'Captivation is the fundamental essence of the organism'."
the organism,contests,Buytendijk,(p.258 / GA pp.376 / pdf 141),faithful,"Against Buytendijk's 'almost as intimate as the unity of the body itself': the body's unity is grounded in the unity of captivation."
§61,cites,Hans Driesch,(p.261 / GA pp.380-82 / pdf 143),faithful,"First decisive biological step: sea-urchin embryology establishes wholeness (Ganzheit)."
§61,contests,neovitalism / entelechy,(p.262 / GA pp.382 / pdf 143),faithful,"Driesch's neovitalism (appeal to a force/entelechy) repudiated; 'vitalism is just as dangerous as mechanism'."
§61,cites,Jakob Johann von Uexküll,(p.261 / GA pp.380 / pdf 143),faithful,"Second decisive biological step: research on how the animal is bound to its environment (Umwelt)."
environing world / environment,glosses-german,disinhibiting ring,(p.263 / GA pp.383 / pdf 144),faithful,"Uexküll's Umwelt 'means nothing other than what we have characterized as the disinhibiting ring'; the engagement is fruitful but the human world must not be spoken of the same way."
captivation,temporalizes-as,motility,(p.265 / GA pp.385-86 / pdf 145),faithful,"'Captivation is at the same time motility' (Bewegtheit) — an intrinsically determinate motility that unfolds or atrophies; interpretation incomplete without the life-process and death."
captivation,grounds-question,poverty in world,(p.272 / GA pp.396 / pdf 148),faithful,"Removal of the self-objection: captivation is the condition of the possibility of poverty in world — and of a 'merely comparative' definition from the human standpoint, not the reverse."
poverty in world,concedes,world-forming,(p.270 / GA pp.393 / pdf 147),faithful,"Self-objection (§63): 'deprivation' presupposes some knowledge of world; poverty-in-world is conceived only by comparison with man's world-formation, so the thesis 'goes too far'."
poverty in world,instances-in-text,profound boredom,(p.273 / GA pp.396 / pdf 148),faithful,"The not-having of world was developed under the guidance of the fundamental attunement of profound boredom, 'that as a whole which profound boredom itself manifests to us'."
§63,marginal-note,Heidegger-on-Uexkull-in-BT-and-FCM.md,(p.263 / GA pp.383 / pdf 144),faithful,"Cross-reference: companion asset tmp/heidegger-uexkull-bt-report/Heidegger-on-Uexkull-in-BT-and-FCM.md documents the BT-side genealogy (von Baer, privative method, zero BT Uexküll citations) that this FCM Umwelt=disinhibiting-ring engagement completes."
