source,target,relation,domain,weight,units,evidence
τὸ διαφανές,χρῶμα,explains,natural-philosophical,1.0,"SS-01","Colour is the limit of the transparent in determinately bounded bodies (439b10-14)"
φῶς,τὸ διαφανές,operationalizes,natural-philosophical,0.9,"SS-01","Light is the actuality of the transparent qua transparent (439a18-22)"
σκότος,φῶς,contrasts_with,natural-philosophical,0.7,"SS-01","Darkness is the privation of light in the transparent (439a22)"
μῖξις,χρῶμα,explains,natural-philosophical,0.9,"SS-01","Intermediate colours generated by genuine mixture of white and black (440a15-b25)"
παράθεσις,μῖξις,contrasts_with,natural-philosophical,0.6,"SS-01","Juxtaposition rejected in favour of genuine mixture (440a15-b25)"
χυμός,χρῶμα,supports,natural-philosophical,0.7,"SS-01","Savour stands to the moist as colour stands to the transparent; seven species of each (442a10-25)"
αἴσθησις,soul-body conjunction,depends_on,psychological,1.0,"SS-01","Sensation is generated in the soul through the medium of the body (436b1-8)"
τὰ ἴδια αἰσθητά,τὰ κοινὰ αἰσθητά,contrasts_with,psychological,0.8,"SS-01,SS-02","Each sense has proper objects; common sensibles are perceived by multiple senses (437a8-10; 442b5-15)"
χυμός,τὸ ὑγρόν,depends_on,natural-philosophical,0.8,"SS-01","Savour is the sapid dry actualizing the moist (441b15-22)"
ὄψις,τὸ διαφανές,depends_on,natural-philosophical,0.8,"SS-01","Vision requires the transparent medium; the eye is water because water is transparent (438b5-25)"
ὀσμή,χυμός,depends_on,natural-philosophical,0.7,"SS-02","Nutritive odours run parallel to savours (443b-444a1)"
ὀσμή,τὸ διαφανές,depends_on,natural-philosophical,0.5,"SS-02","Smell's object appertains to both tangible and transparent (445a5-15)"
δύναμις/ἐνέργεια,perceptual threshold,explains,ontological,0.9,"SS-02","Sensible qualities exist potentially below threshold; actually at sufficient scale (446a20-b20)"
κοινὴ αἴσθησις,simultaneous perception,explains,psychological,0.9,"SS-02","Simultaneous perception requires a numerically one faculty different in being (448a10-449a20)"
compound perception,simultaneous perception,refines,psychological,0.7,"SS-02","Equal heterogeneous stimuli produce compound rather than simple perception (447b25-448a1)"
finite sensible species,χρῶμα (ratio-mixture),presupposes,ontological,0.6,"SS-01,SS-02","Sensible qualities limited in species underwrites the seven determinate colour species (446a20-b5)"
