source,target,relation,domain,weight,units,evidence
ὄρεξις,κίνησις (animal locomotion),explains,psychological-causal,1.0,"MA-01","Desire is the proximate efficient cause of all animal locomotion (700b17-19; 701a1)"
φαντασία,ὄρεξις,operationalizes,psychological-causal,0.9,"MA-01","Phantasia presents objects to desire as a faculty of discrimination (700b19-21)"
τὸ ἀγαθόν,ὄρεξις,presupposes,teleological,0.9,"MA-01","The good (actual or apparent) is the final cause that initiates desire (700b25-29)"
practical syllogism,action (conclusion),explains,logical-practical,1.0,"MA-01","Universal major + particular minor yields action as conclusion — not proposition (701a13-23)"
ὄρεξις,practical syllogism,operationalizes,logical-practical,0.8,"MA-01","Desire supplies the major premise; perception/phantasia supplies the minor (701a29-33)"
τὸ κινοῦν ἀκίνητον,κίνησις,presupposes,cosmological,0.7,"MA-01","All locomotion requires an immovable ground; unmoved mover grounds all motion (699a14-20)"
point of rest,κίνησις (animal),depends_on,cosmological,0.7,"MA-01","Every animal requires internal immovable point + external immovable ground (698a14-698b5)"
σύμφυτον πνεῦμα,ὄρεξις → limbs,explains,physiological,0.8,"MA-01","Pneuma transmits desire's motive force through expansion/contraction (703a9-23)"
αἴσθησις,φαντασία,supports,psychological,0.7,"MA-01","Imagination depends either upon thinking or upon sense-perception (702a19-20)"
φαντασία,ἀλλοίωσις (bodily),explains,physiological,0.8,"MA-01","Imaginations and sensations cause heating/chilling in the body (701b16-32)"
φαντασία,involuntary movement,refines,physiological,0.7,"MA-01","Phantasia moves heart and genitals without express mandate of intellect (703b6-8)"
ψυχή,σύμφυτον πνεῦμα,depends_on,physiological,0.6,"MA-01","Spirit stands to soul-origin as moved joint-point stands to unmoved (703a13-14)"
ὄρεξις,ἐπιθυμία/θυμός/βούλησις,contrasts_with,psychological-causal,0.5,"MA-01","Desire as genus encompasses appetite spirit and wish as species (700b22-23)"
