rcode,term,item,codes,disputed,agree_jaccard,evidence
S25-R001,S25,Q10,E-SHA;G6-USECASE,,,
S25-R001,S25,Q5,D2-A3;E-NAR,,,
S25-R001,S25,Q6,G4-INTERACT;G5-GUIDE,,,
S25-R001,S25,Q9,E-LUD;G3-CONTENT;G4-INTERACT,,,
S25-R002,S25,Q10,E-SHA;G6-USECASE,,,
S25-R002,S25,Q5,X-OFFTOPIC,,,
S25-R002,S25,Q6,E-SHA,,,
S25-R003,S25,Q10,G6-USECASE,,,
S25-R003,S25,Q5,D2-A3;D3-A3A4;E-SHA,,,
S25-R003,S25,Q6,G5-GUIDE,,,
S25-R003,S25,Q9,E-LUD;G4-INTERACT;G5-GUIDE,,,
S25-R004,S25,Q6,X-OFFTOPIC,,,
S25-R005,S25,Q10,X-EMPTY,,,
S25-R005,S25,Q5,X-EMPTY,,,
S25-R005,S25,Q6,X-EMPTY,,,
S25-R005,S25,Q9,X-EMPTY,,,
S25-R006,S25,Q10,G6-USECASE,,,
S25-R006,S25,Q5,H-NEW-lecture,,,
S25-R006,S25,Q6,X-OFFTOPIC,,,
S25-R006,S25,Q9,A1.hw;G2-OPTIMIZE,,,my computer ran it very slowly
S25-R007,S25,Q10,G6-USECASE,,,
S25-R007,S25,Q5,D2-A3,,,
S25-R007,S25,Q6,X-OFFTOPIC,,,
S25-R007,S25,Q9,G4-INTERACT,,,
S25-R008,S25,Q10,X-EMPTY,,,
S25-R008,S25,Q5,X-OFFTOPIC,,,
S25-R008,S25,Q6,X-OFFTOPIC,,,
S25-R008,S25,Q9,X-EMPTY,,,
S25-R009,S25,Q10,A1.other;A4-DIV;E-AFF,,,it is not doing much to help
S25-R009,S25,Q5,H-NEW-lecture,,,
S25-R009,S25,Q6,X-OFFTOPIC,,,
S25-R009,S25,Q9,X-EMPTY,,,
S25-R010,S25,Q10,G6-USECASE,,,
S25-R010,S25,Q5,H-NEW-lecture;X-OFFTOPIC,,,
S25-R010,S25,Q6,A1.hw;B1-FALLBACK;G5-GUIDE,,,can't play it due to disk space or hardware capabilities
S25-R010,S25,Q9,E-SPA;G5-GUIDE,,,
S25-R011,S25,Q10,G6-USECASE,,,
S25-R011,S25,Q5,D2-A3;E-NAR,,,
S25-R011,S25,Q6,G4-INTERACT;X-OFFTOPIC,,,
S25-R011,S25,Q9,G3-CONTENT;G4-INTERACT,,,
S25-R012,S25,Q10,G6-USECASE,,,
S25-R012,S25,Q5,E-NAR;E-SHA,,,
S25-R012,S25,Q6,D1-A2;G2-OPTIMIZE;G3-CONTENT,,,
S25-R012,S25,Q9,D1-A2;G3-CONTENT;G5-GUIDE,,,
S25-R013,S25,Q10,E-SHA;G6-USECASE,,,
S25-R013,S25,Q5,D2-A3;E-NAR,,,
S25-R013,S25,Q6,A1.lag;X-OFFTOPIC,,,difficulty with the VR platform format and it loading properly
S25-R013,S25,Q9,A1.install;A1.lag;B1-FALLBACK;G2-OPTIMIZE;G3-CONTENT,,,the video would have trouble loading properly
S25-R014,S25,Q10,X-EMPTY,,,
S25-R014,S25,Q5,D3-A3A4;E-NAR,,,
S25-R014,S25,Q6,X-OFFTOPIC,,,
S25-R014,S25,Q9,G4-INTERACT,,,
S25-R016,S25,Q10,E-SHA;G6-USECASE,,,
S25-R016,S25,Q5,X-OFFTOPIC,,,
S25-R016,S25,Q6,A3-MONOTONY;G3-CONTENT,,,Some of the videos were repetitive
S25-R016,S25,Q9,A1.dark;C3-LENGTH;G3-CONTENT,,,often hard to see what was going on
S25-R017,S25,Q10,G6-USECASE,,,
S25-R017,S25,Q5,D2-A3;H-NEW-lecture,,,
S25-R017,S25,Q6,C1-DRAG;D2-A3;G3-CONTENT,,,the videos felt too long
S25-R017,S25,Q9,C3-LENGTH;E-SPA;G3-CONTENT,,,
S25-R018,S25,Q10,G6-USECASE,,,
S25-R018,S25,Q5,D2-A3;E-AFF,,,
S25-R018,S25,Q6,A1.nav,,,"""a bit annoying to go through"""
S25-R018,S25,Q9,G2-OPTIMIZE,,,
S25-R019,S25,Q10,G6-USECASE,,,
S25-R019,S25,Q5,D2-A3;E-LUD,,,
S25-R019,S25,Q6,X-OFFTOPIC,,,
S25-R019,S25,Q9,X-EMPTY,,,
S25-R020,S25,Q10,E-SHA;G6-USECASE,,,
S25-R020,S25,Q5,X-OFFTOPIC,,,
S25-R020,S25,Q6,X-OFFTOPIC,,,
S25-R020,S25,Q9,B1-FALLBACK,,,
S25-R021,S25,Q10,E-SHA;G6-USECASE,,,
S25-R021,S25,Q5,A1.nav;A4-DIV,,,"""wasn't super useful in my opinion. It was harder to navigate"""
S25-R021,S25,Q6,A1.nav,,,"""made t harder to understand and navigate the assignmentsI and videos"""
S25-R021,S25,Q9,G5-GUIDE,,,
S25-R022,S25,Q10,G6-USECASE,,,
S25-R022,S25,Q5,X-OFFTOPIC,,,
S25-R022,S25,Q6,A3-MONOTONY;G3-CONTENT,,,"""monotonous and boring"""
S25-R022,S25,Q9,A4-DIV;D1-A2,,,"""amazing, the videos and images that come with it not so much"""
S25-R023,S25,Q10,G6-USECASE,,,
S25-R023,S25,Q5,D2-A3,,,
S25-R023,S25,Q6,G3-CONTENT;G4-INTERACT,,,
S25-R023,S25,Q9,X-EMPTY,,,
S25-R024,S25,Q10,E-SHA;G6-USECASE,,,
S25-R024,S25,Q5,E-LUD,,,
S25-R024,S25,Q6,G5-GUIDE,,,
S25-R024,S25,Q9,G5-GUIDE,,,
S25-R025,S25,Q10,G6-USECASE,,,
S25-R025,S25,Q5,D2-A3;E-AFF;E-NAR,,,
S25-R025,S25,Q6,X-OFFTOPIC,,,
S25-R025,S25,Q9,D2-A3;E-NAR,,,
S25-R026,S25,Q10,G6-USECASE,,,
S25-R026,S25,Q5,X-OFFTOPIC,,,
S25-R026,S25,Q6,X-OFFTOPIC,,,
S25-R026,S25,Q9,G2-OPTIMIZE,,,
S25-R027,S25,Q10,G6-USECASE,,,
S25-R027,S25,Q5,X-OFFTOPIC,,,
S25-R027,S25,Q6,G2-OPTIMIZE;G5-GUIDE,,,
S25-R027,S25,Q9,X-NONUSE,,,
S25-R028,S25,Q10,E-SHA;G6-USECASE,,,
S25-R028,S25,Q5,D2-A3;E-NAR;F1-PRESENCE,,,"""make it seem like we were in the procedure"""
S25-R028,S25,Q6,G5-GUIDE,,,
S25-R028,S25,Q9,A1.crash;A1.lag;G2-OPTIMIZE,,,"""even at the lowest settings, it was hard to run"""
S25-R029,S25,Q10,F1-PRESENCE;G6-USECASE,,,"""really there, so you remember more"""
S25-R029,S25,Q5,E-LUD,,,
S25-R029,S25,Q6,X-OFFTOPIC,,,
S25-R029,S25,Q9,G3-CONTENT;G4-INTERACT;G5-GUIDE,,,
S25-R030,S25,Q10,E-SHA;G6-USECASE,,,
S25-R030,S25,Q5,D2-A3,,,
S25-R030,S25,Q6,A1.nav,,,"""great but still a little confusing"""
S25-R030,S25,Q9,G4-INTERACT,,,
S25-R031,S25,Q10,G6-USECASE,,,
S25-R031,S25,Q5,D2-A3;E-AFF;F3-CARRY,,,
S25-R031,S25,Q6,X-OFFTOPIC,,,
S25-R031,S25,Q9,A1.prox;D1-A2;G4-INTERACT;G5-GUIDE,,,"""surgical screen far in the back which made it hard to see"""
S25-R032,S25,Q10,G6-USECASE,,,
S25-R032,S25,Q5,D2-A3,,,
S25-R032,S25,Q6,X-OFFTOPIC,,,
S25-R032,S25,Q9,G2-OPTIMIZE,,,
S25-R033,S25,Q10,E-LUD;E-SHA;G6-USECASE,,,
S25-R033,S25,Q5,D2-A3,,,
S25-R033,S25,Q6,A1.lag;G2-OPTIMIZE,,,"""my laptop sounded like it was about to blow up"""
S25-R033,S25,Q9,G5-GUIDE,,,
S25-R034,S25,Q10,A1.hw;G6-USECASE,,,"""When VR headsets are more common in the future"""
S25-R034,S25,Q5,D2-A3,,,
S25-R034,S25,Q6,A1.install;B1-FALLBACK,,,"""too cumbersome to get working on your computer"""
S25-R034,S25,Q9,X-EMPTY,,,
S25-R035,S25,Q10,G6-USECASE,,,
S25-R035,S25,Q5,D2-A3,,,
S25-R035,S25,Q6,C3-LENGTH;G5-GUIDE,,,
S25-R035,S25,Q9,G5-GUIDE,,,
S25-R036,S25,Q10,E-AFF;E-SHA;G6-USECASE,,,
S25-R036,S25,Q5,X-OFFTOPIC,,,
S25-R036,S25,Q6,X-OFFTOPIC,,,
S25-R036,S25,Q9,X-NONUSE,,,
S25-R037,S25,Q10,E-AFF;E-LUD;E-SHA;G6-USECASE,,,
S25-R037,S25,Q5,D2-A3;E-NAR,,,
S25-R037,S25,Q6,X-OFFTOPIC,,,
S25-R037,S25,Q9,A1.crash;G4-INTERACT,,,"""the platform would glitch"""
S25-R038,S25,Q10,G6-USECASE,,,
S25-R038,S25,Q5,D2-A3;E-NAR;F3-CARRY,,,
S25-R038,S25,Q6,X-OFFTOPIC,,,
S25-R038,S25,Q9,E-SHA;G4-INTERACT;G5-GUIDE,,,
S25-R039,S25,Q10,G6-USECASE,,,
S25-R039,S25,Q5,D2-A3;E-LUD,,,
S25-R039,S25,Q6,A1.install;B1-FALLBACK,,,"""the vr learning platform wasn't accessible"""
S25-R039,S25,Q9,A1.install;X-NONUSE,,,"""it didn't work on my apple computer"""
S25-R040,S25,Q10,E-SHA;G6-USECASE,,,
S25-R040,S25,Q5,D2-A3;E-LUD,,,
S25-R040,S25,Q6,X-OFFTOPIC,,,
S25-R040,S25,Q9,X-NONUSE,,,
S25-R041,S25,Q10,G6-USECASE,,,
S25-R041,S25,Q5,C3-LENGTH;D2-A3;D3-A3A4;G5-GUIDE,,,
S25-R041,S25,Q6,X-OFFTOPIC,,,
S25-R041,S25,Q9,G5-GUIDE,,,
S25-R042,S25,Q10,G6-USECASE,,,
S25-R042,S25,Q5,D2-A3,,,
S25-R042,S25,Q6,X-EMPTY,,,
S25-R042,S25,Q9,G4-INTERACT;G5-GUIDE,,,
S25-R043,S25,Q10,E-SHA;G6-USECASE,,,
S25-R043,S25,Q5,D2-A3,,,
S25-R043,S25,Q6,X-OFFTOPIC,,,
S25-R043,S25,Q9,G5-GUIDE,,,
S25-R044,S25,Q5,D2-A3;D3-A3A4;E-LUD,,,
S25-R045,S25,Q10,D3-A3A4;G4-INTERACT,,,
S25-R045,S25,Q5,X-OFFTOPIC,,,
S25-R045,S25,Q6,G3-CONTENT,,,
S25-R045,S25,Q9,D1-A2;E-SPA;G3-CONTENT;G4-INTERACT,,,
S25-R046,S25,Q10,G6-USECASE,,,
S25-R046,S25,Q5,D2-A3,,,
S25-R046,S25,Q6,X-OFFTOPIC,,,
