edge_id,contributor,source_type,source_id,relation,target_type,target_id,target_label,evidence_locus,strength,note
E01,Bowin,UNIT,AMT-01-BOWIN,anchors-in,ARISTOTLE-LOCUS,L37,Mem. 1.450a19-22 (prosaisthanetai),Bowin §3 + §intro,strong,"Signature anchor of the chapter; the prosaisthanetai passage carries the load of the circularity resolution"
E02,Bowin,UNIT,AMT-01-BOWIN,anchors-in,ARISTOTLE-LOCUS,L45,Mem. 2.452b30-453a4 (two-phantasmata account),Bowin §3,strong,"Cashes out the prosaisthanetai passage with the two-phantasmata mechanism"
E03,Bowin,UNIT,AMT-01-BOWIN,anchors-in,ARISTOTLE-LOCUS,L04,Phys. 4.11.219b1-2 (definition of time),Bowin §1 + §2,strong,"Centerpiece definition; Bowin reads 'number' as countable plurality not act of counting"
E04,Bowin,UNIT,AMT-01-BOWIN,anchors-in,ARISTOTLE-LOCUS,L03,Phys. 4.11.219a22-29 (soul says the nows are two),Bowin §1,strong,"Re-read as perceiving not counting nows"
E05,Bowin,UNIT,AMT-01-BOWIN,anchors-in,ARISTOTLE-LOCUS,L11,Phys. 4.14.223a21-29 (no soul no time),Bowin §5,strong,"Re-read as measurability not existence claim"
E06,Bowin,UNIT,AMT-01-BOWIN,anchors-in,ARISTOTLE-LOCUS,L32,DA 3.11.434a6-15 (deliberative phantasia),Bowin §4,strong,"Mechanism for determinate-time synthesis"
E07,Bowin,CONCEPT,C01,presupposes,CONCEPT,C06,Phantasma in De Memoria,Bowin §3,strong,"Perception of time presupposes phantasmata"
E08,Bowin,CONCEPT,C05,resolved-via,CONCEPT,C06,Phantasma in De Memoria,Bowin §3,strong,"Memory-time-perception circularity resolved via two-phantasmata account"
E09,Bowin,CONCEPT,C08,distinguishes-from,CONCEPT,C01,Perception of time,Bowin §4,strong,"Determinate/indeterminate-time distinction maps onto deliberative/perceptual phantasia"
E10,Bowin,CONCEPT,C09,distinguishes-from,CONCEPT,C10,Perceptual phantasia,Bowin §4,strong,"Deliberative phantasia vs perceptual phantasia"
E11,Bowin,UNIT,AMT-01-BOWIN,deploys,GREEK-TERM,G29,prosaisthanetai,Mem. 1.450a19-22,strong,"Bowin's signature verb; 'perceives in addition'"
E12,Bowin,UNIT,AMT-01-BOWIN,deploys,GREEK-TERM,G10,gnōrizein,Mem. 2.452b8-9,strong,"Contrast with aisthanesthai for the apprehension/perception distinction"
E13,Bowin,UNIT,AMT-01-BOWIN,deploys,GREEK-TERM,G06,arithmein,Phys. 4.14.223b13-24,strong,"Used in extended sense to mean measuring; reserved for nous"
E14,Bowin,UNIT,AMT-01-BOWIN,deploys,GREEK-TERM,G21,hōrismenon,Pseudo-Philoponus + Phys. 4.14,strong,"Determinate time as marked-off by regular motion"
E15,Bowin,UNIT,AMT-01-BOWIN,contests,MODERN-INTERLOCUTOR,Coope-2005,counting brings nows into existence,fn. 12 + fn. 18 + fn. 42,strong,"Bowin contests via Phys. 4.13.222a14 + Phys. 8.8.263a27-8"
E16,Bowin,UNIT,AMT-01-BOWIN,contests,MODERN-INTERLOCUTOR,Sorabji-2004,broader sense of perceive at Mem. 1.450a19-22,fn. 25,strong,"Sorabji's 'perceive used in broader sense' reading rejected"
E17,Bowin,UNIT,AMT-01-BOWIN,contests,MODERN-INTERLOCUTOR,Sorabji-1983,counting-mind-dependence of Phys. 4.14,fn. 12 + fn. 44,medium,"Sorabji 1983 modality-confusion reading insufficient"
E18,Bowin,UNIT,AMT-01-BOWIN,contests,MODERN-INTERLOCUTOR,Mignucci-1987,Phys. 4.14 as logical error,fn. 43,medium,"Mignucci's logical-error reading rejected in favor of measurability reading"
