source,target,relation,domain,weight,units,evidence
ῥητορική,διαλεκτική,counterpart_of,methodological,1.0,"RHET-01","Rhetoric is the antistrophos of dialectic (1354a1)"
ῥητορική,πίστις,depends_on,rhetorical,1.0,"RHET-01","Rhetoric defined as faculty of observing available means of persuasion (1355b25-26)"
ῥητορική,τέχνη,species_of,methodological,0.9,"RHET-01,RHET-05","Rhetoric is a genuine techne with rational structure; yet art must conceal itself (1355b25; 1404b18)"
πίστις,ἦθος,has_component,proof-structure,1.0,"RHET-01,RHET-03","Ethos is the first technical pistis (1356a1-13)"
πίστις,πάθος,has_component,proof-structure,1.0,"RHET-01,RHET-03","Pathos is the second technical pistis (1356a14-19)"
πίστις,λόγος,has_component,proof-structure,1.0,"RHET-01,RHET-04","Logos is the third technical pistis (1356a19-20)"
ἐνθύμημα,πίστις,operationalizes,rhetorical,1.0,"RHET-01,RHET-04","The enthymeme is the body (soma) of persuasion (1355a5-8)"
ἐνθύμημα,συλλογισμός,species_of,logical,0.95,"RHET-01","The enthymeme is a sort of deduction/sullogismos (1355a8)"
παράδειγμα,ἐπαγωγή,species_of,logical,0.95,"RHET-01","The example is rhetorical induction (1356a35-b1)"
ἐνθύμημα,εἰκός,depends_on,logical,0.9,"RHET-01,RHET-04","Probabilities (eikota) are one material basis of enthymemes (1357a30-32)"
ἐνθύμημα,σημεῖον,depends_on,logical,0.9,"RHET-01,RHET-04","Signs (semeia) are the other material basis of enthymemes (1357a30-32)"
τεκμήριον,σημεῖον,species_of,logical,0.9,"RHET-01,RHET-04","A tekmerion is an irrefutable species of semeion (1357b4-10)"
ῥητορική,δελιβερατιφ,has_species,rhetorical,0.9,"RHET-01,RHET-02","Deliberative oratory: future, the expedient (1358a36-b8)"
ῥητορική,φορενσιχ,has_species,rhetorical,0.9,"RHET-01,RHET-02","Forensic oratory: past, the just (1358a36-b8)"
ῥητορική,ἐπιδεικτικόν,has_species,rhetorical,0.9,"RHET-01,RHET-02","Epideictic oratory: present, the noble (1358a36-b8)"
εὐδαιμονία,deliberative,operationalizes,rhetorical,0.85,"RHET-02","Happiness is the end at which all deliberation aims (1360b4-14)"
ἀρετή,καλόν,explains,rhetorical,0.85,"RHET-02","Excellence is noble because it confers benefits; the noble is matter of epideictic (1366a33-b4)"
ἀδικία,forensic,operationalizes,rhetorical,0.85,"RHET-02","Wrong-doing is the central forensic concept (1368b1-9)"
