source,relation,target,locus,note
Wendt,contests,Heidegger:treatment of technology (essence beyond devices; industrial-only; technophobia),(p.84 / pdf 86),post-phenomenology critiques classical phenomenology's technology account
Ihde:post-phenomenology,extends,Heidegger:phenomenology of technology,(p.84 / pdf 86),critique + continuation applied to everyday/newer technologies
Ihde,contests,CLAIM:humans-over-nature (Promethean) and autonomous-technology (Frankenstein),(p.86 / pdf 88),both rejected for humans+technologies as interrelational and mutually co-constitutive
Ihde,defines,MEDIATION-RELATION:embodiment relations,(p.87 / pdf 89),object fully embodied; experienced THROUGH (eyeglasses; touch screen); kin to ready-to-hand
Ihde,defines,MEDIATION-RELATION:hermeneutic relations,(p.88 / pdf 90),user acts WITH the object; must be read/interpreted (thermometer; Twitter)
Ihde,defines,MEDIATION-RELATION:background relations,(p.89 / pdf 91),lack of conscious awareness; creates context for other relations (refrigerator)
Ihde,defines,MEDIATION-RELATION:alterity relations,(p.89 / pdf 91),technology becomes quasi-other / anthropomorphized (Siri)
Verbeek,glosses,MEDIATION-RELATION:background relations,(p.89 / pdf 91),"related neither explicitly to a technology nor via a technology to the world" (note 110)
Wendt,qualifies,MEDIATION-RELATION:background relations,(p.89 / pdf 91),Verbeek's conscious-awareness-only view too restrictive; difference is proximity/involvement
Verbeek,extends,Ihde:embodiment-hermeneutic distinction,(p.88 / pdf 90),the two are "extreme ends of a continuum" of mediation
Verbeek,contests,Heidegger:technology as the disclosure of worldly meaning,(p.90 / pdf 92),Ihde starts from individual-device interactions instead (note 111)
Ihde:four mediation relations,applies-to-design,DESIGN-PRINCIPLE:design for particular meanings not generic essence,(p.90 / pdf 92),each device discloses uniquely -> design for specific meanings
Harman:OOO,co-evolves-with,Ihde:post-phenomenology,(p.90 / pdf 92),OOO/ANT/thing-theory jointly recenter objects as design's focus (object studies)
Verbeek,defines,DESIGN-CONCEPT:technology-to...,(p.91 / pdf 93),an artifact's identity is given by its "to-..."; without people it is "junk" (note 114)
Heidegger,discloses,CLAIM:Dasein understands itself by way of the things it takes care of,(p.91 / pdf 93),self-understanding via the medium of objects (note 112)
Merleau-Ponty,glosses,CLAIM:body-thing-world unity,(p.92 / pdf 94),body known precisely only as it moves toward a thing (note 115)
Verbeek,defines,DESIGN-CONCEPT:mediation (technological intentionality / co-shaping),(p.94 / pdf 96),humans "not sovereign" but "inextricably interwoven"; subject+object concretely constituted (note 117)
Wendt,applies-to-design,DESIGN-PRINCIPLE:design for the object acting back,(p.94 / pdf 96),recognizing objects' active role is a crucial ethical responsibility (Airbnb)
DESIGN-CONCEPT:mediation,mediates,CLAIM:self-world relationship,(p.96 / pdf 98),mediators (not intermediaries) help constitute what is real for us (note 120)
DESIGN-CONCEPT:mediation,discloses,CLAIM:gun+user = "gunman" hybrid entity,(p.96 / pdf 98),mediation is constitutive, not a simple interplay; creates reality
DESIGN-CONCEPT:context,applies-to-design,DESIGN-PRINCIPLE:design at the level of systems,(p.96 / pdf 98),"with text"; automobile exists only within a context (note 119)
Schon,glosses,DESIGN-CONCEPT:design as reflective conversation,(p.98 / pdf 100),situation "talks back"; designer responds to its backtalk (note 122)
Latour,defines,DESIGN-CONCEPT:actant,(p.99 / pdf 101),human or non-human that imposes intention; tool = "extension of social skills to nonhumans" (note 123)
Latour,defines,DESIGN-CONCEPT:script / inscription,(p.100 / pdf 102),artifact's inscribed purpose that takes hold of passersby (note 124)
Latour,defines,DESIGN-CONCEPT:delegation,(p.100 / pdf 102),responsibility delegated to artifacts (speed bump; hotel key; seat belt) (note 125)
DESIGN-CONCEPT:delegation,designs-for,DESIGN-PRINCIPLE:delegate responsibly,(p.101 / pdf 103),offloads moral responsibility; "don't make me think" can strip agency (note 126)
Ihde,defines,DESIGN-CONCEPT:designer fallacy,(p.104 / pdf 106),"deistic" designer-god critique; design offers uses beyond intention (note 131)
Ihde:designer fallacy,extends,WimsattBeardsley:intentional fallacy,(p.104 / pdf 106),parallels literary-critical intentional fallacy
Gadamer,glosses,CLAIM:design outcomes are emergent,(p.105 / pdf 107),"a genuine conversation is never the one we wanted to conduct" (note 132)
Husserl,defines,DESIGN-CONCEPT:intentionality (consciousness OF something),(p.105 / pdf 107),grounds inextricable human-world connection (note 134)
Franssen,defines,DESIGN-CONCEPT:for-ness,(p.106 / pdf 108),technical artifacts' purpose "clings" after the maker leaves; natural objects only ephemerally for X (note 135)
Ihde,defines,DESIGN-CONCEPT:multistability,(p.109 / pdf 111),technology "is what it does"; takes shape by what it can do, not what it is
DESIGN-CONCEPT:multistability,qualifies,DESIGN-CONCEPT:designer intentionality,(p.110 / pdf 112),scripts assert some but context-varying influence; "are what they are only within context" (note 137)
Baudrillard,glosses,DESIGN-CONCEPT:schizofunctionality,(p.112 / pdf 114),functionality = integration into a system; split functionality serves many purposes (note 140)
Krippendorff,applies-to-design,DESIGN-CONCEPT:multistability,(p.112 / pdf 114),PC born by combining typewriter + TV screen as metaphors (note 141)
Ingold,glosses,DESIGN-CONCEPT:designer as trickster,(p.114 / pdf 116),"every object of design sets a trap"; management of imperfection (note 143)
DESIGN-CONCEPT:creative misuse,applies-to-design,DESIGN-PRINCIPLE:anticipate creative misuse,(p.115 / pdf 117),"mental model" shift (screwdriver-as-lever); identity depends on use (note 147)
Ingold,contests,CLAIM:designer/maker/user are rigorously distinct,(p.115 / pdf 117),"can design any longer be distinguished from making?" -> think in systems (note 146)
Heidegger,defines,DESIGN-CONCEPT:thing / thinging / gathering,(p.118 / pdf 120),"the jug is a thing insofar as it things"; thing = gathering of meaning (note 149)
Heidegger,discloses,CLAIM:the jug's void does the holding,(p.119 / pdf 121),unseen/immaterial gives shape to what is designed; design tangible+intangible (note 151)
Folkmann,glosses,CLAIM:material and immaterial both evoke meaning,(p.119 / pdf 121),design enters the human domain of creating/evoking meaning via both (note 152)
Latour,extends,DESIGN-CONCEPT:matters-of-fact -> matters-of-concern,(p.120 / pdf 122),objects turned into things rendered "objects of design through and through" (note 153)
Brown,defines,DESIGN-CONCEPT:thing theory (look-through / glimpse),(p.120 / pdf 122),we look through objects but glimpse things; thingness surfaces in breakdown (note 154)
Wendt,contests,Heidegger:object as a static gathering apart from the maker,(p.121 / pdf 123),(1) design at systems level; (2) object "things on its own" with multistable tendencies (note 156)
Boradkar,glosses,PHENOM-LINEAGE:phenomenology -> post-phenomenology -> object studies,(p.117 / pdf 119),capsule history of philosophies of things framing the progression (note 148)
DESIGN-CONCEPT:multistability,designs-for,DESIGN-PRINCIPLE:design for what the solution can be,(p.111 / pdf 113),"design metaphysics" question: what a solution is/should be/can be
