edge_id,source,relation,target,book_page,pdf_page,provenance,note
E-GM05-001,idealism,features-as-locus,Agent,171,192,exegetical,Core diagnostic: idealism features the term agent as motive-locus
E-GM05-002,materialism,features-as-locus,Scene,171,192,exegetical,Contrast pair invoked by Burke at chapter opening; full development in GM-04
E-GM05-003,Berkeley,exemplifies,idealism,177,198,exegetical,Berkeley as cleanest idealist exhibit per Burke
E-GM05-004,Berkeley,reduces,matter-to-ideas,178,199,exegetical,Esse is percipi; matter as unnecessary hypothesis via reversed Occamite parsimony
E-GM05-005,Berkeley,translates-scene-as,super-agent,180,201,exegetical,God as Almighty Agent; ultimate scene as scene-translated-into-terms-of-agent
E-GM05-006,esse-is-percipi,re-glosses-as,to-be-is-to-be-grounded-in-super-agent,180,201,exegetical,Burke's pentad-grammatical translation of Berkeley's foundational equation
E-GM05-007,Hume,narrows,Berkeleian-idealism,181,202,exegetical,Equates ideas with sensations; drops rationalist/intelligible side via parsimony
E-GM05-008,Hume,dismantles,causality-as-empirical,182,203,exegetical,Causality not empirically observable; arises from custom/habit
E-GM05-009,dramatist-cluster,falls-apart-in,Hume,183,204,exegetical,Reason/substance/cause/necessity/action/idea/God/Nature/generation/power cluster fractures
E-GM05-010,Hume,demands,medium,186,207,exegetical,The 'medium' that explains inference from observed-sequence to causal-necessity
E-GM05-011,Leibniz,treats-monad-as,atom-agent,184,205,exegetical,Substance with internal principle of self-development from implicit to explicit
E-GM05-012,Leibniz,anticipates,unconscious-psychologies,184,205,exegetical,Monad as precursor to modern depth-psychology of the unconscious
E-GM05-013,pre-established-harmony,solves,no-windows-coordination,184,205,exegetical,God as Monas Monadum adjusting monads via deus ex machina
E-GM05-014,Kant,equates,medium-with-agent,187,208,exegetical,Solves Hume by relocating causality from scene to universalized agent
E-GM05-015,universal-agent,distinguishes-from,particular-agent,187,208,exegetical,Not your-understanding or mine but 'the understanding' in general; yields objective necessity
E-GM05-016,sensibility,is-passive-aspect-of,universal-agent,188,209,exegetical,Receives intuitions; first pole of Kantian action-passion split
E-GM05-017,understanding,is-active-aspect-of,universal-agent,188,209,exegetical,Performs unification via concepts; second pole of action-passion split
E-GM05-018,transcendental-logic,locates-in,agent,189,210,exegetical,Conditions of possibility of knowledge in agent rather than in object
E-GM05-019,constitutive,equals,scene-narrowed-to-motion,191,212,exegetical,Burke's translation: empirical + transcendental together = mechanistic scene derived from agent
E-GM05-020,Coleridge,supplies,desynonymize-operation,192,213,exegetical,Biographia Literaria operation imaginatio/phantasia -> imagination/fancy
E-GM05-021,Kant,desynonymizes,transcendental-and-transcendent,192,213,exegetical,Strategic operation generating realm of things-in-themselves
E-GM05-022,transcendent-realm,equals,things-without-context,194,215,exegetical,Grammatically: relations as determinations; thing-without-relation is unconditioned
E-GM05-023,unconditioned,equals,realm-of-freedom,194,215,exegetical,Burke's pentad-grammatical mapping: undetermined yields freedom yields possibility of action
