edge_id,source_id,source_label,relation,target_id,target_label,domain,tier,page_anchor,provenance,note
ig04-e001,kinesthetic_involvement,Kinesthetic involvement,defines,agency_capability,Agency-as-capability (Giddens),game-studies,1,55-57,calleja-exegetical,Macro-phase opening establishes Giddens-inflected agency as the operative definition
ig04-e002,kinesthetic_involvement,Kinesthetic involvement,defines,control_continuum,Symbolic-mimetic-symbiotic continuum,game-studies,1,63-65,calleja-exegetical,Figure 4.3 typology is the chapter's primary analytic innovation
ig04-e003,agency_capability,Agency-as-capability (Giddens),replaces-prior-construct,agency_murray,Agency (Murray-Schott sense),game-studies,1,55-57,calleja-exegetical,Calleja keeps Murray's vocabulary but supplants her satisfaction-and-intention semantics
ig04-e004,agency_capability,Agency-as-capability (Giddens),extends,agency_local,Local agency (Mateas-Stern),game-studies,2,56-57,calleja-exegetical,Mateas-Stern's perceptible-effects requirement is retained but loosened
ig04-e005,agency_capability,Agency-as-capability (Giddens),extends,agency_global,Global agency (Mateas-Stern),game-studies,2,56-57,calleja-exegetical,Global agency reframed as a question of causal-chain knowledge not of agency itself
ig04-e006,kinesthetic_involvement,Kinesthetic involvement,cites,contingency_contrivance,Contrivance of contingency (Malaby),game-studies,1,57-58,calleja-exegetical,Malaby 2007 supplies the game-rules-vs-life-rules distinction
ig04-e007,contingency_contrivance,Contrivance of contingency (Malaby),defines,performance_risk_failure,Performance and risk of failure,game-studies,2,58,calleja-exegetical,Failure intrinsic to performative kinesthetic action
ig04-e008,kinesthetic_involvement,Kinesthetic involvement,operationalizes-via-game,gl_counter_strike,Counter-Strike: Source (Valve 2004),game-studies,1,55-58,calleja-exegetical,Worked example of agency-without-satisfaction (lobbed grenade kills teammates)
ig04-e009,kinesthetic_involvement,Kinesthetic involvement,operationalizes-via-game,gl_planetside,Planetside (SOE 2003),game-studies,1,56-71,calleja-exegetical,Persistent-MMOG exemplar of capability-not-intention agency; supplies most participant quotes
ig04-e010,kinesthetic_involvement,Kinesthetic involvement,operationalizes-via-game,gl_tetris,Tetris (Pajitnov 1985),game-studies,2,60,calleja-exegetical,Single-miniature focus interleaving kinesthetic-ludic-spatial sub-attention
ig04-e011,kinesthetic_involvement,Kinesthetic involvement,operationalizes-via-game,gl_empire_total_war,Empire: Total War (Creative Assembly 2009),game-studies,2,60-61,calleja-exegetical,Simultaneous-miniature command paradigm (Figure 4.1)
ig04-e012,kinesthetic_involvement,Kinesthetic involvement,operationalizes-via-game,gl_fifa,FIFA 2009 (EA Sports 2008),game-studies,2,61-63,calleja-exegetical,Avatar-miniature oscillation paradigm (Figure 4.2)
ig04-e013,kinesthetic_involvement,Kinesthetic involvement,operationalizes-via-game,gl_wii_sports,Wii Sports (Nintendo EAD 2006),game-studies,2,63-65,calleja-exegetical,Mimetic-control paradigm; boxing wholly mimetic baseball hybrid
ig04-e014,kinesthetic_involvement,Kinesthetic involvement,operationalizes-via-game,gl_kinect,Kinect-Project Natal (Microsoft 2010),game-studies,1,63-65,calleja-exegetical,Symbiotic-control paradigm; eliminate-the-controller design ambition
