concept,Fortenbaugh,Konstan,Moss-Akrasia,Moss-ApparentGood,Dow,tier
pathos / being-affected,1,1,1,1,1,1
doxastic account of the passions,1,1,0,1,1,1
phantastic account of the passions,0,0,1,1,1,1
affirmation (Dovian),0,0,0,0,1,1
apparent good (phainomenon agathon),0,0,1,1,0,1
value-appearance / evaluative phantasia,0,0,1,1,1,1
phantasia,0,1,1,1,1,1
doxa / belief,1,1,1,1,1,1
hupolepsis (supposition),0,1,1,1,1,1
krisis (judgment),1,1,0,1,1,1
constitutive-cognition question,1,1,0,1,1,1
recalcitrance / akrasia,0,0,1,1,1,1
sun-illusion test (DA III.3 428b),0,0,1,1,1,1
acceptance: default vs assent vs affirmation,0,0,1,1,1,1
seat of the passions (non-rational part),1,0,0,1,1,1
one-substrate-two-in-being (DA III.7 431a13-14),0,0,1,1,0,1
passions as pleasures and pains,1,1,0,0,1,1
Rhetoric II.1 generic definition,1,1,0,1,1,1
slight (oligoria) / per-emotion contents,1,1,0,1,1,1
social-relational / toward-whom structure,0,1,0,0,1,1
animals lack pathe 'in the proper sense',1,1,0,0,0,1
grief as a (non-)pathos,0,1,0,0,0,1
covering-over (epikalumma),0,0,1,1,1,1
conviction (pistis) / rhetorical proof,0,0,1,1,1,1
two-tier structure,0,0,0,1,1,1
un-Humean cognition-of-the-good,1,0,1,1,1,1
enmattered accounts (DA I.1 403a),1,1,1,1,1,1
pleasure perceived as good (epexegetical),0,0,1,1,0,1
katharsis / poetic emotion,1,0,0,1,1,2
bipartite (alogical/logical) psychology,1,0,1,0,0,2
deliberative vs perceptual phantasia,0,0,1,1,0,2
Stoic phantasia/synkatathesis comparison,0,0,1,1,1,2
melancholics (phantasia-prone),0,0,1,0,0,2
shame (aidos): act+flaw+loss-of-esteem,1,1,0,0,0,2
indignation (to nemesan) / desert-judgment,0,1,0,0,0,2
hatred vs anger,0,1,0,0,0,2
pity-distance / fear-requires-power,0,1,0,0,0,2
