concept_id,concept_name,US-00-INTRO,US-01-DARWIN,US-02-EQUIANO,US-03-RADCLIFFE,US-04-AUSTEN,US-05-EPILOGUE,total_units,centrality_tier
C-US-01,uncomfortable situation (titular),1,1,2,2,2,2,6,1
C-US-02,rhetoric of emotion / rhetorical ontology of emotion,1,1,2,2,2,2,6,1
C-US-03,situated conceptualization (Barsalou-Barrett),1,2,2,3,1,1,6,1
C-US-04,rhetorical situation (Bitzer 1968),2,3,3,2,2,0,5,2
C-US-05,affordance theory (Gibson-ecological),2,3,3,1,0,2,4,1
C-US-06,negative / rhetorical / hostile affordance,2,0,2,1,0,2,4,1
C-US-07,hostile environment (legal/Gothic),2,0,2,1,0,0,3,2
C-US-08,bearing up (Equiano titular disposition),1,0,1,0,0,0,2,1
C-US-09,mixed feelings (anti-Galenic; negotiated),1,0,0,0,1,0,2,1
C-US-10,complex states of mind (Darwin's term),0,1,2,0,2,2,4,2
C-US-11,basic emotions (Ekman) / impoverished Darwinianism,2,1,0,3,1,2,5,1
C-US-12,Cognitive Approaches to Literature (CAL) critique,0,1,0,1,2,2,4,2
C-US-13,Theory of Mind / mind-reading (Zunshine) critique,3,2,0,2,2,0,4,2
C-US-14,prosthetic emotion / four-mode Imitation of Christ,1,0,3,0,0,0,2,2
C-US-15,seven-mode rhetoric-of-emotion typology,1,0,0,0,0,0,1,2
C-US-16,negation as rhetorical operator (litotes / double negation),2,1,0,0,1,0,3,2
C-US-17,comfort (bourgeois keyword) / discomfort,1,2,3,2,0,0,4,2
C-US-18,well-being / critical history of well-being,1,0,2,0,2,0,3,2
C-US-19,extended mind / EM-theory critique,2,2,2,2,0,0,4,2
C-US-20,Cruel Optimism / Berlant affect theory,1,2,2,0,0,0,3,2
C-US-21,creditable emotion / Williams,2,0,0,0,0,0,1,3
C-US-22,brain-body-world nexus / rhetorical model of cognition,0,1,0,2,0,1,3,2
C-US-23,vested interest / attachment + time,0,0,1,0,0,0,1,1
C-US-24,spiritual autobiography (Equiano genre frame),2,0,1,0,0,0,2,2
C-US-25,Hegelian strand in Merleau-Ponty (anti-Dreyfus),0,0,1,0,0,0,1,1
C-US-26,Afro-Pessimism (engaged not endorsed),2,0,2,0,0,0,2,2
C-US-27,queer phenomenology (Ahmed) / comfort,2,0,2,0,0,0,2,2
C-US-28,paradiastole (rhetorical redescription),0,0,0,2,3,0,2,3
C-US-29,Aristotelian rhetoric of emotion (background heritage),2,2,2,2,2,0,5,2
C-US-30,Lewinian Gestalt (hopeless situation / Aufforderung / valence),2,0,0,1,0,0,2,2
C-US-31,Heideggerian Aus-der-Fassung / loss of composure,2,0,0,0,0,0,1,3
C-US-32,Aus-dem-Felde-Gehen / leaving-the-field (Lewin),0,0,0,2,0,0,1,3
C-US-33,expected utility critique / prospect-theory prefig (Kahneman-Tversky),2,0,2,0,1,0,3,2
C-US-34,reference points / Norm Theory (Kahneman-Miller),2,0,2,0,1,0,3,2
C-US-35,empathy / apathy / reticence (Preston triad),0,0,0,0,0,1,1,1
C-US-36,Phelps amygdala / Modern Racism Scale,0,0,0,0,0,1,1,1
C-US-37,two cultures (Snow) / irreconcilable difference,0,0,0,0,0,1,1,1
C-US-38,fMRI methodology / reverse inference / localization illusion,0,2,0,0,0,1,2,1
C-US-39,consilience vs. incommensurability (responses to Snow),0,2,0,2,0,1,3,2
C-US-40,real terror is fictional / supernatural-as-spectral,2,0,0,1,0,0,2,2
