source,relation,target,locus,provenance,note
§8,defines,metaphysics,(p.25 / GA pp.37-39 / pdf 24),faithful,"'Metaphysics' is not a primal word (Urwort) but a late Greek-derived title (ta meta ta physika) designating philosophy; the word gets its meaning from an understanding of philosophy, not the reverse."
physis,glosses-greek,the self-forming prevailing of beings as a whole,(p.25 / GA pp.39-40 / pdf 24),faithful,"physis rendered beyond 'nature'/'growth' as das Walten — a prevailing that runs through man, more originary than the nature/history split; even includes divine beings."
natura,glosses-greek,physis,(p.25 / GA pp.37-39 / pdf 24),faithful,"Latin natura/nasci (to be born, arise, grow) is the customary translation; Heidegger uses it only to launch the deeper rendering."
legein,glosses-greek,logos,(p.27 / GA pp.41 / pdf 26),faithful,"legein = speaking-out; logos = the prevailing that has been spoken out / become manifest."
logos,defines,taking out of concealment,(p.27 / GA pp.41 / pdf 26),faithful,"The fundamental function of legein/logos is to take whatever prevails from concealment — revealing (Entbergen)."
kryptein,glosses-greek,concealing,(p.27 / GA pp.41 / pdf 26),faithful,"kryptein (Verbergen) = keeping in concealment; established as the opposite of legein from Heraclitus Frgm. 93 (the Oracle gives a sign)."
logos,contests,kryptein,(p.27 / GA pp.41 / pdf 26),faithful,"legein (revealing) and kryptein (concealing) are explicit opposites; the logos wrests the prevailing from concealment."
aletheia,glosses-greek,un-concealment,(p.29 / GA pp.43-44 / pdf 26),faithful,"Read via the a-privativum as a-letheia (cf. German Un-schuld, Un-endlichkeit): that which is not concealed; not the 'colourless' 'that which is true'."
physis,qualifies,aletheia,(p.27 / GA pp.41 / pdf 26),faithful,"physis 'has in itself a striving to conceal itself' (Heraclitus Frgm. 123, 'physis loves to hide'), so truth must be torn from it."
aletheia,defines,truth is something stolen,(p.29 / GA pp.43-44 / pdf 26),faithful,"Truth is understood by the Greeks as something stolen, torn from concealment in a confrontation where physis strives to conceal itself; rooted in human finitude, 'nothing to do with proving propositions at the writing desk'."
Heraclitus,cites,physis,(p.27 / GA pp.41 / pdf 26),faithful,"Frgms. 93/123/112/54/30 supply the physis-logos-aletheia complex and the kosmos-as-ever-living-fire image."
Being and Time,extends,aletheia,(p.30 / GA pp.44-46 / pdf 27),faithful,"Heidegger recalls he 'emphatically pointed to this primal meaning of the Greek concept of truth' in Being and Time — not mere etymology but exposing man's fundamental position in antiquity."
physiologoi,glosses-greek,physis,(p.29 / GA pp.43-44 / pdf 27),faithful,"Aristotle's physiologoi are not 'physiologists'/'philosophers of nature' but the primordial title for those who question beings as a whole and bring physis to revealedness."
physis,defines,physei onta,(p.30 / GA pp.44-46 / pdf 27),faithful,"First meaning of physis: a regional concept, the physei onta (self-prevailing) opposed to the techne onta (the produced)."
physis,defines,ousia,(p.31 / GA pp.46-48 / pdf 27),faithful,"Second meaning of physis: prevailing-as-such, the inner essence/law of any matter — in Aristotle, ousia, the being of beings."
ousia,glosses-greek,prote philosophia,(p.33 / GA pp.49-51 / pdf 28),faithful,"That which makes beings beings (ousia, still called physis by Aristotle) is the second object of First Philosophy."
Aristotle,defines,prote philosophia,(p.33 / GA pp.49-51 / pdf 28),faithful,"Aristotle amalgamates the dual orientation — beings as a whole AND the being (ousia) of beings — as prote philosophia / philosophizing proper."
Aristotle,concedes,prote philosophia,(p.33 / GA pp.49-51 / pdf 28),faithful,"Aristotle 'says nothing' about how the two orientations form a unity; the question is open 'to this day' and 'is not even posed any more today'."
theion,glosses-greek,prote philosophia,(p.33 / GA pp.49-51 / pdf 28),faithful,"The theion (divine / Prime Mover) is the ultimate determinant within the physei onta, named without religious connotation; grounds the prima-philosophia/theology link."
