source_id,relation,target_id,domain,evidence_pdf_page,evidence_book_page,contributor,notes
US-00-INTRO,defines,uncomfortable-situation,rhetorical-ontology-of-emotion,12,2,Gross,"Gross's contrastive definition against Berlant's situation-as-state-of-things-unfolding (Cruel Optimism p.5)"
US-00-INTRO,cites,NEURO-LOCUS:Wilson-Mendenhall-Barrett-Simmons-Barsalou-2011,cognitive-neuroscience-of-emotion,11,1,Gross,"Note 1: Neuropsychologia 49.5 (2011): 1105-1127 at 1110; dinner-party scenario; FIRST FOOTNOTE OF BOOK"
US-00-INTRO,cites,AUSTEN-LOCUS:Persuasion-Lady-Russell-p198,affect-theory,11,1,Gross,"Note 2: Austen Persuasion (Oxford Kinsley/Lynch 2004) p.198 — 'learn to feel that she had been mistaken'; epigraph-function"
US-00-INTRO,cites,POSITION:Berlant-Cruel-Optimism-p5,affect-theory,12,2,Gross,"Note 3: Berlant Cruel Optimism (Duke 2011) p.5 — situation as 'state of things in which something that will perhaps matter is unfolding'"
US-00-INTRO,contests,POSITION:Berlant-situation-definition,affect-theory,12,2,Gross,"Gross emphasizes emotional instability defined rhetorically over Berlant's state-of-things-unfolding; supplements rather than refutes"
US-00-INTRO,extends,POSITION:Chandler-archaeology-of-sympathy,literary-criticism,13,3,Gross,"Note 5: Chandler Archaeology of Sympathy (Chicago 2013). Gross redirects to 'critical history of well-being'"
US-00-INTRO,cites,POSITION:Goldsmith-Blakes-Agitation-pp12-13,literary-criticism,13,3,Gross,"Note 6: Goldsmith Blake's Agitation (JHUP 2013) pp.12-13 — Blake denaturalizes sentiments grammatically"
US-00-INTRO,cites,POSITION:Griffiths-Scarantino-Emotions-Wild,cognitive-neuroscience-of-emotion,14,4,Gross,"Note 7: Griffiths and Scarantino 'Emotions in the Wild' (Cambridge Handbook of Situated Cognition 2009) pp.440-445"
US-00-INTRO,cites,POSITION:Fielding-David-Simple-pp236-238,literary-criticism,14,4,Gross,"Note 9: Sarah Fielding David Simple (Sabor ed. 1998) — refusal to describe nature; world-contrary minds"
US-00-INTRO,cites,POSITION:Reddy-Making-Romantic-Love,history-of-emotion,16,6,Gross,"Note 13: Reddy Making of Romantic Love (Chicago 2012) — performative emotive 'I love you'"
US-00-INTRO,extends,POSITION:Reddy-performative-emotive,history-of-emotion,16,6,Gross,"Reddy's performative-emotive becomes Mode 5 (performative) of Gross's typology"
US-00-INTRO,cites,POSITION:Reddy-no-hardwired-romantic-love-p15,cognitive-neuroscience-of-emotion,17,7,Gross,"Reddy p.15 quoted: 'nothing in the latest neuroscience research … permits one to conclude these states are caused or orchestrated by hard-wired brain systems'"
US-00-INTRO,cites,LITERARY-CHARACTER:Sterne-Yorick-hand-scene,literary-criticism,17,7,Gross,"Note 14: Sterne A Sentimental Journey (Ian Jack ed. 1968) pp.18-19 — Yorick and the lady at Calais"
US-00-INTRO,glosses-german,Verstimmung,phenomenology,12,2,Gross,"Heidegger's bad-mood when everyday concerns go awry; named as neighbor to Gross's project"
US-00-INTRO,defines,CONCEPT:seven-mode-rhetoric-of-emotion-typology,rhetorical-ontology-of-emotion,20,10,Gross,"Mimetic / cathartic / projective / prosthetic / performative / voluntary / systematic"
US-00-INTRO,cites,POSITION:Ngai-Ugly-Feelings-pp81-82,literary-criticism,20,10,Gross,"Note 16: Ngai Ugly Feelings pp.81-82 — literary strategy of sympathy (mimetic mode); projective emotion"
US-00-INTRO,cites,RHETORIC-LOCUS:Aristotle-Poetics-cathartic-Oedipus,classical-rhetoric,20,10,Gross,"Aristotle Poetics on Oedipus suffering producing pleasant relief — Mode 2 cathartic"
US-00-INTRO,cites,POSITION:Miller-Haynes-prosthetic-emotion,rhetorical-ontology-of-emotion,20,10,Gross,"Note 17: Susan Miller Trust in Texts p.14; Cynthia Haynes 'pathos@play.prosthetic.emotion' Works and Days 13.1-2 (1995): 261-276; Libby Catchings"
US-00-INTRO,cites,POSITION:Fisher-Vehement-Passions-pp142-144,literary-criticism,21,11,Gross,"Note 18: Fisher Vehement Passions pp.142, 144 — voluntary emotion / Austen's Darcy shamelessly"
US-00-INTRO,contests,POSITION:Massumi-autonomy-of-affect,affect-theory,22,12,Gross,"Notes 20-21: Massumi 'Autonomy of Affect' Cultural Critique 31 (1995); Leys 'Turn to Affect: A Critique' CI 37.3 (2011) at p.437 — Cartesian dualism returns"
US-00-INTRO,cites,POSITION:Williams-Long-Revolution-p321,affect-theory,22,12,Gross,"Note 23: Williams Long Revolution (Broadview 2001 [1961]) p.321 — 'creditable emotion' / 'feeling of freedom carefully controlled'"
US-00-INTRO,defines,CONCEPT:creditable-emotion,rhetorical-ontology-of-emotion,22,12,Gross,"Williams's category: emotion that operates as lived reference point even though it contradicts its own conditions of satisfaction"
US-00-INTRO,defines,CONCEPT:four-mode-reading-of-Imitation-of-Christ,rhetorical-ontology-of-emotion,24,14,Gross,"Mimetic Eph 5:2; prosthetic John 4:19; performative 'Jesus loves you'; systematic Aquinas + Equiano Mount Calvary"
US-00-INTRO,cites,EQUIANO-LOCUS:Mount-Calvary-unseals-book-forecast,affect-theory,24,14,Gross,"Equiano's spiritual autobiography conversion scene — chapter 2 forecast anchor"
US-00-INTRO,glosses-greek,mimesis-Eph-5-2,classical-rhetoric,24,14,Gross,"Ephesians 5:2 'walk in love as Christ also hath loved us' — mimetic mode exemplar"
US-00-INTRO,contests,POSITION:situated-cognition-consoling-metaphors,phenomenology,25,15,Gross,"Notes 27-29: Clark/Chalmers Supersizing the Mind; Wheeler; Thompson Mind in Life p.403; Uexküll Foray p.172; Serres; Rickert Ambient Rhetoric — read as bourgeois return-home rhetoric"
US-00-INTRO,glosses-german,unheimlich,phenomenology,25,15,Gross,"Note 30: Freud Das Unbehagen in der Kultur (SE 21 Strachey) — anchor for being-out-of-place"
US-00-INTRO,cites,POSITION:Moretti-Bourgeois-comfort-keyword,literary-criticism,26,16,Gross,"Note 32: Moretti The Bourgeois (Verso 2013) pp.45-51 — comfort as third keyword; Robinson Crusoe 1719 transition; Bequemlichkeit"
US-00-INTRO,glosses-german,Bequemlichkeit,literary-criticism,25,15,Gross,"Weber via Moretti — bourgeois middle-class-home comfort as ideal"
US-00-INTRO,cites,POSITION:Ahmed-Queer-Phenomenology-pp28-30,affect-theory,26,16,Gross,"Note 33: Sara Ahmed Queer Phenomenology — Husserl's wife; comfort as concealment of domestic labor"
US-00-INTRO,cites,POSITION:Lewin-Wittgenstein-Locke-uneasiness,phenomenology,27,17,Gross,"Note 34: Kurt Lewin Gestalt 'hopeless situation'; Wittgenstein 1938 Lectures on Aesthetics 'discomfort'; Kramnick on Locke fantastical uneasiness"
US-00-INTRO,bridges-to-pipeline,Rickert-Ambient-Rhetoric-2013,rhetorical-ontology-of-emotion,25,15,Gross,"Note 29: explicit citation of Rickert Ambient Rhetoric (Pittsburgh 2013) in object-oriented / ambient lineage"
