source,relation,target,locus,provenance,note
particular-profound-boredom,instances-in-text,contemporary-dasein,(p.160 / GA pp.240 / pdf 92),faithful,"Ch.5 names the particular profound boredom as the fundamental attunement of OUR contemporary Dasein — not boredom in general."
has-man-become-boring,grounds-question,particular-profound-boredom,(p.161 / GA pp.240-42 / pdf 92),faithful,"The reconsidered guiding question concerns whether the Da-sein in contemporary man is bored as such, not whether people are bored by particular things."
not-counteracting,discloses,particular-profound-boredom,(p.160 / GA pp.240 / pdf 92),faithful,"Profound boredom 'only becomes awake if we do not counteract it'; not-counteracting = Dasein's keeping-to-itself, a waiting."
question-provides-hold,qualifies,not-counteracting,(p.161 / GA pp.240-42 / pdf 92),faithful,"Against programmaticism: a question (not only an answer) can provide a hold; essential knowledge only in originary questioning."
being-left-empty,defines,telling-refusal,(p.162 / GA pp.242-43 / pdf 93),faithful,"Being-left-empty = being delivered over to beings' telling refusal of themselves as a whole; an emptiness as a whole."
telling-refusal,glosses-german,essential-need-not,(p.162 / GA pp.242-43 / pdf 93),faithful,"Emptiness 'in the sense of telling refusal … thus emptiness as lack, deprivation, need [Not]'."
bustling-self-defense,contests,being-left-empty,(p.163 / GA pp.243-44 / pdf 93),faithful,"Contemporary self-defense against particular needs precisely prevents any need 'as a whole' from emerging — so particular needs are no proof of emptiness as a whole."
absence-of-oppressiveness,deepens-into,being-left-empty,(p.164 / GA pp.244-46 / pdf 94),faithful,"Keystone diagnosis: the very absence of any essential oppressiveness IS the emptiness as a whole; 'the fundamental emptiness that bores us'."
oppressiveness,glosses-german,absence-of-oppressiveness,(p.164 / GA pp.244-46 / pdf 94),faithful,"Bedrängnis glossed against bedrängt; the need is not that this/that need oppresses but that essential oppressiveness is absent."
mystery-lacking,instances-in-text,absence-of-oppressiveness,(p.164 / GA pp.244-46 / pdf 94),faithful,"The mystery [Geheimnis] is lacking, so the inner terror that gives Dasein its greatness remains absent."
smug-contentment,instances-in-text,absence-of-oppressiveness,(p.164 / GA pp.244-46 / pdf 94),faithful,"Absence of oppressiveness attested by restless busyness: a universal smug contentment in not being endangered; learned competencies cannot replace strength."
being-held-in-limbo,temporalizes-as,moment-of-vision,(p.165 / GA pp.246-47 / pdf 94),faithful,"Being-held-in-limbo = being impelled toward the extremity of what makes Dasein possible — the moment of vision (Augenblick), simultaneously announced."
most-extreme-demand,extends,being-held-in-limbo,(p.165 / GA pp.246-47 / pdf 94),faithful,"Commensurate with emptiness as a whole, the demand pure and simple: that Dasein as such is demanded of man — 'given to him — to be there'."
disclosive-resolution,defines,moment-of-vision,(p.166 / GA pp.247-48 / pdf 95),faithful,"Moment of vision to be seized as the innermost necessity of the freedom of Dasein; man must resolutely open himself again to this demand."
disclosive-resolution,contests,smug-contentment,(p.166 / GA pp.247-48 / pdf 95),faithful,"Contemporary haste/abruptness of programs is confused with resolute disclosedness yet keeps the moment of vision blunt."
ownmost-burden,extends,disclosive-resolution,(p.167 / GA pp.248-49 / pdf 95),faithful,"Liberating the Dasein in man = loading Dasein upon him as his ownmost burden; only those who can give themselves a burden are free."
oscillation-emptiness-extremity,temporalizes-as,particular-profound-boredom,(p.166 / GA pp.247-48 / pdf 95),faithful,"The oscillation between expanse of emptiness and extremity of the moment of vision cannot be ascertained as a matter of fact — 'we can only ask'."
concealment-via-psychology,qualifies,particular-profound-boredom,(p.166 / GA pp.247-48 / pdf 95),faithful,"Contemporary man may conceal his Dasein from himself precisely through psychology, which today presents itself as depth psychology."
world-named,grounds-question,particular-profound-boredom,(p.168 / GA pp.249,252-53 / pdf 96),faithful,"Part One -> Part Two hinge: the expanse of the 'as a whole' that manifests in profound boredom is designated as world."
particular-profound-boredom,extends,first-naming-18c,(p.74 / GA pp.110-11 / pdf 49),faithful,"Ch.5 concretizes the first naming of profound boredom (§18c) as the concealed fundamental attunement of the contemporary situation."
absence-of-oppressiveness,bridges-to-pipeline,king-salvo-second-form,(p.164 / GA pp.244-46 / pdf 94),faithful,"ANTICIPATORY-APPLICATION: emptiness masked by surface busyness = template for the EEG-boring vs gaze-engaging split; second form predicts surface-occupied/depth-hollow."
disclosive-resolution,interprets-experiment-finding,king-salvo-high-arousal-boredom,(p.166 / GA pp.247-48 / pdf 95),faithful,"ANTICIPATORY-APPLICATION: 'haste to react' / restless self-defense maps onto high-arousal boredom (bored subject looks around screen, high gaze-variance, Zeitvertreib)."
oscillation-emptiness-extremity,bridges-to-pipeline,king-salvo-measurement-caution,(p.166 / GA pp.247-48 / pdf 95),faithful,"ANTICIPATORY-APPLICATION: boredom 'cannot be registered as a matter of fact' warrants instrumenting surface(gaze)-vs-depth(DMN/alpha) divergence + a Hingehaltenheit time-probe over a bipolar scale."
moment-of-vision,interprets-experiment-finding,king-salvo-depth-channel,(p.165 / GA pp.246-47 / pdf 94),faithful,"ANTICIPATORY-APPLICATION: the Augenblick announced only in refusal names the latent depth dimension the gaze instrument cannot see and the next study must triangulate."
