source,relation,target,locus,note
ped-sec-09,treats-construct,presence (spatial/physical),"p.1148, 1151, 1155","10-item scale adapted from Sutcliffe et al. 2005; largest platform effect size in the study (d=1.67); SEM shows presence mediates rather than directly predicts outcomes (FAITHFUL-Makransky-Lilleholt)."
ped-sec-09,treats-construct,immersion (technological),"p.1142-1143, 1152-1153","Operationalized as the platform manipulation itself (immersive HMD vs desktop VR), coded as an objective system property per Cummings & Bailenson; antecedent to presence and VR features (FAITHFUL-Makransky-Lilleholt)."
ped-sec-09,treats-construct,agency / interactivity,"p.1146-1148, 1153","Operationalized as immediacy of control (d=0.99, second-largest platform effect) and control-and-active-learning (directly predicts outcomes, beta=0.23) (FAITHFUL-Makransky-Lilleholt)."
ped-sec-09,treats-construct,affect: enjoyment & intrinsic motivation,"p.1148, 1151, 1153","Motivation (d=1.28) and enjoyment (d=0.94); both significant SEM antecedents of perceived-learning outcomes (beta=0.41, beta=0.15) (FAITHFUL-Makransky-Lilleholt)."
ped-sec-09,treats-construct,representational fidelity,"p.1146-1147, 1153","One of two 'VR features'; platform-level antecedent to presence (beta=0.21) and cognitive benefits (beta=0.51) (FAITHFUL-Makransky-Lilleholt)."
ped-sec-09,treats-construct,cognitive load (extraneous vs germane),"p.1154-1155","Not directly instrumented; only glossed via Sweller's cognitive load theory as a design risk in the discussion. 'Cognitive benefits' is the study's own appraisal-based proxy, not a load measure (FE, qualified)."
ped-sec-09,treats-construct,situational interest,p.1156,"Discussion-only gloss via Renninger & Hidi's interest-development theory, used to flag the novelty-effect threat to the study's own IVR-favoring results; not a measured construct (FE)."
ped-sec-09,treats-construct,engagement / flow,p.1155,"Interpretive gloss only (Csikszentmihalyi 2000) explaining why enjoyment feeds the outcomes; not instrumented (FE)."
ped-sec-09,treats-construct,learning outcomes: retention & transfer,"p.1148, 1156","Operationalized only as self-reported 'perceived learning' (8 items), not objective retention/transfer; the study itself flags this as a limitation (FE, qualified)."
ped-sec-09,tests-condition,IVR (HMD),p.1149-1150,"Samsung Gear VR + Galaxy S6 HMD, head-tracked FOV, headset-touchpad selection; Labster DNA-profiling crime-scene simulation, <=20 min, within-subjects crossover (FAITHFUL-Makransky-Lilleholt)."
ped-sec-09,tests-condition,desktop-3D / non-immersive VR,p.1149-1150,"15-inch laptop, standard touchpad; identical simulation content, <=20 min, within-subjects crossover (FAITHFUL-Makransky-Lilleholt)."
ped-sec-09,construct-under-condition,"presence (spatial/physical) x IVR(HMD) vs desktop-3D",p.1151,"Immersive higher, d=1.67, the study's largest effect size (FAITHFUL-Makransky-Lilleholt)."
ped-sec-09,construct-under-condition,"affect: enjoyment & intrinsic motivation x IVR(HMD) vs desktop-3D",p.1151,"Immersive higher on motivation (d=1.28) and enjoyment (d=0.94) (FAITHFUL-Makransky-Lilleholt)."
