concept,rdr-01,rdr-02,rdr-03,rdr-04,rdr-05,rdr-06,rdr-07,rdr-08,rdr-09,rdr-10,rdr-11,rdr-12
procedural rhetoric (Bogost),X,,X,,,,,X,,,,
honor system,X,x,X,x,,,x,X,X,x,,
ISA / interpellation (Althusser),X,,X,,,,,,,,,
authenticity vs accuracy,x,,,,X,,,x,,,X,
authenticity-as-marketed-discourse,,,,,X,,,,,,,
gameplace / placeness,,X,,,,,,,,,,
slow / hegemonic game time,,,,,,X,,,,,,
empathy / character-performance,,,,,,,,x,X,,,
nature / virtual ecology / biophilia,x,,,X,,,X,,,,,
frontier myth / civilization-savagery,X,x,x,,X,,x,X,,,x,
paratext / remediation / agency,,,x,,X,,,,,X,,
immersion / presence / interface-awareness,,X,,,,x,,,x,,,X
settler colonialism / Indigenous absent-presence,X,,x,,X,,x,x,,,,
race / eugenics / white supremacy,X,,x,,X,,,X,,,,
mechanics-vs-fiction / ludonarrative,X,x,X,,,,,X,x,x,,
player freedom bounded by moral fence,x,,X,,,X,x,X,x,X,,
realism as persuasion / romanticization,x,,,x,X,,x,X,,,X,
games as public history / pedagogy,,,,X,x,,,X,,,X,
Rockstar contradiction (content vs crunch),,,X,,X,,,,,,,
Spaghetti-Western / European critique,,,X,,,,,,,,,
tuberculosis / mortality / no cure,,,,,,x,,x,X,X,,
empathy machine / prosocial transfer,,,,,,,,,X,,,
slow play / stillness / waiting,,,,,,X,,,,,,
player choice co-authors meaning,x,x,X,x,,x,X,X,X,x,,
