source,relation,target,locus,provenance,note
profound boredom,grounds-question,What is world?,p.169 / GA pp.252-53 / pdf 96,faithful,"the expanse of the 'as a whole' that manifests itself in profound boredom is named world"
profound boredom,grounds-question,What is individuation?,p.169 / GA pp.252-53 / pdf 96,faithful,"the moment of vision announced in the telling refusal gives the individuation of Dasein to be questioned"
profound boredom,grounds-question,What is finitude?,p.169 / GA pp.253-54 / pdf 96,faithful,"the rupture of the entrancing horizon by the moment of vision is named the finitude of Dasein"
profound boredom,discloses,telling refusal of beings as a whole,p.170 / GA pp.252-53 / pdf 96,faithful,"being-left-empty as the telling refusal that announces / announcement that refuses"
telling refusal of beings as a whole,discloses,moment of vision,p.169 / GA pp.252-53 / pdf 96,faithful,"the Augenblick is simultaneously announced in this telling refusal"
moment of vision,discloses,rupture (of the entrancing horizon),p.169 / GA pp.253-54 / pdf 96,faithful,"the expanse of the entrancing horizon is ruptured by the moment of vision"
rupture (of the entrancing horizon),temporalizes-as,What is finitude?,p.169 / GA pp.253-54 / pdf 96,faithful,"the meaning of this rupture within Dasein is what we call finitude"
What is finitude?,grounds-question,What is world?,p.171 / GA pp.253-54 / pdf 97,faithful,"finitude is the unifying and original root holding the other two questions together"
What is finitude?,grounds-question,What is individuation?,p.171 / GA pp.253-54 / pdf 97,faithful,"placed in the middle as the most originary; engaged only in third place"
profound boredom,temporalizes-as,the essence of time as the root of the three questions,p.172 / GA pp.254-56 / pdf 97,faithful,"profound boredom and boredom as such is rooted in the temporality of Dasein"
the essence of time as the root of the three questions,grounds-question,What is world?,p.172 / GA pp.254-56 / pdf 97,faithful,"the three questions in their origin reach back into the question concerning the essence of time"
the essence of time as the root of the three questions,grounds-question,the question concerning being (Being and Time),p.172 / GA pp.254-56 / pdf 97,faithful,"the question of the essence of time is the origin of all the questions of metaphysics"
profound boredom,defines,as a whole,p.169 / GA pp.252-53 / pdf 96,faithful,"the expanse of the 'as a whole' that manifests itself in profound boredom is designated world"
moment of vision,glosses-german,Augenblick,p.169 / GA pp.252-53 / pdf 96,faithful,"the look of resolute disclosedness of Dasein for its Da-sein"
the ultimate demand upon man,glosses-german,Zumutung,p.171 / GA pp.254-56 / pdf 97,faithful,"the demand that man explicitly and properly take his Dasein upon himself"
What is world?,extends,Part Two — The Question: What Is World?,p.169 / GA pp.252-53 / pdf 96,faithful,"Part Two cashes out the boredom analysis as the world-question, not a new topic"
essential questions: neither new nor old,contests,philosophia perennis (ordinary understanding's construct),p.175 / GA pp.259-60 / pdf 99,faithful,"questions rooted in the need of Dasein are genuine, not culled from a trivialized tradition"
beleaguering of the questions by tradition and common sense,contests,What is world?,p.174 / GA pp.257-60 / pdf 98,faithful,"tradition and common sense level down the questioning and rob it of its edge"
historicity of philosophizing,qualifies,beleaguering of the questions by tradition and common sense,p.175 / GA pp.259-60 / pdf 99,faithful,"the self-same questions are necessarily transformed in every instance of philosophizing"
philosophizing leads only to the brink of possibility,concedes,moment of vision,p.173 / GA pp.256-57 / pdf 98,faithful,"only individual action can leap from possibility into actuality; philosophizing remains penultimate"
the essence of time as the root of the three questions,bridges-to-pipeline,Hingehaltenheit time-dilation self-reports (King & Salvo 2023 physiological pilot),p.172 / GA pp.254-56 / pdf 97,faithful,"time-as-root licenses reading the felt-longer-than-17-min reports as the long-while signature; mapping is anticipatory-application in the bridge"
telling refusal of beings as a whole,interprets-experiment-finding,engaged-yet-boring-like split (clinical video EEG vs gaze-variance),p.169 / GA pp.252-53 / pdf 96,faithful,"surface-occupied / depth-hollow structure warrants treating the cross-instrument divergence as disclosure not noise; mapping anticipatory-application in the bridge"
beleaguering of the questions by tradition and common sense,bridges-to-pipeline,bipolar engaged-vs-bored scale (King et al. 2024 eye-tracking),p.174 / GA pp.257-60 / pdf 98,faithful,"the warning against leveling-down underwrites the bridge's call to replace the bipolar scale with the three-form grid; mapping anticipatory-application"
