source,relation,target,locus,note
bor-sec-39,defines,with-me-ness (perceptual and conceptual),p.7-10,"Gaze-based measure of teacher-student co-attention, split into perceptual (following the teacher's deictic gestures, via entry time/first-fixation-duration/revisits) and conceptual (following the teacher's verbal discourse, normalized by slide duration) components (FAITHFUL-Sharma et al., p.7-10)."
bor-sec-39,treats-construct,flow / engagement (contrast pole),p.10,"Mapped (this entry's own extension) onto the paper's 'motivation' construct (deep vs. surface, SPQ) paired with with-me-ness as an operationalized attention/co-attention measure; the paper itself never uses 'engagement' or 'flow' (P/anticipatory-application)."
bor-sec-39,treats-construct,attentional disengagement / meta-awareness,p.6-7,"Mapped (this entry's own extension) onto the AOI-miss scanpath variable, defined as a participant who did not fixate an AOI at all during its on-screen period, glossed as 'completely ignoring some parts of the slides'; no attention-failure/meta-awareness literature is cited by the source itself (FAITHFUL-Sharma et al., p.6, with P/anticipatory-application for the construct mapping)."
bor-sec-39,treats-construct,monotony / meaninglessness,p.1,"Thin/tangential: the Introduction's complaint that click-stream analytics fail to capture 'passive video watching' gestures at a low-engagement viewing mode adjacent to monotonous consumption, but is never developed as a construct or measured (FAITHFUL-Sharma et al., p.1, with P/anticipatory-application for the construct mapping)."
bor-sec-39,operationalizes-measure,gaze variance / fixation dispersion,"p.4-9, 11, 13, 15-16","SMI RED 250 eye-tracker (250 Hz); content coverage (heat-map attention-point area) and scanpath variables (AOI misses, AOI backtracks); N=40; content coverage fully mediates motivation->learning, scanpath variables partially mediate it, and good-performer/high-motivation students show fewer misses, more backtracks, more coverage (FAITHFUL-Sharma et al., p.4-9, 11, 13, 15-16)."
bor-sec-39,operationalizes-measure,self-report / survey scale,"p.4, 10-11","Study Process Questionnaire (Biggs, Kember & Leung 2001), 10-item 5-point Likert (5 deep/5 surface); N=40; mean motivation 2.10 (SD=1.20); used as predictor in every mediation model (FAITHFUL-Sharma et al., p.4, 10-11)."
bor-sec-39,operationalizes-measure,behavioral (RT / errors / performance-monitoring),"p.4, 10-11","Post-video, instructor-validated 10-question multiple-choice quiz; N=40; mean learning score 6.9/10 (SD=1.6); used as outcome in every mediation model and as one of two ML prediction targets (FAITHFUL-Sharma et al., p.4, 10-11)."
bor-sec-39,operationalizes-measure,ML classification,"p.11-12, 14-15, 17","VGG-19 pretrained-CNN heat-map feature extraction (1,000->100 features/slide) + LASSO feature selection (10-fold CV) + five benchmarked regression algorithms (Gaussian Process, SVM, Random Forest, GAM); N=40 (32 train/8 test, 5-fold CV); best result 5.04% NRMSE (learning) / 9.04% NRMSE (motivation), both Gaussian Process polynomial kernel; these are continuous-score regressions, not discrete classifiers, though ML classification is this cluster's nearest controlled-vocabulary label (FAITHFUL-Sharma et al., p.11-12, 14-15, 17)."
bor-sec-39,extends,"Sharma, K., Jermann, P., & Dillenbourg, P. (2014) -- 'With-me-ness': A gaze-measure for students' attention in MOOCs","p.9-10","The 2014 paper defined with-me-ness and correlated it with learning gains; this paper explicitly extends that analysis to include student motivation as an independent variable, learning as the dependent variable, and gaze behavior as the mediating variable (FAITHFUL-Sharma et al., p.9-10)."
bor-sec-39,cites,"Biggs, J., Kember, D., & Leung, D.Y. (2001) -- Study Process Questionnaire (R-SPQ-2F)","p.4, 10","Source of the deep/surface motivation instrument used as the predictor variable throughout the mediation analyses (FAITHFUL-Sharma et al., p.4, 10)."
bor-sec-39,cites,"Baron, R.M., & Kenny, D.A. (1986)",p.10,"Mediation-analysis three-condition test procedure applied to every gaze variable against motivation (predictor) and learning (outcome) (FAITHFUL-Sharma et al., p.10)."
bor-sec-39,cites,"Just, M.A., & Carpenter, P.A. (1980) -- A theory of reading: From eye fixations to comprehension","p.3-4, 15-16","Eye-mind hypothesis grounding the paper's basic warrant for treating gaze as an attention proxy; also quoted directly ('there is no single mode of reading') to contextualize the paper's own reading-time finding (FAITHFUL-Sharma et al., p.3-4, 15-16)."
bor-sec-39,cites,"Simonyan, K., & Zisserman, A. (2014) -- Very deep convolutional networks (VGG-19)","p.11-12","Pretrained CNN architecture used to extract 1,000 features per gaze heat-map image in the prediction pipeline (FAITHFUL-Sharma et al., p.11-12)."
bor-sec-39,cites,"Tibshirani, R. (1996) -- Regression shrinkage and selection via the lasso","p.11-12","LASSO feature-selection method (10-fold cross-validation for the shrinkage parameter) applied after VGG-19 feature extraction (FAITHFUL-Sharma et al., p.11-12)."
bor-sec-39,cites,"Dillenbourg, P., & Traum, D. (2006) -- Sharing solutions: grounding in multimodal collaborative problem solving",p.16,"Grounding theory used to interpret conceptual with-me-ness as a gaze-measure of a student's effort to sustain common ground with the teacher (FAITHFUL-Sharma et al., p.16)."
bor-sec-39,cites,"Jermann, P., & Nussli, M.A. (2012)",p.16,"Cited supporting finding that better-performing pairs show more recurrent gaze patterns during moments of deictic reference, corroborating the perceptual with-me-ness result (FAITHFUL-Sharma et al., p.16)."
bor-sec-39,cites,"Kizilcec, R.F., Papadopoulos, K., & Sritanyaratana, L. (2014)","p.3-4, 17-18","Video-instruction design study (showing the instructor's face on screen) cited both as prior eye-tracking-in-education work and as a design-implication touchpoint for gaze-informed MOOC video design (FAITHFUL-Sharma et al., p.3-4, 17-18)."
