source,relation,target,domain,provenance,book_page
identification,defines,consubstantiality,rhetoric,burke-direct,55
persuasion,extends,identification,rhetoric,burke-direct,55
identification,defines,collaborative-expectancy,rhetoric,burke-direct,57
formal-appeal,defines,collaborative-expectancy,rhetoric,burke-direct,57
formal-appeal,identifies-with,identification,rhetoric,burke-direct,58
attitude-incipient-act,defines,persuasion-to-attitude-action,rhetoric,burke-direct,50
attitude-incipient-act,extends,formal-appeal,rhetoric,burke-direct,51
opinion-moral-order,qualifies,identification,rhetoric,burke-direct,54
opinion-moral-order,qualifies,persuasion,rhetoric,burke-direct,54
topoi,identifies-with,opinion-moral-order,rhetoric,burke-direct,56
topoi,extends,identification,rhetoric,burke-direct,57
amplification-auxesis,defines,formal-appeal,rhetoric,burke-direct,68
epideictic-rhetoric,extends,formal-appeal,rhetoric,burke-direct,71
epideictic-rhetoric,qualifies,officia-oratoris,rhetoric,burke-direct,73
rhetorical-form-large,extends,formal-appeal,rhetoric,burke-direct,69
rhetorical-form-large,extends,epideictic-rhetoric,rhetoric,burke-direct,70
officia-oratoris,defines,rhetorical-form-large,rhetoric,burke-direct,73
imagination-rhetorical,extends,identification,rhetoric,burke-direct,83
imagination-rhetorical,qualifies,attitude-incipient-act,rhetoric,burke-direct,80
imagination-rhetorical,cites,Hazlitt,rhetoric,burke-direct,83
Hazlitt,defines,image-identification-node,rhetoric,burke-direct,84
image-identification-node,consubstantial-with,identification,rhetoric,burke-direct,85
image-identification-node,extends,consubstantiality,rhetoric,burke-direct,87
image-idea-dialectic,qualifies,image-identification-node,rhetoric,burke-direct,85
image-idea-dialectic,contests,esthetic-antithesis-image-idea,rhetoric,burke-direct,88
ideology,identifies-with,rhetoric,rhetoric,burke-direct,88
advantage-pleonexia,extends,agonistic-rhetoric,rhetoric,burke-direct,60
agonistic-rhetoric,defines,advantage-pleonexia,rhetoric,burke-direct,61
timely-topic,extends,topoi,rhetoric,burke-direct,62
context-of-situation,extends,timely-topic,rhetoric,burke-direct,65
Longinus,cites,collaborative-expectancy,rhetoric,burke-direct,57
Augustine,extends,officia-oratoris,rhetoric,burke-direct,74
Cicero,cites,officia-oratoris,rhetoric,burke-direct,73
Bacon,cites,imagination-rhetorical,rhetoric,burke-direct,81
Pico,cites,imagination-rhetorical,rhetoric,burke-direct,80
formal-appeal,maps-to-pim-dimension,Ludic-involvement,game-behavior,anticipatory-projection,65
collaborative-expectancy,maps-to-pim-dimension,Ludic-involvement,game-behavior,anticipatory-projection,58
attitude-incipient-act,maps-to-pim-dimension,Kinesthetic-involvement,game-behavior,anticipatory-projection,50
amplification-auxesis,maps-to-pim-dimension,Affective-involvement,game-behavior,anticipatory-projection,68
rhetorical-form-large,maps-to-pim-dimension,Ludic-involvement,game-behavior,anticipatory-projection,69
imagination-rhetorical,maps-to-pim-dimension,Narrative-involvement,game-behavior,anticipatory-projection,83
image-identification-node,maps-to-pim-dimension,Spatial-involvement,game-behavior,anticipatory-projection,85
agonistic-rhetoric,maps-to-pim-dimension,Ludic-involvement,game-behavior,anticipatory-projection,60
advantage-pleonexia,maps-to-pim-dimension,Ludic-involvement,game-behavior,anticipatory-projection,61
formal-appeal,maps-to-pentad-term,act,pentad,anticipatory-projection,65
attitude-incipient-act,maps-to-pentad-term,act,pentad,anticipatory-projection,50
imagination-rhetorical,maps-to-pentad-term,agent,pentad,anticipatory-projection,83
advantage-pleonexia,maps-to-pentad-term,purpose,pentad,anticipatory-projection,60
identification,bridges-to-pipeline,RM-01-consubstantiality-keystone,cross-pipeline,burke-direct,55
formal-appeal,bridges-to-pipeline,Calleja-incorporation-temporal-dimension,cross-pipeline,anticipatory-projection,65
