subject,stimulus,t_s,channel,value
R2-04,BOR,0,eye openness,0.95
R2-04,BOR,1,eye openness,0.838842975207
R2-04,BOR,2,eye openness,1
R2-04,BOR,3,eye openness,1
R2-04,BOR,4,eye openness,1
R2-04,BOR,5,eye openness,1
R2-04,BOR,6,eye openness,1
R2-04,BOR,7,eye openness,1
R2-04,BOR,8,eye openness,1
R2-04,BOR,9,eye openness,1
R2-04,BOR,10,eye openness,1
R2-04,BOR,11,eye openness,1
R2-04,BOR,12,eye openness,1
R2-04,BOR,13,eye openness,1
R2-04,BOR,14,eye openness,1
R2-04,BOR,15,eye openness,1
R2-04,BOR,16,eye openness,1
R2-04,BOR,17,eye openness,0.891666666667
R2-04,BOR,18,eye openness,0.925
R2-04,BOR,19,eye openness,1
R2-04,BOR,20,eye openness,1
R2-04,BOR,21,eye openness,1
R2-04,BOR,22,eye openness,1
R2-04,BOR,23,eye openness,1
R2-04,BOR,24,eye openness,1
R2-04,BOR,25,eye openness,1
R2-04,BOR,26,eye openness,1
R2-04,BOR,27,eye openness,1
R2-04,BOR,28,eye openness,1
R2-04,BOR,29,eye openness,0.766666666667
R2-04,BOR,30,eye openness,1
R2-04,BOR,31,eye openness,1
R2-04,BOR,32,eye openness,0.858333333333
R2-04,BOR,33,eye openness,1
R2-04,BOR,34,eye openness,1
R2-04,BOR,35,eye openness,0.791666666667
R2-04,BOR,36,eye openness,1
R2-04,BOR,37,eye openness,1
R2-04,BOR,38,eye openness,1
R2-04,BOR,39,eye openness,1
R2-04,BOR,40,eye openness,1
R2-04,BOR,41,eye openness,1
R2-04,BOR,42,eye openness,1
R2-04,BOR,43,eye openness,1
R2-04,BOR,44,eye openness,0.875
R2-04,BOR,45,eye openness,0.9875
R2-04,BOR,46,eye openness,0.7625
R2-04,BOR,47,eye openness,1
R2-04,BOR,48,eye openness,0.583333333333
R2-04,BOR,49,eye openness,0.779166666667
R2-04,BOR,50,eye openness,0.654166666667
R2-04,BOR,51,eye openness,0.641666666667
R2-04,BOR,52,eye openness,0.925
R2-04,BOR,53,eye openness,1
R2-04,BOR,54,eye openness,0.758333333333
R2-04,BOR,55,eye openness,1
R2-04,BOR,56,eye openness,1
R2-04,BOR,57,eye openness,1
R2-04,BOR,58,eye openness,1
R2-04,BOR,59,eye openness,1
R2-04,BOR,60,eye openness,0.816666666667
