concept,object_type,fcm-00,fcm-01,fcm-02,fcm-03,fcm-04,fcm-05,fcm-06,fcm-07,fcm-08,fcm-09,fcm-10,fcm-11,fcm-12,fcm-13,fcm-14
First form: becoming bored by something (Gelangweiltwerden von etwas),BOREDOM-FORM,0,0,0,1,2,1,1,0,0,0,0,0,0,0,1
Second form: being bored with something (Sichlangweilen bei etwas),BOREDOM-FORM,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1
Third form: profound boredom (es ist einem langweilig),BOREDOM-FORM,0,0,0,2,1,1,2,2,2,1,0,0,1,1,1
Being held in limbo (Hingehaltenheit),STRUCTURAL-MOMENT,0,0,0,0,2,2,2,2,1,0,0,0,0,0,1
Being left empty (Leergelassenheit),STRUCTURAL-MOMENT,0,0,0,0,2,2,2,2,1,0,0,0,0,0,1
Telling refusal (Versagen),STRUCTURAL-MOMENT,0,0,0,0,0,0,2,2,2,0,0,0,1,0,1
Structural unity / link of the two moments (Fuge),STRUCTURAL-MOMENT,0,0,0,0,1,2,2,1,1,0,0,0,0,0,0
Passing the time (Zeitvertreib),STRUCTURAL-MOMENT,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0
Time as it drags (the dragging now),TEMPORAL-STRUCTURE,0,0,0,0,2,1,1,0,1,0,0,0,0,0,1
Standing time / the standing now (stehende Zeit / stehendes Jetzt),TEMPORAL-STRUCTURE,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1
Making-present (gegenwärtigen),TEMPORAL-STRUCTURE,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
Entrancement of the temporal horizon (Gebanntheit / Bann),TEMPORAL-STRUCTURE,0,0,0,0,0,1,2,1,1,0,0,0,0,0,1
Single threefold horizon of time,TEMPORAL-STRUCTURE,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0
Moment of vision (Augenblick),TEMPORAL-STRUCTURE,0,0,0,0,1,1,2,2,2,1,0,0,0,1,1
Temporality / self-temporalizing (Zeitlichkeit),TEMPORAL-STRUCTURE,0,0,0,1,1,2,2,1,2,1,0,1,1,1,1
Resolute disclosedness (Entschlossenheit),TERM,0,0,0,0,0,0,2,2,1,0,0,0,0,1,0
What is world? (Welt),METAPHYSICAL-QUESTION,1,0,1,1,1,1,1,2,2,2,1,1,1,2,1
What is finitude? (Endlichkeit),METAPHYSICAL-QUESTION,1,1,1,1,1,0,1,1,2,2,0,0,0,0,1
What is individuation? (Vereinzelung),METAPHYSICAL-QUESTION,2,0,1,1,1,0,1,1,2,2,0,0,0,0,1
The stone is worldless (weltlos),WORLD-THESIS,0,0,0,0,0,0,0,0,0,2,2,1,1,1,1
The animal is poor in world (weltarm),WORLD-THESIS,0,0,0,0,0,0,0,0,0,2,2,2,2,1,1
Man is world-forming (weltbildend),WORLD-THESIS,0,0,0,0,0,0,0,0,0,2,1,1,1,2,1
As a whole / im Ganzen,STRUCTURAL-MOMENT,1,0,0,1,0,0,2,2,2,1,0,0,1,2,0
Captivation (Benommenheit),ATTUNEMENT,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1
Disinhibiting ring / disinhibition (Enthemmungsring),TERM,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Animal behaviour vs human comportment (Benehmen / Verhalten),TERM,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0
The organism / capacity (Faehigkeit),TERM,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0
Transposing oneself (Sichversetzen),TERM,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0
Accessibility of beings / world as accessibility,TERM,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0
The "as" / something as something,STRUCTURAL-MOMENT,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0
Manifestness of beings as such as a whole (world = disclosure),WORLD-THESIS,0,0,0,1,0,0,1,1,1,1,1,0,1,2,0
Projection (Entwurf),STRUCTURAL-MOMENT,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
Apophantic logos / synthesis-diairesis,TERM,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0
Ontological difference (being / beings),TERM,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0
Physis / logos / aletheia,GREEK,0,1,2,0,0,0,0,0,0,1,0,1,1,2,0
Fundamental attunement (Grundstimmung),ATTUNEMENT,2,1,1,2,2,1,2,2,1,2,1,0,1,1,2
Philosophy-as-attunement / awakening (Wecken),CLAIM,2,2,1,2,1,0,1,1,1,2,0,0,0,0,1
Homesickness (Heimweh) / world-finitude-individuation triad,CLAIM,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0
Dasein / Da-sein and Weg-sein,TERM,2,2,1,2,1,1,2,2,2,2,1,1,1,2,1
The three metaphysical questions (world/finitude/individuation),METAPHYSICAL-QUESTION,1,0,1,1,1,0,1,1,2,2,0,0,0,0,1
Being-and-Time / the question of being,CLAIM,0,0,0,1,0,0,1,0,2,1,0,1,0,1,0
Ambiguity of philosophy (Zweideutigkeit),CLAIM,1,2,1,0,0,0,0,0,0,1,1,0,0,0,0
Metaphysics as comprehensive questioning (Inbegriff),CLAIM,2,1,2,0,0,0,0,0,1,2,1,1,0,0,0
Melancholy of the philosopher (Schwermut),ATTUNEMENT,0,0,0,1,1,0,0,0,0,2,0,0,0,0,1
The circle of philosophy / metaphysics-and-science,CLAIM,0,1,1,0,0,0,0,0,1,2,2,1,1,1,0
