channel,criterion,rho,p,n,note
pupil dilation,boredom,-0.172096213541,0.315547615917,36,load-bearing
eye openness,boredom,-0.45952527184,0.00481060413236,36,load-bearing
gaze deg from centre (v3),boredom,0.358770292248,0.0316531748286,36,load-bearing
gaze deg p90 (v3),boredom,-0.0455397026837,0.791986500603,36,load-bearing
% time >10 deg off centre (v3),boredom,0.324325248008,0.0536315195976,36,load-bearing
excursion rate >10 deg (v3),boredom,-0.0823068847372,0.633202695122,36,load-bearing
gaze deviation variance,boredom,-0.114300783506,0.506829726711,36,load-bearing
gaze deviation median,boredom,0.523513069378,0.00105106398514,36,load-bearing
cognitive load,boredom,-0.0918534513054,0.594172538944,36,APPENDIX ONLY (vendor index)
HR,boredom,0.0877558181285,0.621649364667,34,APPENDIX ONLY (removed from analysis)
pupil dilation,engagement,0.0358178401997,0.835706085354,36,load-bearing
eye openness,engagement,0.41641460261,0.0115295349154,36,load-bearing
gaze deg from centre (v3),engagement,-0.391161736857,0.0183241331319,36,load-bearing
gaze deg p90 (v3),engagement,-0.0328544937084,0.849135806342,36,load-bearing
% time >10 deg off centre (v3),engagement,-0.333956265459,0.0465266482753,36,load-bearing
excursion rate >10 deg (v3),engagement,0.184371688222,0.281725626696,36,load-bearing
gaze deviation variance,engagement,0.106165109081,0.537725752799,36,load-bearing
gaze deviation median,engagement,-0.527475675459,0.000947064698408,36,load-bearing
cognitive load,engagement,0.107453520599,0.532773389992,36,APPENDIX ONLY (vendor index)
HR,engagement,0.0361022145828,0.839367818497,34,APPENDIX ONLY (removed from analysis)
