source,relation,target,domain,provenance,book_page
positive-terms,defines,hic-et-nunc-vocabulary,terministic-order,burke-direct,183
positive-terms,defines,genus-et-differentiam,terministic-order,burke-direct,183
positive-terms,cites,Bentham-real-entities,terministic-order,burke-direct,184
positive-terms,qualifies,dialectical-terms,terministic-order,burke-direct,185
dialectical-terms,defines,polar-vocabulary,terministic-order,burke-direct,185
dialectical-terms,cites,Bentham-fictitious-entities,terministic-order,burke-direct,184
dialectical-terms,extends,phraseoplerosis,terministic-order,burke-direct,185
dialectical-terms,extends,archetypation,terministic-order,burke-direct,185
dialectical-terms,qualifies,ultimate-terms,terministic-order,burke-direct,187
ultimate-terms,defines,principle-of-principles,terministic-order,burke-direct,188
ultimate-terms,defines,guiding-idea,terministic-order,burke-direct,188
ultimate-terms,defines,god-term,terministic-order,burke-direct,189
ultimate-terms,contests,parliamentary-jangle,terministic-order,burke-direct,187
ultimate-terms,extends,dialectical-terms,terministic-order,burke-direct,189
god-term,defines,motive-hierarchy-apex,terministic-order,burke-direct,189
god-term,identifies-with,hierarchy,terministic-order,burke-direct,189
ultimate-terms,cites,Plato-Republic-VIII-IX,philosophy,burke-direct,188
Plato-Republic-VIII-IX,defines,timocracy-oligarchy-democracy-tyranny,philosophy,burke-direct,188
hierarchy,extends,identification,rhetoric,burke-direct,191
marxist-persuasion,extends,ultimate-terms,rhetoric,burke-direct,190
marxist-persuasion,cites,Hegel-concrete-universal,philosophy,burke-direct,190
marxist-persuasion,cites,Lenin-What-Is-To-Be-Done,politics,burke-direct,196
concrete-universal,defines,developmental-series,philosophy,burke-direct,190
marxist-persuasion,defines,local-participation-in-total-dialectic,rhetoric,burke-direct,196
local-participation-in-total-dialectic,extends,consubstantiality,rhetoric,burke-direct,196
identification-ultimate,consubstantial-with,developmental-principle,rhetoric,burke-direct,197
parliamentary-jangle,contests,ultimate-terms,rhetoric,burke-direct,187
Shylock-vengeance,defines,parliamentary-jangle-without-resolution,rhetoric,burke-direct,194
sociology-of-knowledge,qualifies,ultimate-terms,philosophy,burke-direct,198
sociology-of-knowledge,contests,mythic-ground,philosophy,burke-direct,201
relativism,qualifies,relationism,philosophy,burke-direct,198
relationism,extends,sociology-of-knowledge,philosophy,burke-direct,199
Platonic-dialogue,defines,ascent-from-ideology-to-myth,philosophy,burke-direct,200
mythic-ground,defines,motive-beyond-discursive-reason,philosophy,burke-direct,202
mythic-ground,contests,sociology-of-knowledge,philosophy,burke-direct,201
context-of-situation,defines,verbal-act-nonverbal-scene-relation,rhetoric,burke-direct,205
context-of-situation,cites,Malinowski,anthropology,burke-direct,205
context-of-situation,cites,McKeon-Abelard,rhetoric,burke-direct,207
enargeia,defines,rhetorical-peak-of-ultimate-order,rhetoric,burke-direct,207
transcendence,extends,identification,rhetoric,burke-direct,192
ultimate-terms,bridges-to-pipeline,Grammar-of-Motives-Purpose-term,cross-pipeline,burke-direct,188
consubstantiality-ultimate,bridges-to-pipeline,RM-01-consubstantiality,cross-pipeline,burke-direct,196
god-term,bridges-to-pipeline,RM-06-courtship-hierarchy,cross-pipeline,burke-direct,189
ultimate-terms,bridges-to-pipeline,RM-07-pure-persuasion,cross-pipeline,burke-direct,207
god-term,maps-to-pim-dimension,Calleja-Ludic-win-condition,game-behavior,anticipatory-projection,189
god-term,maps-to-pentad-term,Purpose,game-behavior,anticipatory-projection,189
positive-terms,maps-to-pim-dimension,Calleja-Ludic-mechanical-tokens,game-behavior,anticipatory-projection,183
dialectical-terms,maps-to-pim-dimension,Calleja-Social-contested-values,game-behavior,anticipatory-projection,185
parliamentary-jangle,maps-to-pim-dimension,Calleja-Social-toxicity-spiral,game-behavior,anticipatory-projection,187
identification-ultimate,maps-to-pim-dimension,Calleja-Narrative-role-identity,game-behavior,anticipatory-projection,197
identification-ultimate,maps-to-pentad-term,Agent,game-behavior,anticipatory-projection,197
marxist-persuasion,maps-to-pim-dimension,Calleja-Affective-attitudinal-transformation,game-behavior,anticipatory-projection,196
ultimate-terms,maps-to-pim-dimension,Calleja-Temporal-progressive-arc,game-behavior,anticipatory-projection,197
context-of-situation,maps-to-pim-dimension,Calleja-Social-paratext,game-behavior,anticipatory-projection,205
