source,relation,target,locus,note
ped-sec-32,treats-construct,social presence / co-presence,"p.402, 404, 410","Organizing construct, defined as 'the ability to perceive others in an online environment'; fixed predictor side of both pooled correlations, operationalized by four scale families across 25 primary studies (FAITHFUL-Richardson, p.402, 404)."
ped-sec-32,treats-construct,learning outcomes: retention & transfer,"p.405-406, 408-409, 411-412","Operationalized narrowly as self-report perceived learning (not achievement/retention/grades); pooled from 14/25 studies; weighted average r=0.51 (SE=0.05, k=26) (FAITHFUL-Richardson, p.411)."
ped-sec-32,treats-construct,affect: enjoyment & intrinsic motivation,"p.405-406, 408-409, 410-411","Operationalized as self-report satisfaction; pooled from 19/25 studies; weighted average r=0.56 (SE=0.02, k=26) (FAITHFUL-Richardson, p.410)."
ped-sec-32,tests-condition,review / meta-analytic aggregate,"p.407-410","Random-effects meta-analysis (Hedges & Vevea framework) pooling k=25 primary studies (1992-May 2015) via Fisher's r-to-z transformation and inverse-variance weighting; no media contrast, only variation among fully-online CMC course designs (FAITHFUL-Richardson, p.407-409)."
ped-sec-32,instances-in-text,Table 1 chronological catalogue of social-presence definitions (READING/CLAIM),p.404,"14 competing definitions from Short et al. (1976) through Garrison (2011), adapted from Swan, Richardson & Cleveland-Innes 2012 (FAITHFUL-Richardson, p.404)."
ped-sec-32,instances-in-text,Table 2 self-report measures catalogue (READING/CLAIM),"p.405-406","Catalogue of social-presence self-report instruments including the scale families later pooled in the meta-analysis (FAITHFUL-Richardson, p.405-406)."
ped-sec-32,instances-in-text,Table 3 list of 25 included studies with N/r values (READING/CLAIM),"p.408-409","Study-by-study course length, discipline, scale, outcome, sample size, and correlation for all 25 primary studies (FAITHFUL-Richardson, p.408-409)."
ped-sec-32,instances-in-text,forest plot social presence x satisfaction -- Fig.1 (READING/CLAIM),p.410,"26 independent Pearson's r effect sizes with 95% confidence intervals, showing large variation among effect sizes (FAITHFUL-Richardson, p.410)."
ped-sec-32,instances-in-text,forest plot social presence x perceived learning -- Fig.2 (READING/CLAIM),p.411,"26 independent Pearson's r effect sizes with 95% confidence intervals for the perceived-learning outcome (FAITHFUL-Richardson, p.411)."
ped-sec-32,instances-in-text,Table 4 course-design-element reporting gap (READING/CLAIM),"p.409-410","Only 7 of 25 studies reported course-design elements or instructor behavior/role, precluding their use as moderators (FAITHFUL-Richardson, p.409-410)."
ped-sec-32,instances-in-text,Table 5 moderator analysis results (READING/CLAIM),"p.410-412","Full moderator table: publication type, target audience, discipline area, course length, and scale, crossed against both outcomes (FAITHFUL-Richardson, p.410-412)."
ped-sec-32,instances-in-text,funnel plots and Trim-and-Fill publication-bias diagnostics -- Figs.3-4 (READING/CLAIM),p.412,"Satisfaction funnel nearly symmetric (Failsafe N=134); perceived-learning funnel mildly asymmetric (Failsafe N=82), Trim-and-Fill imputed estimate r=0.613 (FAITHFUL-Richardson, p.412)."
ped-sec-32,defines,social presence (study definition) (TERM),p.402,"'The ability to perceive others in an online environment' -- deliberately theory-agnostic gloss chosen to accommodate the field's 14 competing definitions (FAITHFUL-Richardson, p.402)."
ped-sec-32,qualifies,affect: enjoyment & intrinsic motivation,"p.410-411","Satisfaction correlation significantly moderated by course length, discipline area, and scale type; publication type and target audience non-significant (FAITHFUL-Richardson, p.410-411)."
ped-sec-32,qualifies,learning outcomes: retention & transfer,"p.411-412","Perceived-learning correlation significantly moderated by course length, discipline area, and target audience; publication type and scale type non-significant (FAITHFUL-Richardson, p.411-412)."
ped-sec-32,qualifies,social presence / co-presence,p.415,"No two social-presence scales are equivalent; differing item coverage/reliability partly explains differing correlations across studies (FAITHFUL-Richardson, p.415)."
ped-sec-32,cites,"Short, Williams & Christie (INTERLOCUTOR)","p.403-404","Originators of social-presence theory and its medium-salience definition, the opening theoretical anchor of Table 1 (FE, p.403)."
ped-sec-32,cites,"Walther, Joseph B. (INTERLOCUTOR)",p.403,"CMC-era methodological critic of face-to-face/CMC comparison designs, reviewed in the introduction's theoretical lineage (FE, p.403)."
ped-sec-32,cites,"Gunawardena, Charlotte N. (INTERLOCUTOR)","p.403, 405-406, 410","Source of the 1995 communicator-perception revision and (with Zittle) the second most-used scale (k=8 for satisfaction) among pooled studies (FAITHFUL-Richardson, p.403, 410)."
ped-sec-32,cites,"Akyol, Zehra & Garrison, D. Randy (INTERLOCUTOR)","p.413-414","Source of the 'social presence develops over time' interpretation (2008) and the 6-week/13-week course-duration comparison (2011) used to explain the course-length moderator (FAITHFUL-Richardson, p.413-414)."
ped-sec-32,cites,"Arbaugh, J.B., Bangert, A. & Cleveland-Innes, M. (INTERLOCUTOR)",p.414,"Source of the hard/soft, pure/applied paradigm explanation for the discipline-area moderator (FAITHFUL-Richardson, p.414)."
ped-sec-32,cites,"Gorsky, P.; Caspi, A.; Antonovsky, A.; Blau, I.; Mansur, A. (INTERLOCUTOR)",p.414,"Comparator study finding higher interaction rates in science courses than humanities courses, cited to interpret the discipline-area moderator (FAITHFUL-Richardson, p.414)."
ped-sec-32,cites,"Boston, W. et al. (INTERLOCUTOR)",p.402,"Comparator finding that two affective-expression indicators of social presence accounted for more than 20% of variance in student retention (FAITHFUL-Richardson, p.402)."
ped-sec-32,cites,"Hedges, L.V. & Vevea, J.L. (INTERLOCUTOR)",p.409,"Methodological source for the random-effects model chosen over a fixed-effect model for this synthesis (FAITHFUL-Richardson, p.409)."
ped-sec-32,cites-cluster-author,ped-sec-25 (Gunawardena & Zittle - Social Presence Predictor 1997),"p.403-406, 410","Cited in Table 1 and Table 2 and pooled as one of the 25 included studies (second most-used scale, k=8 for satisfaction) (FAITHFUL-Richardson)."
ped-sec-32,cites-cluster-author,ped-sec-26 (Garrison Anderson & Archer - Community of Inquiry 1999),p.404,"Cited in Table 1 as source of the Community-of-Inquiry framework's definition of social presence (FAITHFUL-Richardson, p.404)."
ped-sec-32,cites-cluster-author,ped-sec-27 (Tu - Measurement of Social Presence 2002),p.405,"Cited in Table 2 as source of the SPPQ instrument, 'The measurement of social presence in an online learning environment' (FAITHFUL-Richardson, p.405)."
