source,relation,target,domain,evidence,contributor
Fortenbaugh,defines,the cognitivist thesis (emotion essentially involves a thought/belief),philosophy-of-mind,pp.9-12; Rhet. II.2 1378a30-32,Fortenbaugh
Fortenbaugh,defines,the cognition as the efficient cause in the essential definition of emotion,philology-of-aristotle,Rhet. 1378a30-32; Top. 150b27-151a19,Fortenbaugh
emotion-cognition,qualifies,doxa / krisis (belief and judgment) rather than phantasia,philosophy-of-mind,p.48 n.1 ('propositional judgments open to reasoned logos'),Fortenbaugh
Fortenbaugh,contests,phantasia as the constitutive cognition of emotion (absent from his apparatus and subject index),philosophy-of-mind,Index of Subjects p.101 (entry 'opinion (thought belief involved in emotion)'),Fortenbaugh
thought of unjust slight,instances-in-text,the efficient cause built into the definition of anger,philology-of-aristotle,Rhet. II.2 1378a30-32,Fortenbaugh
appearance of impending evil,instances-in-text,the efficient cause built into the definition of fear,philology-of-aristotle,Rhet. II.5 1382a21-22,Fortenbaugh
'dia' (on account of),contests,'meta'/'with' as the construal of the anger-cognition relation,philology-of-aristotle,Top. 150b27-151a19; Phlb. 37e10,Fortenbaugh
Aristotle,extends,Plato's unclear Philebus link of opinion to emotion (into a causal/essential definition),history-of-philosophy,Phlb. 47e1-2; 37e-42a; pp.9-12,Fortenbaugh
the cognitivist analysis,defines,emotion as open to reason and rhetorical persuasion,rhetorical-theory,pp.16-18; De An. 427b8-14,Fortenbaugh
emotional appeal,extends,persuasion coordinate with demonstration (no longer Gorgianic enchantment),rhetorical-theory,pp.16-18; Gorgias Helen 9-14,Fortenbaugh
Fortenbaugh,contests,Gorgias and Thrasymachus (emotion as charm/enchantment/drug),rhetorical-theory,Plato Phdr. 267c; Gorgias Helen 10 and 14,Fortenbaugh
the cognitivist analysis,defines,tragic pity and fear as intelligent responses compatible with reason,rhetorical-theory,Poet. 1452b34-1453a1; pp.18-22,Fortenbaugh
Aristotle,contests,Plato's Republic X charge that drama plays to the unintelligent part,history-of-philosophy,Rep. 604a10-605c5; Poet. 1449b27-28,Fortenbaugh
cognitive emotion of fear,instances-in-text,plot-constraints on tragedy (good-to-bad / vicious-to-good plots fail),rhetorical-theory,Poet. 1452b34-1453a1,Fortenbaugh
inclusive (cognitive+bodily) analysis,defines,the homoeopathic theory of katharsis,rhetorical-theory,Poet. 1449b27-28; Pol. 1341b32-1342a15; De An. 403a16-19,Fortenbaugh
Fortenbaugh,defines,the bipartite political-ethical psychology (alogical vs logical half),moral-psychology,EN 1102a26-1103a3,Fortenbaugh
bipartite psychology,extends-reading-of,Plato's latent bipartition in the Laws (golden vs iron cords),history-of-philosophy,Laws 644c-645a; pp.23-25,Fortenbaugh
Fortenbaugh,contests,Gorgemanns' thrust-vs-thought reading of the Laws dichotomy,philology-of-aristotle,p.24-25; Gorgemanns 1960,Fortenbaugh
fear/confidence,qualifies,doxai (opinions) not non-cognitive thrusts,moral-psychology,Laws 644c9-d1,Fortenbaugh
the alogical half,qualifies,a cognitive (opinion-bearing) part not the biological faculty of sensation,philosophy-of-mind,EN 1102a26-1103a3; 1097b33-1098a5,Fortenbaugh
political-ethical psychology,contests,conflation with the De Anima's biological sensation/intellect psychology,philology-of-aristotle,pp.26-30; De An. 427b8-14,Fortenbaugh
emotion,qualifies,a phenomenon with no single biological-faculty locus (nous+aisthesis+orexis),philosophy-of-mind,p.28 n.1; De An.,Fortenbaugh
Fortenbaugh,defines,moral virtue (hexis) as the perfection of man's cognitive alogical half,moral-psychology,EN 1105b19-1106a13; 1102a14-16,Fortenbaugh
moral virtue,defines,a peculiarly human virtue unavailable to animals,moral-psychology,EN 1102a14-16; 1145a25-27,Fortenbaugh
courage,qualifies,a cognitive disposition (learning to despise danger and see endurance as noble),moral-psychology,EN 1116a11-29; Rhet. 1378b16-17,Fortenbaugh
Fortenbaugh,defines,virtuous action without calculation (the unreflective critical act of the alogical half),moral-psychology,EN 1117a18-22; 1142a2-3,Fortenbaugh
'right reason' formula,qualifies,reason's authority in justification not its presence in every virtuous act,philology-of-aristotle,EN 1106b36-1107a2; pp.74-75,Fortenbaugh
moral virtue,defines,making the END correct (practical wisdom makes the MEANS),moral-psychology,EN 1144a7-9; 1145a4-6,Fortenbaugh
Fortenbaugh,contests,Allan (an emotional disposition cannot furnish a true judgment of the end),moral-psychology,p.76 n.1; Allan The Philosophy 182,Fortenbaugh
Fortenbaugh,defines,the distinction between practical and non-practical emotions,moral-psychology,pp.79-83; EN 1128b10-15,Fortenbaugh
non-practical emotions (shame/indignation/pity),qualifies,emotions grounding no corresponding moral virtue (hence no virtue of mercy),moral-psychology,Rhet. 1385b13-16; 1386b8-12; pp.82-83,Fortenbaugh
Fortenbaugh,defines,the distinction between emotion (cognitive cause) and bodily drive (physiological cause),philosophy-of-mind,pp.83-87; Rhet. 1370a18-25,Fortenbaugh
rational vs non-rational appetite,defines,temperance as a virtue of acquired judgment-caused 'loves and hates',moral-psychology,Rhet. 1370a18-25; EN 1119a1-13,Fortenbaugh
