source,target,relation,edge_domain,unit,note
Umwelt,Subjekt,presupposes,ontological,F0,Every Umwelt presupposes a subject as its constitutive center
Umwelt,Umgebung,contrasts_with,ontological,F0,Umwelt (subjective world) vs Umgebung (objective surroundings)
Funktionskreis,Umwelt,operationalizes,biosemiotic,F1,Functional cycles are the structural units composing the Umwelt
Merkmal,Funktionskreis,depends_on,perceptual,F1,Perception marks are produced within and by functional cycles
Wirkmal,Funktionskreis,depends_on,biosemiotic,F1,Effect marks are the motor side of the functional cycle
Merkwelt,Merkmal,depends_on,perceptual,F1,Perceptual world is the totality of all perception marks
Wirkwelt,Wirkmal,depends_on,biosemiotic,F1,Effector world is the totality of all effect marks
Umwelt,Merkwelt,depends_on,perceptual,F1,Umwelt is composed of Merkwelt paired with Wirkwelt
Umwelt,Wirkwelt,depends_on,biosemiotic,F1,Umwelt is composed of Wirkwelt paired with Merkwelt
Merkzeichen,Merkmal,explains,perceptual,F1,Perception signs (internal) are transposed outward as perception marks (external)
Wirkmal,Merkmal,operationalizes,biosemiotic,F1,Effect mark cancels the perception mark closing the functional cycle
Merkmal,Subjekt,depends_on,perceptual,F1,Perception marks are subject-generated qualities projected onto objects
Bauplan,Funktionskreis,explains,biosemiotic,F1,Construction plan determines the repertoire of functional cycles available to a species
Bauplan,Merkmal,presupposes,biosemiotic,F1,Species Bauplan determines which perception marks the organism can produce
Bauplan,Wirkmal,presupposes,biosemiotic,F1,Species Bauplan determines which effect marks the organism can execute
Zeitmoment,Merkwelt,operationalizes,temporal,F2,Moment signs structure the temporal grain of the perceptual world
Raumzeichen,Merkwelt,operationalizes,perceptual,F2,Place signs and direction signs structure the spatial dimension of the perceptual world
Richtungszeichen,Raumzeichen,refines,perceptual,F2,Direction signs refine spatial perception beyond static place signs
Tonwelt,Merkwelt,refines,perceptual,F3,Tone-world (auditory) is a specialized dimension of the perceptual world
Tastwelt,Merkwelt,refines,perceptual,F3,Touch-world is a specialized dimension of the perceptual world
Wahrnehmungsbild,Merkmal,refines,perceptual,F4,Perception image is the integrated sensory representation built from perception marks
Wirkbild,Wahrnehmungsbild,refines,perceptual,F4,Effect image completes and alters the perception image conferring meaning
Wirkton,Wirkbild,operationalizes,biosemiotic,F4,Effect tone is the expressed meaning-quality derived from the effect image
Stimmung,Wirkbild,presupposes,biosemiotic,F4,Subject mood determines which effect image activates for a given perception image
Wirkton,Funktionskreis,depends_on,biosemiotic,F4,Effect tones require central effect organs controlling actions within functional cycles
Naturplan,Funktionskreis,explains,teleological,F4,Nature's plan governs functional cycles replacing instinct as explanatory principle
Naturplan,Instinkt,contrasts_with,methodological,F4,Instinct is a stopgap; Nature's plan is the real ordering factor
Umwelt,Wirkton,depends_on,biosemiotic,F4,Number of objects in Umwelt equals number of available effect tones/actions
Umweltsicherheit,Umwelt,depends_on,biosemiotic,F4,Environmental security inversely proportional to number of objects
Stimmung,Befindlichkeit,presupposes,existential,F4,Uexkull mood-as-meaning-determinant prefigures Heidegger Befindlichkeit [cross-pipeline]
Wirkton,Zuhandenheit,explains,existential,F4,Effect tone as pragmatic object-disclosure parallels readiness-to-hand [cross-pipeline]
bekannter_Weg,Merkmal,depends_on,biosemiotic,F4,Familiar path structured by visual olfactory and tactile perception marks
bekannter_Weg,Richtungsschritt,depends_on,perceptual,F4,Directional steps serve as distance measure and path-building unit
bekannter_Weg,Wirkraum,depends_on,biosemiotic,F5,Familiar path in blind animals is purely an effect-space phenomenon
Heimat,Revier,presupposes,biosemiotic,F5,Home presupposes territory; territory extends beyond the nest
Revier,Umwelt,depends_on,ontological,F5,Territory is purely an Umwelt problem exclusively subjective product
Revier,Umgebung,contrasts_with,ontological,F5,Territory invisible to knowledge of surroundings alone
Raumschema,Richtungsschritt,depends_on,perceptual,F5,Spatial schema joins directional steps with tactile perception marks
Raumschema,Wirkraum,operationalizes,biosemiotic,F5,Projected schema operationalizes effect space enabling mole to rebuild passages
Merkbild,Merkmal,refines,perceptual,F5,Perception image is a composite template built from multiple perception marks
Merkbild,Kamerad,explains,biosemiotic,F5,Companion attachment depends on matching the perception image
Duftmal,Revier,operationalizes,biosemiotic,F5,Odor marks make territory recognizable to conspecifics
Duftmal,Merkmal,is_meaning_of,biosemiotic,F5,Odor mark is a species of perception mark specialized for territorial signaling
Suchbild,Merkbild,contrasts_with,perceptual,F6,Search image can override and eliminate perception image
Suchton,Suchbild,presupposes,biosemiotic,F6,Search tone is more fundamental; toad starts with tone acquires image after eating
Wirkton,Merkbild,operationalizes,biosemiotic,F6,Effect tone conferred on perception image determines its functional role
Wirkbild,Merkbild,explains,perceptual,F6,Effect image of subject attitude decides which perception image receives companion tones
Kumpan,Wirkton,depends_on,biosemiotic,F6,Companion is a role-position constituted by effect tones not fixed perception image
Kumpan,Merkbild,contrasts_with,biosemiotic,F6,No single perception image corresponds to companion; role changes across life stages
magische_Umwelt,Umwelt,refines,ontological,F6,Magical environments extend Umwelt theory beyond stimulus-response
magische_Umwelt,Suchbild,depends_on,perceptual,F6,Search image and territory are precursors to magical phenomena as free productions
magische_Umwelt,Wirkton,depends_on,biosemiotic,F6,Starling environment laden with feeding tone forces perception image without stimulus
Suchbild,Subjekt,depends_on,ontological,F6,Search image is a free production of the subject not stimulus-driven
Einpraegung,Merkbild,operationalizes,biosemiotic,F6,Imprinting fixes acquired perception images as if innate within hours
Suchton,Leistung,is_meaning_of,biosemiotic,F6,Search tone corresponds to function: any seat not a particular chair
Umwelt,Tönung,depends_on,biosemiotic,F7,Each Umwelt assigns specific tonal coloring to objects
Tönung,Funktionskreis,operationalizes,biosemiotic,F7,Effect tones are the functional-cycle-specific valuations of objects
Objekt,Umwelt,depends_on,ontological,F7,Object constituted differently in each Umwelt; no environment-independent object
subjektive_Wirklichkeit,Umgebung,contrasts_with,ontological,F7,Subjective realities in environments vs objective realities of surroundings
angeborener_Weg,bekannter_Weg,refines,biosemiotic,F7,Inborn path composed of same elements as familiar path but given innately as melody
angeborener_Weg,magische_Erscheinung,exemplifies,perceptual,F7,Inborn path is the paradigmatic magical phenomenon
Planmäßigkeit,angeborener_Weg,explains,teleological,F7,Inborn paths planned to the highest degree despite being meaningless to subject
Natur,Umwelt,presupposes,ontological,F7,Nature carries and shelters all environments; each Umwelt is an excerpt
Natur,Subjekt,contrasts_with,ontological,F7,Nature is never knowable by any subject; unknowable totality vs perspectival access
wissenschaftliche_Umwelt,Umwelt,exemplifies,methodological,F7,Scientific environments are still Umwelten not privileged access
Merkmalträger,Funktionskreis,depends_on,biosemiotic,F7,Environment cuts select which features become perception-mark carriers
Wirkmalträger,Funktionskreis,depends_on,biosemiotic,F7,Effect-mark carriers co-determined by the functional cycle
Tönung,Merkmal,refines,perceptual,F7,Tone is evaluative overlay on perception marks; same bark perceived differently
Bedeutungsträger,Subjekt,presupposes,biosemiotic,M1,Carrier of meaning exists only through relationship with a subject
Bedeutungsträger,Bedeutung,operationalizes,biosemiotic,M1,Carrier of meaning is the concrete realization of meaning-relation
Ton,Bedeutungsträger,is_meaning_of,biosemiotic,M1,Meaning tones conferred on carriers of meaning
Bedeutungsträger,Funktionskreis,depends_on,biosemiotic,M1,Every carrier of meaning becomes complement of subject through insertion in functional cycle
Bauplan_body,Bauplan_environment,contrasts_with,biosemiotic,M1,Bodily and environmental construction plans stand opposed yet equally closed
Wohnhülle,Umwelt,contrasts_with,biosemiotic,M1,Plant dwelling-shell vs animal Umwelt: meaning factors vs meaning carriers
Wohnhülle,Bedeutungsfaktor,depends_on,biosemiotic,M1,Dwelling-shell composed of meaning factors not mediated by perception organs
Eigenton,Merkzeichen,explains,perceptual,M1,Self-tones of brain cells serve as perception signs transposed outward
Eigenton,Bildungsmelodie,supports,biosemiotic,M1,Free-living cells obey a melody controlling their self-tones
Bedeutungsträger,Merkmal,depends_on,biosemiotic,M1,Part of carrier qualities serves as perception marks
Bedeutungsträger,Wirkmal,depends_on,biosemiotic,M1,Effect marks impressed on other properties of the carrier of meaning
Umwelt,Wohnwelt,refines,ontological,M1,Umwelt is carved from the broader dwelling-world
Bedeutungskreis,Funktionskreis,refines,biosemiotic,M1,Functional cycles reinterpreted as meaning cycles in Part II
Bedeutungsverwertung,Bedeutungsträger,operationalizes,biosemiotic,M2,Meaning utilization is the vital task applied to carriers of meaning
Bedeutungsordnung,Formbildungsordnung,contrasts_with,biosemiotic,M2,Meaning order and form development order are independent (Spemann grafts)
Bedeutungsordnung,Bauplan,depends_on,biosemiotic,M2,Meaning order follows the primal layout of the organism
Urbild,Kontrapunkt,presupposes,biosemiotic,M2,Primal images connected contrapuntally via inclusive meaning plan
Urbild,Bedeutungsträger,explains,biosemiotic,M2,Spider web represents fly Urbild; web is fly-like because primal scores interact
Eigenton,Organton,supports,biosemiotic,M2,Self-tones of cells compose into organ tone
Organton,Lebenston,supports,biosemiotic,M2,Organ tones compose the animal life tone
Bedeutungsverwertung,Funktionskreis,refines,biosemiotic,M2,Functional cycles recast as meaning-utilization cycles
Bedeutungsregel,Formbildungsregel,presupposes,biosemiotic,M3,Meaning rule controls the form development rule
Bedeutungsregel,Bedeutungsträger,explains,biosemiotic,M3,Meaning rule is the lawlike connection bridging carrier and utilizer
Bedeutungsregel,Kontrapunkt,supports,biosemiotic,M3,Meaning rule provides the elementary law of contrapuntal composition
Aussenfront,Innenfront,contrasts_with,perceptual,M3,Outer front (physical sieve) vs inner front (living carillon of self-tones)
Innenfront,Eigenton,depends_on,perceptual,M3,Inner front composed of cell-bells sounding self-tones
Innenfront,Merkzeichen,explains,perceptual,M3,Perception signs are the self-tones of inner-front cells transposed outward
Eigenton,Merkmal,operationalizes,perceptual,M3,Self-tones become perception marks when transposed outward
Tropismus,Umwelt,contrasts_with,methodological,M3,Loeb tropism reduces organisms to machines; Umwelt theory restores the subject
Farbenkreis,Eigenton,exemplifies,perceptual,M3,Color circle demonstrates perceptual qualities are self-tones with own laws
Palette,Umwelt,presupposes,perceptual,M3,Palette of perception signs determines possible Umwelt structure
Merkzeichen,Merkmal,explains,perceptual,M3,Internal perception signs transposed outward become external perception marks
Aussenfront,Umgebung,operationalizes,perceptual,M3,Outer front filters effects from physical surroundings into nerve excitations
Kontrapunkt,Urbild,depends_on,biosemiotic,M4,Counterpoint operates through interaction of primal images across species
Kontrapunkt,Bedeutungsträger,explains,biosemiotic,M4,Contrapuntal composition explains the fit between carrier and utilizer
Naturpartitur,Kontrapunkt,depends_on,biosemiotic,M5,Nature's score is the composition of all contrapuntal relations
Naturpartitur,Bedeutungsregel,depends_on,biosemiotic,M5,Nature's score is governed by meaning rules
Kompositionslehre,Naturpartitur,explains,methodological,M5,Composition theory traces how Umwelten are composed into Nature's score
Kompositionslehre,Bedeutung,presupposes,methodological,M5,Composition theory takes meaning as its pole star
Weltpartitur,Naturpartitur,refines,ontological,M6,World-score is the ultimate extension of natural score: all environments in one plan
Bedeutungskeim,Formbildungsmelodie,presupposes,ontological,M6,Meaning-germ is source from which formative melody proceeds
Fortschritt,Kompositionslehre,contrasts_with,teleological,M6,Progress rejected; composition theory replaces evolutionary progressivism
Unmittelbarkeit_zu_Gott,Fortschritt,undermines,teleological,M6,Ranke immediacy principle makes every age equally valuable precluding progress
Formbildungsmelodie,Gene_als_Klavier,depends_on,biosemiotic,M6,Formative melody plays on genes as on keys of a piano
Formbildungsmelodie,Kontrapunkt,depends_on,biosemiotic,M6,Formative melodies take motifs from other subjects formative melodies
Eigenton,lebendiges_Glockenspiel,presupposes,biosemiotic,M6,Self-tones of cells compose the living carillon
Beständigkeit_der_Subjekte,Unbeständigkeit_der_Materie,contrasts_with,ontological,M6,Subjects persist while matter properties dissolve across environments
Merkzeug,Umwelt,refines,perceptual,M6,Perception tools extend Umwelt compass but cannot escape it
Weltpartitur,Umwelt,explains,ontological,M6,Knowledge of world-score opens path beyond individual Umwelt confinement
Bedeutungskeim,Urbild,is_meaning_of,ontological,M6,Meaning-germ is formative origin of the primal image
Wirkbild,phantasia,explains,perceptual,F4,Effect image as action-guiding representation parallels Aristotelian phantasia [cross-pipeline BCAP]
Essentia_Accidentia,Bedeutungsträger,presupposes,ontological,M1,Scholastic property distinction only applies to carriers of meaning not relationless objects
Einpraegung,Kumpan,operationalizes,biosemiotic,F6,Imprinting mechanism fixes companion identity
Richtungsschritt,Funktionskreis,operationalizes,biosemiotic,F5,Directional steps are elementary motor impulses within effect side of functional cycles
Schutzgebiet,Revier,refines,biosemiotic,F5,Neutral zone is a functional subdivision within territory system
bekannter_Weg,Heimat,presupposes,biosemiotic,F5,Home and territory closely related to familiar path problem
magische_Erscheinung,subjektive_Wirklichkeit,supports,ontological,F7,Magical phenomena prove environments contain purely subjective realities
Objekt,Natur,depends_on,ontological,F7,Summing all perspectival object-features yields chaos not Nature-in-itself
