source,relation,target,locus,note
ped-sec-02,treats-construct,presence (spatial/physical),p.225-226,"Namesake construct: graded subjective experience of a mediated environment despite physical location elsewhere, jointly constituted by involvement and immersion (FE, p.225-226)."
ped-sec-02,treats-construct,immersion (technological),p.227-228,"Perceived envelopment in a continuous stimulus stream; explicit rejection of Slater's objective-technology account in favor of an individual-experience account (FAITHFUL-Witmer&Singer, p.227)."
ped-sec-02,treats-construct,agency / interactivity,"p.229, 231","Operationalized as Control Factors (degree/immediacy/mode of control, anticipation, physical-environment modifiability); 11/12 items PQ-total-correlated (FE, p.231)."
ped-sec-02,treats-construct,representational fidelity,"p.230-231","Operationalized as Realism Factors (scene realism, consistency with objective world, meaningfulness); 5/7 items PQ-total-correlated (FE, p.230-231)."
ped-sec-02,treats-construct,cybersickness & physical discomfort,p.237,"Measured via the independently validated Simulator Sickness Questionnaire; PQ-SSQ r=-.426, p<.001 (FE, p.237)."
ped-sec-02,treats-construct,learning outcomes: procedural / skills,"p.238-239","Speculative extension only; presence-performance link expected but explicitly stated as not directly evidenced (FAITHFUL-Witmer&Singer, p.239)."
ped-sec-02,tests-condition,IVR (HMD),"p.230-238","Four combined VE experiments (N=152), all HMD-based (Flight Helmet; FAKESPACE BOOM 2C); PQ administered post-task in each (FE, p.230)."
ped-sec-02,construct-under-condition,presence (spatial/physical) x IVR (HMD),"p.230-236","PQ total score derived across four HMD-based experiments; reliability α=.88 on the reduced 19-item scale (FE, p.235)."
ped-sec-02,construct-under-condition,cybersickness & physical discomfort x IVR (HMD),p.237,"SSQ-PQ negative correlation (r=-.426, p<.001) within the combined HMD dataset (FE, p.237)."
ped-sec-02,defines,Presence Questionnaire (PQ) (TERM),"p.230-232","32-item instrument reduced to 19 items (α=.88); seven-point semantic-differential scale measuring presence intensity and hypothesized contributing factors (FE, p.230-232)."
ped-sec-02,defines,Immersive Tendencies Questionnaire (ITQ) (TERM),"p.233-235","29-item instrument reduced to 18 items (α=.81); measures stable individual tendency to become involved/immersed in mediated experiences generally (FE, p.233-235)."
ped-sec-02,defines,involvement (TERM),p.227,"Psychological state produced by focusing attention/energy on a coherent, meaningful set of stimuli or activities; necessary precondition for presence, not itself a contributing factor (FAITHFUL-Witmer&Singer, p.227)."
ped-sec-02,defines,immersion (TERM),"p.227-228","Psychological state of perceiving oneself enveloped by and interacting with a continuous stimulus stream (FAITHFUL-Witmer&Singer, p.227-228)."
ped-sec-02,instances-in-text,Control Factors (TERM),p.229,"One of four conceptually derived factor categories; hypothesized to affect immersion but not involvement (FAITHFUL-Witmer&Singer, p.229)."
ped-sec-02,instances-in-text,Sensory Factors (TERM),"p.229-230","One of four conceptually derived factor categories; hypothesized to affect both immersion and involvement (FAITHFUL-Witmer&Singer, p.229-230)."
ped-sec-02,instances-in-text,Distraction Factors (TERM),"p.229-230","One of four conceptually derived factor categories; hypothesized to affect both immersion and involvement (FAITHFUL-Witmer&Singer, p.229-230)."
ped-sec-02,instances-in-text,Realism Factors (TERM),"p.230-231","One of four conceptually derived factor categories; hypothesized to affect involvement but not immersion (FAITHFUL-Witmer&Singer, p.230-231)."
ped-sec-02,instances-in-text,Involved/Control subscale (PQ) (TERM),p.236,"Largest cluster-derived PQ subscale (11 items); combines perceived control and visual/experiential involvement items rather than matching a single a-priori factor category (FAITHFUL-Witmer&Singer, p.236-237)."
ped-sec-02,cites,"Sheridan, Thomas B. (INTERLOCUTOR)","p.229, 236","Conceptual source for Control/Sensory factor groupings and for the subjective-report measurement strategy (FAITHFUL-Witmer&Singer, p.236, quoting Sheridan 1992)."
ped-sec-02,cites,"Held, Richard & Nathaniel Durlach (INTERLOCUTOR)","p.229-231","Conceptual source (Telepresence, 1992) for Control, Sensory, and Distraction factor items (FE, p.229-231)."
