source,relation,target,locus,note
ped-sec-20,treats-construct,self-efficacy,p.46-48,"Sole measured outcome; 12-item Likert total (32.7→38.1) and per-item means, pre vs. post, on the confidence/comfort-caring-for-Veterans instrument (FAITHFUL-Roe, p.46-48)."
ped-sec-20,treats-construct,learning outcomes: procedural / skills,p.45-46,"Treated only as deliberate practice's traditional target, set up as explicit contrast to this study's affective-outcome extension; not itself measured here (FAITHFUL-Roe, p.45-46)."
ped-sec-20,tests-condition,in-person simulation lab (non-digital modality),p.45-47,"One-group pretest/posttest design; no VR/desktop-3D/2D media contrast. ****** UNVERIFIED: manikin- vs. standardized/scripted-actor-based delivery not stated in text; does not cleanly map onto any §3 media-condition column."
ped-sec-20,bridges-to-part-iii,Part III simulation-based confidence-gain precedent,p.44-49,"(anticipatory-application) Validated-instrument, deliberate-practice-grounded pre/post design offered as a methodological precedent for Part III's own analysis of learner confidence shifts, independent of medium; no vle-0N unit currently treats population-specific (Veteran-centric) confidence content."
ped-sec-20,defines,deliberate practice (TERM),p.45,"'Effortful activities designed to optimize improvement' (FAITHFUL-Roe, p.45, quoting Ericsson, Krampe & Tesch-Romer 1993)."
ped-sec-20,cites,Ericsson Krampe & Tesch-Romer (1993),p.45,"Deliberate-practice theoretical framework adopted wholesale as the study's conceptual scaffold (FAITHFUL-Roe, p.45)."
ped-sec-20,instances-in-text,Table 1 simulation foci (THEME),p.46-47,"Six scripted Veteran-centric scenarios spanning Korean Conflict/Vietnam/OEF/OIF Veterans and clinical conditions (chronic pain/PTSD, respiratory distress, UTI, diabetes, conflict resolution, mobility) (FAITHFUL-Roe, p.46-47)."
ped-sec-20,instances-in-text,Lippman & Ozment 12-item instrument (TERM),p.46,"Nursing Student Perceptions About Caring for Veterans questionnaire, originally a process-improvement tool, unpublished; Cronbach's alpha=.901 excluding two VA-clinical-experience items (FAITHFUL-Roe, p.46)."
ped-sec-20,qualifies,instrument reliability (Cronbach's alpha .901),p.46,"Reported as supporting reliability but noted in Limitations as an under-validated, unpublished tool with no independently documented reliability/validity history (FAITHFUL-Roe, p.46, 48)."
ped-sec-20,concedes,no-control-group limitation,p.48,"One-group pre/post nonmatched design; authors concede a more rigorous experimental design would have been stronger (FAITHFUL-Roe, p.48)."
ped-sec-20,concedes,extraneous-Veteran-contact confound,p.48,"Findings may be influenced by students' Veteran contact outside the simulations, in other classes, or personal life (FAITHFUL-Roe, p.48)."
ped-sec-20,cites,Cooper Andrew & Fossey (2016),p.44-45,"UK/US literature review finding a surge in Veteran-care curricula but a continued need for rigorous effectiveness studies (FAITHFUL-Roe, p.44-45)."
ped-sec-20,cites,Maiocco Stroupe Rhoades & Vance (2018),p.44,"Clinical nurses working in non-VA facilities reported uncertain how to adapt care and interact with Veterans, motivating this study (FAITHFUL-Roe, p.44)."
ped-sec-20,cites,Dickinson Hopton & Pilling (2016) NCSBN National Simulation Study,p.48-49,"Cited for the finding that up to 50% of clinical experiences can be replaced by simulation; explicitly not claimed as applicable to this program's own clinical-hour allocation (FAITHFUL-Roe, p.48-49)."
ped-sec-20,extends,Breitkreuz Dougal & Wright (2016) / Fossen & Stoeckel (2016),p.48,"Roe et al.'s confidence-shift finding is read as consistent with these studies' reports that simulation can positively influence students' perceptions of caring for unique patient populations (FE, p.48)."
ped-sec-20,instances-in-text,item-level significance pattern,p.47-48,"10 of 12 items improved significantly; the two non-significant items were both VA-clinical-experience-specific ('VA staff support meaningful rotations' p=.21; 'Veterans would choose health-seeking behaviors' p=.22) (FAITHFUL-Roe, p.47-48)."
ped-sec-20,shifts-debate-axis,debate-axis-6 simulation-efficacy-without-control-group,p.48,"(P/anticipatory-application) Contributes descriptive, non-controlled evidence to Strand D's 'simulation beats no-intervention strongly ↔ sim-vs-sim differences negligible' debate axis; the absence of any comparison group weakens, rather than settles, the strong-efficacy pole."
ped-sec-20,cites,Tosterud Hedelin & Hall-Lord (2013),p.45,"Cited for the claim that simulated clinical experiences let nursing students practice knowledge, skills, and attitudes in a safe learning environment (FAITHFUL-Roe, p.45)."
