source,relation,target,locus,note
bor-sec-29,treats-construct,mind-wandering / task-unrelated thought,pp.72-75 approx.,"Organizing construct named in the paper's title and operationalized as the theorized first stage of the two-stage cognitive-process model (Fig. 1, p.72 approx.); tonic theta (6-8 Hz) analyzed as its EEG signature in Results/Discussion (pp.74-75 approx.) (FAITHFUL-Miyauchi & Kawasaki)."
bor-sec-29,treats-construct,attentional disengagement / meta-awareness,p.72 approx.; pp.74-76 approx.,"Frames the study's motivating claim that boredom is related to attentional failure (p.72 approx.); operationalized indirectly via the ASRS attentional-deficit self-report and its correlations with EEG/behavioral measures (pp.74-76 approx.) (FAITHFUL-Miyauchi & Kawasaki)."
bor-sec-29,treats-construct,boredom proneness,pp.75-76 approx.,"Surfaces only in the Discussion, where the authors flag their own ASRS-response-time correlation as apparently discrepant with prior literature linking boredom proneness to attention-deficit symptoms; not independently operationalized by this study (FAITHFUL-Miyauchi & Kawasaki, pp.75-76 approx.)."
bor-sec-29,treats-construct,situational vs. trait/state boredom,p.76 approx.,"Implicit but consequential framing: the authors distinguish their design, which measures the actual real-time occurrence of boredom via key-press latency, from most prior studies, which use subjective trait-like boredom-proneness self-report (FAITHFUL-Miyauchi & Kawasaki, p.76 approx.)."
bor-sec-29,operationalizes-measure,EEG alpha/theta power,pp.73-75 approx.,"Morlet-wavelet time-frequency analysis (2-15 Hz; theta 6-8 Hz, alpha 10-12 Hz, beta 14-20 Hz) over 27 active scalp electrodes (actiCAP/BrainAmp DC, 1000 Hz, mastoid reference), baseline-corrected against inter-melody intervals, analyzed over the 3.0 s window preceding each key press (FAITHFUL-Miyauchi & Kawasaki, pp.73-75 approx., Figs. 3-5)."
bor-sec-29,operationalizes-measure,self-report / survey scale,p.73 approx.,"Adult ADHD Self-Report Scale v1.1 (ASRS, 18 items, alpha=0.78) administered to assess attentional-deficit tendency alongside the EEG/behavioral measures (FAITHFUL-Miyauchi & Kawasaki, p.73 approx.)."
bor-sec-29,operationalizes-measure,behavioral (RT / errors / performance-monitoring),p.74 approx.,"Self-paced key-press response time from melody onset to the participant's mark of subjective boredom or dislike onset, synchronized with EEG acquisition (FAITHFUL-Miyauchi & Kawasaki, p.74 approx., Results 3.1)."
bor-sec-29,construct-measured-by,"mind-wandering / task-unrelated thought <- tonic theta (6-8 Hz, frontal/temporal, peak FC2/T8)",pp.74-76 approx.,"The paper's own internal construct-measure pairing: tonic theta increase differentiated boredom from dislike (p<.01) and is interpreted as the TUT-specific signal of the two-stage model (FAITHFUL-Miyauchi & Kawasaki, pp.74-76 approx., Findings #2-3)."
bor-sec-29,construct-measured-by,"appraisal / internal-processing (shared boredom + dislike component) <- phasic alpha (10-12 Hz, right temporal, peak T8)",pp.74-76 approx.,"The paper's own internal construct-measure pairing: transient alpha enhancement did not differ between boredom and dislike conditions and is interpreted as indexing the appraisal/internal-processing component common to both (FAITHFUL-Miyauchi & Kawasaki, pp.74-76 approx., Findings #2-3)."
bor-sec-29,construct-measured-by,situational (real-time) boredom occurrence <- self-paced key-press response time,p.76 approx.,"The paper's own internal construct-measure pairing: real-time boredom onset/occurrence, distinguished explicitly from trait boredom-proneness, is operationalized via key-press latency rather than a self-report scale (FAITHFUL-Miyauchi & Kawasaki, p.76 approx.)."
bor-sec-29,defines,tonic theta (6-8 Hz) as boredom-specific TUT marker (TERM),pp.75-76 approx.,"Names tonic frontal/temporal theta increase, distinct from phasic alpha shared with the dislike control, as the study's proposed EEG-level marker for the task-unrelated-thought stage of boredom (FAITHFUL-Miyauchi & Kawasaki, pp.75-76 approx.)."
bor-sec-29,instances-in-text,mind-wandering / task-unrelated thought,pp.72-74 approx.,"Concrete instantiation of the theorized TUT-appraisal model (Fig. 1): the melody-switching paradigm's boredom-vs-dislike key-press contrast is built specifically to isolate the TUT component from a shared appraisal component (FAITHFUL-Miyauchi & Kawasaki, pp.72-74 approx.)."
bor-sec-29,cites-cluster-author,"Quentin Raffaelli, Caitlin Mills, Kalina Christoff (2017/2018) -- bor-sec-21",p.72 approx.,"Supplies the two-stage TUT-appraisal cognitive-process model of boredom that this study operationalizes and tests via EEG time-frequency analysis (FAITHFUL-Miyauchi & Kawasaki, p.72 approx.); this cluster's Strand C entry (bor-sec-21)."
bor-sec-29,cites,Malcolm Mason et al. (2007),p.72 approx.,"'Wandering Minds' default-mode-network / stimulus-independent-thought framing, cited as background for task-unrelated thought as the presumed substrate of mind-wandering (FAITHFUL-Miyauchi & Kawasaki, p.72 approx.)."
bor-sec-29,cites,Ian Oswald (1962),p.72 approx.,"Whole-brain alpha power in eyes-open conditions reflecting visual inattention and boredom, cited among prior EEG-boredom findings motivating this study's design (FAITHFUL-Miyauchi & Kawasaki, p.72 approx.)."
bor-sec-29,cites,A.F. Tabatabaie et al. (2014),p.72 approx.,"Beta power in dorsolateral prefrontal cortex lower for self-reported boring vs. arousing music, cited among prior EEG-boredom findings motivating this study's during-vs-onset gap argument (FAITHFUL-Miyauchi & Kawasaki, p.72 approx.)."
bor-sec-29,cites,Claire Braboszcz and Arnaud Delorme (2011),pp.75-76 approx.,"Theta increases associated with mind-wandering during low alertness, cited to corroborate this study's theta-as-TUT interpretation of the tonic frontal/temporal theta finding (FAITHFUL-Miyauchi & Kawasaki, pp.75-76 approx.)."
bor-sec-29,cites,Sarah Koehler et al. (2009),pp.75-76 approx.,"Increased EEG theta power density reported in adult ADHD patients, invoked to explain the negative correlation this study observes between theta amplitude and ASRS score (FAITHFUL-Miyauchi & Kawasaki, pp.75-76 approx.)."
bor-sec-29,cites,Masahiro Kawasaki et al. (2014),p.76 approx.,"Prior TMS work by one of the present authors, cited as the proposed future method for establishing causal (not merely correlational) links between oscillatory activity, attention, and boredom (FAITHFUL-Miyauchi & Kawasaki, p.76 approx.)."
bor-sec-29,contests,"Eugenia Malkovsky, Colleen Merrifield, Yeva Goldberg, James Danckert (2012)",pp.75-76 approx.,"This study's positive ASRS-boredom-RT correlation (higher attention-deficit tendency, SLOWER onset of feeling bored) is presented as apparently contradicting Malkovsky et al.'s (2012) reported positive correlation between boredom proneness and attention-deficit symptoms (FAITHFUL-Miyauchi & Kawasaki, pp.75-76 approx.)."
bor-sec-29,qualifies,situational vs. trait/state boredom,p.76 approx.,"Reconciles the apparent Malkovsky et al. (2012) contradiction (row above) by arguing the design measures the real-time occurrence/latency of boredom onset rather than trait-like boredom-proneness self-report -- a small-scale instance of the operationalization inconsistency this cluster's Raffaelli et al. entry (bor-sec-21) diagnoses field-wide (FAITHFUL-Miyauchi & Kawasaki, p.76 approx.)."
bor-sec-29,concedes,self-report / survey scale,p.76 approx.,"Authors' own stated limitation: ASRS is a self-reported measure that may not accurately reflect the neural characteristics of attentional deficiency, alongside no emotional-preference control, small gender-imbalanced sample (N=15), unexcluded alternative mechanisms, and causal confirmation deferred to future TMS work (FAITHFUL-Miyauchi & Kawasaki, p.76 approx., Findings #5)."
bor-sec-29,grounds-measure,"****** UNVERIFIED: Boredom Experiment (VR Attention Study) -- EEG alpha/theta power channel",n/a,"P/anticipatory-application -- tonic frontal/temporal theta (6-8 Hz) as a boredom-specific marker, distinct from phasic alpha shared with a negative-appraisal control, is the strongest available candidate hypothesis for that future dataset's EEG channel; dataset entry not yet built as of 2026-07-14, so this mapping is a plausible future grounding, not a confirmed one."
