source,relation,target,locus,provenance,note
Wecken (awakening),contests,Feststellen (ascertaining),(p.59-60 / GA pp.90-91 / pdf 41-42),faithful,"Awakening sets letting-be against objectifying fixing-in-place; we shall not speak of ascertaining but of awakening."
§16a,defines,Wecken (awakening),(p.59 / GA pp.90 / pdf 41),faithful,"Awakening = making something wakeful, letting whatever is sleeping become wakeful."
§16b,contests,conscious/unconscious distinction,(p.60-62 / GA pp.91-94 / pdf 42-43),faithful,"Waking and sleeping are not equivalent to consciousness and unconsciousness (dreaming pertains to sleep)."
CLAIM C1,qualifies,Stimmung,(p.62 / GA pp.93-94 / pdf 43),faithful,"Making an attunement an object of knowledge achieves the contrary of awakening: it is destroyed, weakened, altered."
Aristotle,defines,akinesia,(p.62 / GA pp.93-94 / pdf 43),faithful,"De Somno: sleep characterized as akinesia, not via (un)consciousness."
Aristotle,glosses-greek,desmos,(p.62 / GA pp.93-94 / pdf 43),faithful,"Sleep as a being-bound, a peculiar way in which aisthesis is bound."
desmos,glosses-greek,aisthesis,(p.62 / GA pp.93-94 / pdf 43),faithful,"The binding reaches perception and our essence, unable to take in other beings."
Heidegger,cites,Aristotle,(p.62 / GA pp.93-94 / pdf 43),faithful,"Antiquity grasped sleep more elementarily than modern misinterpretations."
§16c,defines,Da-sein,(p.63 / GA pp.94-96 / pdf 43),faithful,"The being of man named being-there, in distinction to the being-at-hand of the stone."
§16c,defines,Weg-sein,(p.63 / GA pp.94-96 / pdf 43),faithful,"Being-away is itself a way of man's being, not non-being."
Weg-sein,grounds-question,Da-sein,(p.64-65 / GA pp.96-99 / pdf 44),faithful,"Man must be there in order to be able to be away; all being-away presupposes being-there."
CLAIM C3,extends,Stimmung,(p.63-64 / GA pp.96-97 / pdf 43-44),faithful,"The there-and-not-there of attunement has to do with the innermost essence of man's being, his Dasein."
Heidegger,contests,psychology of feeling,(p.64-67 / GA pp.96-101 / pdf 44-45),faithful,"Faced with attunement as a way of being-with, we must dismiss the psychology of feelings, experiences, and consciousness."
§17,defines,Stimmung,(p.67 / GA pp.100-101 / pdf 45),faithful,"Attunement is the way of our being-there with one another; neither inside nor outside, it imposes itself on everything."
§17,defines,Grundstimmung,(p.67-68 / GA pp.100-103 / pdf 45-46),faithful,"The fundamental way in which Dasein is as Dasein, giving Dasein subsistence and possibility."
Stimmung,glosses-german,Weise,(p.67 / GA pp.100-101 / pdf 45),faithful,"Weise = way/manner but also melody/tune; attunement sets the tone for and determines man's being."
CLAIM C5,discloses,Grundstimmung,(p.68 / GA pp.101-103 / pdf 46),faithful,"The least-noticed attunements are the most powerful; Dasein is always already attuned; there is only ever a change of attunement."
Grundstimmung,qualifies,CLAIM C6,(p.68 / GA pp.101-103 / pdf 46),faithful,"Awakening attunement = grasping Da-sein as Da-sein, or letting Da-sein be as it can be; since awakening is an acting, we must act in accordance with it."
Spengler,instances-in-text,life/spirit opposition,(p.70 / GA pp.104-106 / pdf 47),faithful,"Decline of the West: decline of life in and through spirit (ratio)."
Klages,instances-in-text,life/spirit opposition,(p.70 / GA pp.104-106 / pdf 47),faithful,"Spirit as the adversary of the soul, a sickness to be exorcised to liberate life."
Scheler,instances-in-text,life/spirit opposition,(p.71 / GA pp.106-107 / pdf 47),faithful,"Man in the epoch of balance between life and spirit."
Ziegler,instances-in-text,life/spirit opposition,(p.71-72 / GA pp.106-107 / pdf 47-48),faithful,"A mediating epoch, a new Middle Ages sublating the life/spirit opposition; least original of the four."
Nietzsche,defines,Dionysian / Apollonian,(p.72-74 / GA pp.107-110 / pdf 48-49),faithful,"Dionysian = urge for unity, reaching beyond the person; Apollonian = urge for complete being-for-oneself, freedom under the law."
life/spirit opposition,extends,Dionysian / Apollonian,(p.72 / GA pp.107-109 / pdf 48),faithful,"All four diagnoses point back to Nietzsche as their common source; life/spirit is the residual literary form of Dionysos/Apollo."
Heidegger,contests,philosophy of culture,(p.74-77 / GA pp.110-16 / pdf 49-50),faithful,"Culture-diagnosis releases us from ourselves, imparting a world-historical role; it sets out man (Dar-stellung) but never his Da-sein."
philosophy of culture,marginal-note,Diagnose / Prognose,(p.75 / GA pp.111-13 / pdf 49),faithful,"Foreign words chosen deliberately to mark the non-binding, sensational, literary character of culture-philosophy."
philosophy of culture,discloses,tiefe Langeweile,(p.77 / GA pp.114-16 / pdf 50),faithful,"Behind our need for a role and the indifference yawning from all things lies a concealed profound boredom."
§18c,defines,tiefe Langeweile,(p.77 / GA pp.114-16 / pdf 50),faithful,"FIRST naming: profound boredom draws back and forth like a silent fog in the abysses of Dasein."
