Concept,META-01,META-02,META-03,META-04,META-05,META-06,META-07,META-08,META-09,META-10,PHYS-01,PHYS-02,PHYS-03,PHYS-04,PHYS-05,PHYS-06,PHYS-07,PHYS-08,RHET-01,RHET-02,RHET-03,RHET-04,RHET-05,RHET-06,DA-01,DA-02,DA-03,DA-04,SS-01,SS-02,MEM-01,MA-01,COL-01,AUD-01
"aisthēsis (perception, sensation, sense)",,,,,,,,,,,,,,,,,,,,,,,,,central,central,central,central,central,central,,central,,
aition / aitia (cause),present,,,present,,present,,,present,,,present,,,,,,,,,,,,,,,,,,,,,,
alloiōsis (alteration),,,,,,,,,,,,,,,present,,present,,,,,,,,,,,,,,,central,,
anamnēsis (recollection),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,central,,,
"anamnēsis (recollection, reminiscence)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,central,,,
arche (principle),central,central,,central,,,central,,central,,present,,,,,,,,,,,,,,,,,,,,central,,,
chronos (time),,,,,,,,,,,,,,present,,present,,present,,,,,,,,,,,,,central,,,
"chrōma (colour, color)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,central,central,,,central,
"diaphanes (the transparent, the translucent, the diaphanous)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,central,central,,,,
"dunamis (potentiality, power, capacity)",,,,,,,,,,,central,central,central,central,,,,central,,,,,,,,central,central,central,,,,,,
dynamis_energeia (potentiality),,,,,,,,,,,,,,,,,,,,,,,,,,,,,central,central,,,,
eidos (form),central,central,,central,central,central,central,,central,central,present,present,present,,,,,,,,,,,,,central,central,,,,,,,
"eikon (simile, likeness, image)",,,,,,,,,,,,,,,,,,,,,,,present,,,,,,,,central,,,
energeia (actuality),,central,,central,central,central,central,central,central,,,present,present,,,,,present,,,,,,present,,central,central,central,,,,,,
entelecheia (fulfillment),,,,,,,present,,,,,,present,,,,,,,,,,,,central,central,,central,,,,,,
"enthymema (enthymeme, rhetorical syllogism)",,,,,,,,,,,,,,,,,,,central,central,,central,,central,,,,,,,,,,
"ethos (character, moral character, disposition)",,,,,,,,,,,,,,,,,,,central,central,central,central,central,central,,,,,,,,,,
genesis (generation),,,,,,present,,,,,present,,,,present,,,,,,,,,,,,,,,,,,,
hexis (having),,,,present,,,present,present,,,,,,,,,,,present,,present,,,,,,,,,,,,,
hexis_pathos (state),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,central,,,
hulē (matter),,,,,,,,,,,central,central,central,central,,,central,,,,,,,,,central,central,,,,,,,
kinesis (movement),,,,central,,,central,central,central,central,central,central,central,central,central,central,central,central,,,,,,,central,central,,central,,,central,central,,
"koina_aisthēta (the common sensibles, common sense)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,central,central,,,,
koinē aisthēsis (common sense),,,,,,,,,,,,,,,,,,,,,,,,,,,central,central,central,central,central,,,
"lexis (style, diction, manner of expression)",,,,,,,,,,,,,,,,,,,,,,,present,present,,,,,,,,,,
logos (formula),central,,,central,central,central,central,,,,present,present,,present,,,,,central,central,central,central,central,central,central,central,central,central,,,,,,
megethos (magnitude),,,,,,,,,,,,,present,,,present,,present,,,,,,,,,,,,central,,,,
"metaphora (metaphor, transfer of a name)",,,,,,,,,,,,,,,,,,,,,,,present,present,,,,,,,,,,
mnēmē (memory),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,central,,,
"mnēmē (memory, remembrance)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,central,,,
morphe (shape),,,,,present,,present,,present,,present,present,,,,,,,,,,,,,,,,,,,,,,
nous (thought),present,,,,,,present,,present,,,,,,,,,,,,,,,,central,central,,central,,,,,,
orexis (desire),,,,,,,,,present,,,,,,,,,,,,,,,,,central,,central,,,,central,,
ousia (substance),central,central,central,central,central,central,central,central,central,central,present,present,,,present,,,,,,,,,,,present,,,,,,,,
pathos (affection),,,,present,,,,,,,,,,,,,,,central,central,central,central,central,central,,,,,,,,,,
"phantasia (imagination, appearance, presentation)",,,,,,,,,,,,,,,,,,,,central,central,,,central,,,central,central,,,central,central,,
"phantasma (image, appearance, mental image, representation)",,,,,,,,,,,,,,,,,,,,,,,,,,,,present,,,central,,,
phora (locomotion),,,,,,,,,present,,,,,central,central,central,central,central,,,,,,,,,,,,,,,,
"phronesis (good sense, practical wisdom, prudence)",,,,,,,,,,,,,,,,,,,,,present,,,,,,,,,,,,,
phusis (nature),central,,,central,central,central,,,central,,central,central,central,central,central,,,central,,,,,,,,,,,,,,,,
"pistis (means of persuasion, proof, mode of persuasion, trust)",,,,,,,,,,,,,,,,,,,central,central,central,central,,central,,,,,,,,,,
practical syllogism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,central,,
"rhetorike (rhetoric, the art of rhetoric)",,,,,,,,,,,,,,,,,,,central,central,central,central,central,central,,,,,,,,,,
steresis (privation),,,central,central,,central,central,central,central,,present,present,present,,,,,,,,,,,,,,,,,,,,,
taxis (order),,,,,,,,,,present,,,,,,,,,,,,,present,present,,,,,,,,,,
techne (art),present,,,,,present,present,,,,,present,,,,,,,present,,,,present,,,,,,,,,,,
telos (end),present,,,present,,,present,,present,,,present,present,,,,,,,,,,,,,present,,,,,,,,
to apeiron (the infinite),,,,,,,,present,,,,,present,,,present,,present,,,,,,,,,,,,,,,,
to diaphanes (the transparent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,central,central,,,,
to hou heneka (final cause),,,,,,,,,,,,present,,,,,,present,,,,,,,,,,,,,,,,
to nun (the now),,,,,,,,,,,,,,present,,present,,present,,,,,,,,,,,,,,,,
to proton kinoun akineton (unmoved mover),,,,,,,,,present,,,,,,,,present,present,,,,,,,,,,,,,,central,,
to suneches (the continuous),,,,,,,,present,,,,,central,central,central,central,,central,,,,,,,,,,,,,,,,
to ti en einai (essence),present,,present,,present,present,,,,,,,,,,,,,,,,,,,,present,,,,,,,,
topos (place),,,,,,,,,,,,,,present,present,,,present,present,,,present,,,,,,,,,,,,
