stimulus,channel,subject,round,value,poolable
CLC,eye openness,S01,1,0.954,True
CLC,eye openness,S02,1,0.796,True
CLC,eye openness,S03,1,0.937,True
CLC,eye openness,S04,1,0.951,True
CLC,eye openness,S05,1,0.865,True
CLC,eye openness,S06,1,0.914,True
CLC,eye openness,S07,1,0.931,True
CLC,eye openness,S08,1,0.882,True
CLC,eye openness,R2-01,2,0.907995241907,True
CLC,eye openness,R2-02,2,0.908713257349,True
CLC,eye openness,R2-03,2,0.889747449725,True
CLC,eye openness,R2-04,2,0.901331333072,True
CLC,pupil dilation,S01,1,3.21186217079,True
CLC,pupil dilation,S02,1,3.62450116223,True
CLC,pupil dilation,S03,1,3.0981248372,True
CLC,pupil dilation,S04,1,3.34825748441,True
CLC,pupil dilation,S05,1,3.22895257973,True
CLC,pupil dilation,S06,1,3.42582329341,True
CLC,pupil dilation,S07,1,3.76035407177,True
CLC,pupil dilation,S08,1,3.96997314774,True
CLC,pupil dilation,R2-01,2,2.77381764708,True
CLC,pupil dilation,R2-02,2,3.99876456794,True
CLC,pupil dilation,R2-03,2,3.82873240456,True
CLC,pupil dilation,R2-04,2,3.8494977729,True
CLC,cognitive load,S01,1,0.599619768242,True
CLC,cognitive load,S02,1,0.499066908689,True
CLC,cognitive load,S03,1,0.565019569288,True
CLC,cognitive load,S04,1,0.637413720756,True
CLC,cognitive load,S05,1,0.54134924614,True
CLC,cognitive load,S06,1,0.541018064035,True
CLC,cognitive load,S07,1,0.520281032086,True
CLC,cognitive load,S08,1,0.529423076605,True
CLC,cognitive load,R2-01,2,0.520487286587,True
CLC,cognitive load,R2-02,2,0.46763049009,True
CLC,cognitive load,R2-03,2,0.537916815452,True
CLC,cognitive load,R2-04,2,0.47556248215,True
CLC,HR,S01,1,77.1009637448,True
CLC,HR,S02,1,70.0651693667,True
CLC,HR,S03,1,87.9583853516,True
CLC,HR,S04,1,95.9960614415,True
CLC,HR,S05,1,63.324828263,True
CLC,HR,S06,1,89.5385964912,True
CLC,HR,S07,1,92.0985485103,True
CLC,HR,S08,1,84.9964157706,True
CLC,HR,R2-01,2,58.3653846154,True
CLC,HR,R2-02,2,69.5437788018,True
CLC,HR,R2-03,2,76.9733840304,True
CLC,HR,R2-04,2,73.0357142857,True
CLC,gaze deviation variance,S01,1,0.00739283780075,False
CLC,gaze deviation variance,S02,1,0.0103347069616,False
CLC,gaze deviation variance,S03,1,0.00855660471424,False
CLC,gaze deviation variance,S04,1,0.0101382823608,False
CLC,gaze deviation variance,S05,1,0.0109696424805,False
CLC,gaze deviation variance,S06,1,0.0117929731567,False
CLC,gaze deviation variance,S07,1,0.00660259662524,False
CLC,gaze deviation variance,S08,1,0.00882457296854,False
CLC,gaze deviation variance,R2-01,2,0.0113340353903,False
CLC,gaze deviation variance,R2-02,2,0.00967863425003,False
CLC,gaze deviation variance,R2-03,2,0.00627227850711,False
CLC,gaze deviation variance,R2-04,2,0.0112159504833,False
CLC,gaze deviation median,S01,1,0.11903780912,False
CLC,gaze deviation median,S02,1,0.167077826177,False
CLC,gaze deviation median,S03,1,0.188436226795,False
CLC,gaze deviation median,S04,1,0.280688439377,False
CLC,gaze deviation median,S05,1,0.135235900815,False
CLC,gaze deviation median,S06,1,0.307845740591,False
CLC,gaze deviation median,S07,1,0.114521457908,False
CLC,gaze deviation median,S08,1,0.120049873841,False
CLC,gaze deviation median,R2-01,2,0.168730934347,False
CLC,gaze deviation median,R2-02,2,0.141068174577,False
CLC,gaze deviation median,R2-03,2,0.118965587052,False
CLC,gaze deviation median,R2-04,2,0.110666893496,False
