subject,round,engaged_composite,boredom,engagement,category,definition,n_channels,trim,is_baseline
R2-01,2,0.880111703998,6,4,divergent,eye closure,1,untrimmed,False
R2-02,2,0.524225763121,8,4,divergent,eye closure,1,untrimmed,False
R2-03,2,0.430737869263,1,8,concordant-engaged,eye closure,1,untrimmed,False
R2-04,2,1.10484921522,2,3,concordant-engaged,eye closure,1,untrimmed,False
S01,1,1.04536809254,3,5,concordant-engaged,eye closure,1,untrimmed,False
S02,1,-0.644073394967,8,3,concordant-bored,eye closure,1,untrimmed,False
S03,1,1.0821103752,3,7,concordant-engaged,eye closure,1,untrimmed,False
S04,1,0.613810794572,9,1,divergent,eye closure,1,untrimmed,False
S05,1,0.608463697774,6,5,divergent,eye closure,1,untrimmed,False
S06,1,0.892426898348,6,3,divergent,eye closure,1,untrimmed,False
S07,1,0.845478649536,6,7,divergent,eye closure,1,untrimmed,False
S08,1,0.562490117309,7,3,divergent,eye closure,1,untrimmed,False
R2-01,2,-0.288521718733,6,4,concordant-bored,gaze deviation (per-participant baseline),1,untrimmed,False
R2-02,2,0.651592508786,8,4,divergent,gaze deviation (per-participant baseline),1,untrimmed,False
R2-03,2,0.721974499638,1,8,concordant-engaged,gaze deviation (per-participant baseline),1,untrimmed,False
R2-04,2,0.194111334143,2,3,concordant-engaged,gaze deviation (per-participant baseline),1,untrimmed,False
S01,1,0.504249307919,3,5,concordant-engaged,gaze deviation (per-participant baseline),1,untrimmed,False
S02,1,-0.735334254766,8,3,concordant-bored,gaze deviation (per-participant baseline),1,untrimmed,False
S03,1,-0.443704127031,3,7,reverse,gaze deviation (per-participant baseline),1,untrimmed,False
S04,1,-1.10099934699,9,1,concordant-bored,gaze deviation (per-participant baseline),1,untrimmed,False
S05,1,-1.13796453539,6,5,concordant-bored,gaze deviation (per-participant baseline),1,untrimmed,False
S06,1,-0.649687642856,6,3,concordant-bored,gaze deviation (per-participant baseline),1,untrimmed,False
S07,1,1.12747366314,6,7,divergent,gaze deviation (per-participant baseline),1,untrimmed,False
S08,1,0.976521735091,7,3,divergent,gaze deviation (per-participant baseline),1,untrimmed,False
R2-01,2,0.295794992633,6,4,divergent,eye closure + gaze deviation (per-participant baseline),2,untrimmed,True
R2-02,2,0.587909135954,8,4,divergent,eye closure + gaze deviation (per-participant baseline),2,untrimmed,True
R2-03,2,0.576356184451,1,8,concordant-engaged,eye closure + gaze deviation (per-participant baseline),2,untrimmed,True
R2-04,2,0.649480274681,2,3,concordant-engaged,eye closure + gaze deviation (per-participant baseline),2,untrimmed,True
S01,1,0.774808700231,3,5,concordant-engaged,eye closure + gaze deviation (per-participant baseline),2,untrimmed,True
S02,1,-0.689703824867,8,3,concordant-bored,eye closure + gaze deviation (per-participant baseline),2,untrimmed,True
S03,1,0.319203124083,3,7,concordant-engaged,eye closure + gaze deviation (per-participant baseline),2,untrimmed,True
S04,1,-0.243594276207,9,1,concordant-bored,eye closure + gaze deviation (per-participant baseline),2,untrimmed,True
S05,1,-0.264750418808,6,5,concordant-bored,eye closure + gaze deviation (per-participant baseline),2,untrimmed,True
S06,1,0.121369627746,6,3,divergent,eye closure + gaze deviation (per-participant baseline),2,untrimmed,True
S07,1,0.986476156338,6,7,divergent,eye closure + gaze deviation (per-participant baseline),2,untrimmed,True
S08,1,0.7695059262,7,3,divergent,eye closure + gaze deviation (per-participant baseline),2,untrimmed,True
