source,relation,target,locus,note
bor-sec-35,defines,Learning Area (LA) / Out-of-Learning-Area (OLA) area-of-interest partition,~p.313 (Figure 5),"The paper's central methodological device: the display is split into a Learning Area and an Out-of-Learning-Area, with number of fixations, fixation duration, and pupil diameter computed separately for each, then combined into LA/OLA ratios (FAITHFUL-Charoenpit & Ohkura, ~p.313)."
bor-sec-35,treats-construct,situational vs. trait/state boredom,~p.311-312,"Boredom is operationalized purely as the mean of three within-session questionnaire items answered once per content unit -- implicitly state-level, with no trait instrument (e.g., a Boredom Proneness Scale) administered or discussed (FE, p.311-312)."
bor-sec-35,treats-construct,attentional disengagement / meta-awareness,~p.309-310/313,"Operational core of the study: the LA/OLA screen partition operationalizes attention as fixation location, following the cited claim that eye data 'indicate a person's interest level and the focus of her attention' (FAITHFUL-Charoenpit & Ohkura, p.309, citing Hend & Remya)."
bor-sec-35,treats-construct,flow / engagement (contrast pole),~p.310-311,"The 'interest' group (6 of 9 questionnaire items) is the paper's engagement pole, grounded in the same three-model apparatus (Russell's Circumplex, 'Shen,' Kort's learning spiral) used to define both emotion groups (FE, p.310-311)."
bor-sec-35,operationalizes-measure,pupil dilation / pupillometry,~p.313-314,"Pupil diameter (mm) recorded in LA and OLA (Table 4); derived pupil-diameter ratio; stated rule 'high ratio = bored' but the ratio correlates positively with interest (Content 1 r=.694**, Style A r=.665**) and negatively with boredom (Content 2 r=-.790*, Style B r=-.826*) -- an internally inconsistent measure-to-construct mapping (FAITHFUL-Charoenpit & Ohkura, p.313-314)."
bor-sec-35,operationalizes-measure,gaze variance / fixation dispersion,~p.313-315,"Number of fixations and fixation duration recorded separately in LA/OLA (Table 4), plus derived fixation-number and fixation-duration ratios; fixation-duration ratio (Content 1, r=.831** with interest) and fixation-number ratio are named in the Conclusion as the paper's 'useful eye metric indexes' (FAITHFUL-Charoenpit & Ohkura, p.313-315)."
bor-sec-35,operationalizes-measure,self-report / survey scale,~p.311-312/314,"Nine-item, 5-point Likert post-content questionnaire (Table 2), split into an interest group (6 items) and a boredom group (3 items: tiring/anxiety/frustrating), items selected from two external instruments [15,16] (FAITHFUL-Charoenpit & Ohkura, p.311-312)."
bor-sec-35,operationalizes-measure,behavioral (RT / errors / performance-monitoring),~p.311-313,"Ten-question pre-test and post-test (one point/question) per content unit, testing C-programming comprehension; post-test scores generally exceeded pre-test scores, with three named exceptions (users 03, 04, 08) (FAITHFUL-Charoenpit & Ohkura, p.312-313)."
bor-sec-35,cites,"Hend, S. Al, & Remya, G.K. (2010) -- Eye Tracking and e-Learning",~p.309,"Eye data as an indirect index of attention, stress, relaxation, problem-solving, and fatigue, foundational to the paper's attention/interest framing (FAITHFUL-Charoenpit & Ohkura, p.309)."
bor-sec-35,cites,"Haddioui, I.E., & Khaldi, M. (2011) -- Learner Behavior Analysis through Eye Tracking [cited in-text as 'Ismail and Mohamed']",~p.309-310,"Eye tracking integrated into an e-learning platform to analyze learner behavior and attention; the in-text author name ('Ismail and Mohamed') does not match the numbered reference-list authors, an inconsistency reproduced as found (FE, p.309-310)."
bor-sec-35,cites,"Al-Wabil, Areej, et al. (2010) -- Exploring the Validity of Learning Styles ('Areej et al.')",~p.310,"Eye gaze linked to learning-style scales (active/reflective, sensing/intuitive, visual/verbal, sequential/global); visual learners show more visual-element attention, verbal learners more textual attention (FAITHFUL-Charoenpit & Ohkura, p.310)."
bor-sec-35,cites,"Porta, M., Ricotti, S., & Perez, C.J. (2012) -- Emotional E-Learning through Eye Tracking ('Marco et al.')",~p.310,"Gaze coordinates, fixation durations, pupil diameters, saccadic velocities, and blink rates recorded during problem-solving; decreased blinks plus increased fixation/pupil size linked to high working-memory load or comprehension failure (FAITHFUL-Charoenpit & Ohkura, p.310)."
bor-sec-35,cites,"Mealha, O., et al. (2012) -- Eye Tracking Data Representation and Visualization",~p.310,"Data-representation and visualization techniques for eye-tracking data across domains (advertising, websites, TV news, video games), via fixations and saccades (FAITHFUL-Charoenpit & Ohkura, p.310)."
bor-sec-35,extends,"Charoenpit, S., & Ohkura, M. (2013) -- A New E-learning System Focusing on Emotional Aspect Using Biological Signals",~p.310-311,"Self-extension: the five-module e-learning system architecture (learners, instructors, servers, biological sensors, emotion-analysis module) is carried over from the authors' own prior system paper and equipped here with the eye-tracking experiment (FAITHFUL-Charoenpit & Ohkura, p.310-311)."
bor-sec-35,cites,"Russell, James A. (1980) -- A Circumplex Model of Affect",~p.310-311,"One of three underlying emotion models (Russell's Circumplex, 'Shen,' Kort's learning spiral) used to construct the interest/boredom emotion groups (FAITHFUL-Charoenpit & Ohkura, p.310-311)."
bor-sec-35,cites,"Kort, B., Reilly, R., & Picard, R. (2001) -- An Effective Model of Interplay between Emotions and Learning",~p.310-311,"Source of 'Kort's learning spiral,' one of the three underlying emotion models; the numbered-reference correspondence to the in-text model names is internally inconsistent in the source and reproduced as found (FE, p.310-311)."
bor-sec-35,cites,"Kaiser, R., & Oertel, K. (2006) -- Emotions in HCI: An Affective E-Learning System",~p.310-311,"Affective e-learning HCI system cited among the three underlying emotion models; numbered-reference correspondence internally inconsistent, reproduced as found (FE, p.310-311)."
bor-sec-35,cites,"Wang, C.Y., Ke, S.Y., Chuang, H.C., Tseng, H.Y., & Chen, G.D. (2010)",~p.312,"Source of some of the nine 5-point-Likert questionnaire items used to build the interest/boredom emotion groups (FAITHFUL-Charoenpit & Ohkura, p.312)."
bor-sec-35,cites,"Juutinen, S., & Saariluoma, P. (2014) -- Emotional Obstacles for E-Learning",~p.312,"Source of some of the nine 5-point-Likert questionnaire items used to build the interest/boredom emotion groups (FAITHFUL-Charoenpit & Ohkura, p.312)."
bor-sec-35,cites,"Jacob, R.J.K., & Karn, K.S. (2003) -- Eye Tracking in Human-Computer Interaction and Usability Research",~p.313,"Fixation duration cited as an indicator of a participant's difficulty extracting information from a display, grounding the fixation-duration eye metric (FAITHFUL-Charoenpit & Ohkura, p.313)."
bor-sec-35,cites,"Berlin, D. (2014) -- Demystifying Eye Tracking",~p.313,"Definition of a fixation as the point on the screen at which the participant is looking, grounding the fixation-point eye metric (FAITHFUL-Charoenpit & Ohkura, p.313)."
bor-sec-35,cites,"Takeuchi, H., & Habuchi, Y. (2007) -- A Quantitative Method for Analyzing Scan Path Data",~p.313,"Source of the fixation-length time-series measure used in the User 04 t-test comparison (Table 7) (FAITHFUL-Charoenpit & Ohkura, p.313)."
bor-sec-35,cites,"Duchowski, Andrew (2007) -- Eye Tracking Methodology: Theory and Practice",~p.309,"General definitional citation for eye-tracking technology and eye movements, opening the paper's framing of eye tracking as an attention/interest indicator (FAITHFUL-Charoenpit & Ohkura, p.309)."
bor-sec-35,qualifies,pupil dilation / pupillometry (own interpretive rule),~p.313-314,"The paper's own stated rule -- 'a high pupil diameter ratio indicates that learner is bored' -- is qualified (though not acknowledged as such by the authors) by its own correlation tables, where the ratio correlates positively with interest and negatively with boredom, the opposite sign the stated rule would predict (FE, our observation, p.313-314)."
bor-sec-35,grounds-measure,Boredom Experiment (VR Attention Study) -- eye-tracking/emotion channel,n/a,"****** UNVERIFIED: the LA/OLA area-of-interest partition, the three raw eye metrics (fixation count, fixation duration, pupil diameter) computed per area, and the derived LA/OLA ratios offer a concrete, low-cost precedent for classifying engagement versus boredom from eye-tracking data in an instructional setting, but a VR headset's integrated eye tracker would track 3D gaze vectors against headset-relative regions rather than 2D screen coordinates against a fixed LA/OLA split; linkage requires the dataset entry's own instrumentation to be confirmed (P/anticipatory-application)."
bor-sec-35,bridges-to-part-iii,Part III eye-tracking-based interest/boredom operationalization template,n/a,"P/anticipatory-application -- the paper's LA/OLA fixation-ratio and pupil-ratio apparatus, cross-validated (loosely) against a nine-item interest/boredom questionnaire, offers Part III a concrete, low-cost template for building its own eye-tracking-based engagement/boredom index in a VLE or VR-attention context."
bor-sec-35,bridges-to-part-iii,Part III self-report/physiological convergent-validity caution,n/a,"P/anticipatory-application -- the User 04 case, where questionnaire and eye-metric evidence diverge and the authors elect to trust the physiological channel without independently validating their timing-lag explanation, cautions Part III against assuming convergence between subjective and eye-tracking indices of boredom, and against assuming post-hoc self-report timing is neutral with respect to what it captures."
bor-sec-35,bridges-to-part-iii,Part III difficulty-vs-boredom confound caution,n/a,"P/anticipatory-application -- Content 2 is explicitly described as more difficult than Content 1 and is also the condition most consistently associated with boredom-correlated eye metrics, a confound the source never examines; Part III's own VLE materials, compared across units of differing difficulty, would need to disentangle boredom proper (monotony, low perceived value) from mere task difficulty before attributing eye-metric or self-report differences to boredom as such."
