unit_id,strand,citation_short,profound/deep boredom (FCM 3rd form),being-bored-by (1st form),being-bored-with (2nd form),situational vs. trait/state boredom,boredom proneness,mind-wandering / task-unrelated thought,attentional disengagement / meta-awareness,boredom-as-regulatory-signal (functional account),flow / engagement (contrast pole),monotony / meaninglessness,temporality of boredom (time-drag)
bor-sec-01,A,"Aho, Kevin. ""Heidegger on Melancholia, Deep Boredom, and the Inability",X,X,,X,,,,X,,X,X
bor-sec-02,A,"Elpidorou, A., & Freeman, L. (2015). Affectivity in Heidegger I: Moods",X,,,,,,,,X,,X
bor-sec-03,A,"Elpidorou, Andreas and Freeman, Lauren",X,X,X,-,-,-,-,X,-,X,X
bor-sec-04,A,"Elpidorou, Andreas and Freeman, Lauren",X,X,X,X,X,-,X,X,-,X,X
bor-sec-05,A,"Elpidorou, Andreas and Freeman, Lauren",X,X,X,-,-,X,X,X,X,X,X
bor-sec-06,A,"Elpidorou, Andreas",X,X,X,X,,X,X,X,X,X,X
bor-sec-07,A,"Gibbs, Paul. ""The Concept of Profound Boredom: Learning from Moments o",X,X,X,X,,,,X,X,X,X
bor-sec-08,A,"Hughes, Emily (2023). Meaninglessness and monotony in pandemic boredom",X,X,X,X,X,,,X,,X,X
bor-sec-09,A,"Mihačević, Borislav. 2022. ""Boredom That Wishes Not To Be."" Diametros ",X,X,X,X,,,,,X,X,X
bor-sec-10,A,"Quaranta, C. (2024). In the mood for Heideggerian boredom? Film viewer",X,X,X,X,X,X,X,-,X,X,X
bor-sec-11,A,"Hernández Albarracín, Juan Diego; Álvarez González, Carlos Fernando; P",X,X,X,X,,X,X,X,X,X,X
bor-sec-12,A,"Slaby, Jan. ""Living in the Moment: Boredom and the Meaning of Existenc",X,X,X,,,,X,X,X,X,X
bor-sec-13,A,"Slaby, Jan. ""The Other Side of Existence: Heidegger on Boredom."" 2010,",X,X,X,a,,,X,X,,X,X
bor-sec-14,A,"Zabalo, Jacobo. ""Notes on Boredom and Metaphysics, Sociologically Fram",X,X,X,X,-,-,-,-,X,X,X
