source,relation,target,locus,provenance,note
Editor's Epilogue,cites,detailed analysis of boredom,(p.373 / GA pp.~539 / pdf 198),faithful,"Heidegger 'emphasized the detailed analysis of boredom, in addition to the significance of the course for the concept of world' during GA editing sessions — external authorial confirmation."
Editor's Epilogue,bridges-to-pipeline,What Is Metaphysics? (1929),(p.373 / GA pp.~539 / pdf 198),faithful,"Inaugural Freiburg lecture (24 July 1929) 'dealt with the attunement of boredom for the first time'; Part One 'must be read in the context of this inaugural lecture'."
What Is Metaphysics? (1929),grounds-question,detailed analysis of boredom,(p.373 / GA pp.~539 / pdf 198),faithful,"The first treatment of the attunement of boredom is the seed of Part One's threefold analysis."
Glossary,defines,(tiefe) Langeweile,(p.375 / GA pp.~541 / pdf 199),faithful,"'(profound) boredom: (tiefe) Langeweile' — the canonical McNeill–Walker rendering of the spine attunement."
(tiefe) Langeweile,glosses-german,profound boredom,(p.375 / GA pp.~541 / pdf 199),faithful,"German↔English equivalence fixing the head-term of the entire boredom analysis."
Glossary,glosses-german,(Grund)stimmung,(p.375 / GA pp.~541 / pdf 199),faithful,"'(fundamental) attunement: (Grund)stimmung' — genus under which profound boredom is the privileged species."
Glossary,glosses-german,Benommenheit,(p.375 / GA pp.~541 / pdf 199),faithful,"'captivation/benumbment: Benommenheit' — fixes the animal (poor-in-world) mode-of-being vocabulary."
Glossary,glosses-german,Hingehaltenheit,(p.376 / GA pp.~542 / pdf 200),faithful,"'(being) held in limbo: Hingehaltenheit' — first structural moment of profound boredom."
Glossary,glosses-german,Leergelassenheit,(p.376 / GA pp.~542 / pdf 200),faithful,"'(being) left empty: Leergelassenheit' — paired being-left-empty moment of the boredom structure."
Glossary,glosses-german,Augenblick,(p.376 / GA pp.~542 / pdf 200),faithful,"'moment of vision: Augenblick' — the liberating temporal point disclosed within profound boredom."
Glossary,glosses-german,Schwermut,(p.376 / GA pp.~542 / pdf 200),faithful,"'(mood of) melancholy: Schwermut' — confirms the §44 melancholy-of-philosophizing word-family (Mut root)."
Glossary,glosses-german,weltarm,(p.376 / GA pp.~542 / pdf 200),faithful,"'poor in world: weltarm' / 'poverty in world: Weltarmut' — animal thesis of the world-comparison."
Editor's Epilogue,defines,Awakening a Fundamental Attunement in Our Philosophizing,(p.372 / GA pp.~538 / pdf 198),faithful,"One of only three Heidegger-authored titles — the Part One title naming the boredom-awakening project."
Editor's Epilogue,concedes,World Finitude Individuation,(p.370 / GA pp.~536 / pdf 197),faithful,"Brocker & Petzet report the noticeboard subtitle was 'Individuation,' not 'Solitude'; manuscript 'Solitude' retained."
Editor's Epilogue,qualifies,left-text right-insertions manuscript layout,(p.371 / GA pp.~537 / pdf 197),faithful,"94-folio manuscript: main text on the left-hand side, insertions/remarks on the right — the layout the 2-up cache split exploits."
Postscript to the Second Edition,contests,Editor's Epilogue,(p.374 / GA pp.~540 / pdf 199),faithful,"Marcuse & Siggemann transcripts surfaced, so the Epilogue's 'not even worked out in manuscript form' verdict on the SS 1929 course 'proved to be incorrect'."
Appendix,cites,Friedrich Nietzsche,(p.368 / GA pp.~534 / pdf 196),faithful,"Will to Power No. 466 ('victory of method over science') and the Zarathustra 'repays a teacher badly' saying frame the end-of-philosophy meditation."
Appendix,extends,end of philosophy is not the end of thinking,(p.368 / GA pp.~534 / pdf 196),faithful,"Under the rise of cybernetics philosophy may vanish, yet thinking continues — to 'open the time-play-space for poetising' toward a 'wording world'."
Eugen Fink,instances-in-text,Appendix,(p.367 / GA pp.~533 / pdf 195),faithful,"Dedicatee; Husserl student who 'entered another, and yet the same school of phenomenology'; his death (25 June 1975) prompted the volume dedication."
Glossary,marginal-note,Dasein/Befindlichkeit gap,(p.375 / GA pp.~541 / pdf 199),faithful,"OCR caveat: the legible glossary lacks headword entries for Dasein and Befindlichkeit; flagged rather than silently omitted."
Editor's Epilogue,interprets-experiment-finding,King-Salvo boredom-as-centerpiece warrant,(p.373 / GA pp.~539 / pdf 198),faithful,"Author-confirmed emphasis on boredom supplies the bridge a non-circular reason to treat the lab's boredom stimulus as the privileged attunement."
