source,relation,target,locus,note
rdr-02,defines,gameplace,"Abstract; Conclusion; endnote 2","Affective relationship between place, experience and play; refines Ali (2016)"
rdr-02,defines,gameworld-vs-gameplace,"Home/Self-Motivation","Gameworld = space for traversal; gameplace = a world for being in"
rdr-02,defines,placeness,"Abstract (Nitsche 2009, 191-201)","Identity; self-motivated/self-organised action; traces of memory"
rdr-02,defines,topopoesis,"Site as Structure (Casey 2002)","Poetic truth of place over topographical representation"
rdr-02,defines,dual-mode-of-agency,"Home/Self-Motivation; endnote 5","Free-roam vessel vs. story-quest imposed agency; identification with vs. as Arthur"
rdr-02,cites,Nitsche 2009 Video Game Spaces,"Abstract; pp.191-201, 193, 198","Three indicators of placeness; primary games-studies anchor"
rdr-02,cites,Tuan 1977 Space and Place,"Introduction","Space becomes place via human connection (phenomenology premise)"
rdr-02,cites,Casey 2002 Representing Place,"Site as Structure; Conclusion","Topopoesis"
rdr-02,cites,Pearson 2010 Site-Specific Performance,"Home/Self-Motivation, p.20; p.19","Activity/audience/place triangulation; visitor taxonomy"
rdr-02,cites,Jenkins 2004 Game Design as Narrative Architecture,"Go West","Four modes of environmental storytelling"
rdr-02,cites,Bizzocchi & Tanenbaum 2011,"Abstract","Close-reading-of-gameplay method"
rdr-02,cites,Bogost 2006 Unit Operations,"Introduction, p.54","Shift from how games work to what they do / expressive capacity"
rdr-02,cites,Wilkie 2002 Mapping the Terrain,"Go West / Site as Structure, p.158","Site as symbol/storyteller/structure"
rdr-02,cites,Wark 2007 Gamer Theory,"Site as Structure","Topographic-to-topological compression"
rdr-02,cites,Galloway 2004 Social Realism in Gaming,"Home/Self-Motivation","Realism as everyday minutiae"
rdr-02,cites,Calleja 2011 In-Game,"Home/Self-Motivation, p.82","Self-motivated journeys/exploration in sandbox roam"
rdr-02,cites,Heidegger 2000 Being and Time,"Home/Self-Motivation","World for being in (gameplace's phenomenological ground)"
rdr-02,extends,Nitsche placeness toward ludic-affective gameplace,"Conclusion","Adds player activities/goals/narrative to how place means"
rdr-02,extends,site-specific performance theory into game analysis,"Introduction; Players & Spectators","Transposes performance studies' site/place vocabulary to videogames"
rdr-02,extends-reading-of,Murray 2005 reading of GTA San Andreas,"Players & Spectators, pp.91-96","Carries Murray's place-centric Rockstar reading forward to RDR2 / gameplace"
rdr-02,contests-reading-of,Humphreys 2012 neoliberal-Western reading of RDR,"Go West, pp.210-214","RDR2 makes the frontier the political ideal; Arthur escapes Marston's recuperation"
rdr-02,concedes,Humphreys 2012 critique partly persists in RDR2,"Go West, p.237","Much of what Humphreys claims of RDR is similarly present in RDR2"
rdr-02,qualifies,Fernandez-Vara 2014 on games-review bias,"Go West, p.3","Cautions that positive RDR reviews may be revenue-biased"
rdr-02,contests,Schwartz 2006 accurate-representation view,"Site as Structure","Regions are compressed caricatures, not accurate historical places (via Wark)"
rdr-02,shifts-debate-axis,from ideology-representation to phenomenology-of-place,"Introduction; Conclusion","Reorients RDR2 analysis toward affective experience of place"
rdr-02,shifts-debate-axis,from empirical user study to qualitative close-reading,"Abstract (Bizzocchi & Tanenbaum 2011)","30+ hours reflective first-person play as evidentiary base"
rdr-02,instances-in-text,placeevent (McLucas via Kaye 2000 p.56),"Introduction","Place and what is built there bleed into each other"
rdr-02,instances-in-text,Pearson visitor taxonomy in RDR2 traversal,"Home/Self-Motivation, p.20","Nomad/wayfarer/derivist/flaneur mapped to mini-map and random encounters"
rdr-02,treats-game-element,Chapter 1 blizzard mountains (Grizzlies),"Site as Storyteller (Figure 1)","Site as story-teller-in-chief; refugee-coded gang; hour-plus to escape"
rdr-02,treats-game-element,Valentine frontier town,"Site as Storyteller (Figures 2-3)","Saloon/jail/stables/hotel/station; first window into Arthur; Leone/Ford imagery"
rdr-02,treats-game-element,Saint Denis industrial city,"Site as Structure (Figure 4)","Steel-and-steam town; empathy-driven climax; site-as-structure"
rdr-02,treats-game-element,the camp (moving home),"Home/Self-Motivation","Relocating base of care/maintenance; acts as home for the player"
rdr-02,treats-game-element,traversal & encounter systems,"Home/Self-Motivation, p.20","Mini-map (wayfarer) vs. random encounter (derivist); kinaesthetic avatar bond"
rdr-02,treats-game-element,NPCs & settlements,"Home/Self-Motivation","Goal-bearing NPCs; background chatter; varying believability; player as flaneur"
rdr-02,treats-game-element,regions and spatial compression,"Site as Structure; endnote 4","Grizzlies-to-Lemoyne under 10 min; compression and order as affective device"
rdr-02,treats-game-element,honor system (incl. KKK exception),"endnote 3","Actions shift NPC behavior/prices/dialogue; KKK-punishment as unique positive-honor crime"
rdr-02,treats-game-element,free-roam activities and compendium/journal,"Home/Self-Motivation","Hunting/poker/theatre; compendium and Arthur's journal scaffold long-term goals"
rdr-02,treats-game-element,prequel-haunting / Arthur's mortality,"endnote 5","Foreknown death (Ch.5 tuberculosis) both galvanizes and diminishes emergent-narrative drive"
rdr-02,cites,Vella & Giappone 2018 The City in Singleplayer Fantasy RPGs,"Site as Storyteller; Home/Self-Motivation","A city must afford the spatial practices we understand as a city's"
