source,relation,target,locus,note
bor-sec-38,defines,Executive Functions (EF) load framework (updating/shifting/inhibition),~p.1,"EFs defined as attention-related top-down control processes; a hyperlink-like selection decision is reasoned to recruit shifting (reading-to-deciding task shift) and inhibition (ignoring distractor words) (FAITHFUL-Scharinger et al., p.1, citing Miyake et al.)."
bor-sec-38,defines,hyperlink-like selection paradigm (baseline vs. test condition within one text),~p.4-5,"The study's core experimental manipulation: epochs of pure text reading (baseline) vs. epochs requiring a context-matching word-selection decision among three bracketed options (test), isolating link-selection load from subsequent-page navigation load (FAITHFUL-Scharinger et al., p.4-5)."
bor-sec-38,treats-construct,attentional disengagement / meta-awareness,~p.1,"Analogical only (not the source's own vocabulary): the paper's EF-'inhibition,' defined as interference control/executive attention, names the same control-failure mechanism boredom researchers elsewhere in this cluster invoke for attentional disengagement, but this paper studies intact, effortful inhibition, not its breakdown (P/anticipatory-application)."
bor-sec-38,treats-construct,flow / engagement (contrast pole),"~p.5, 7","Analogical only: task deliberately calibrated 'neither over- nor under-loaded,' comprehension scores in the 'upper third' of norms -- an empirical engaged-task portrait, though the authors never use engagement/flow vocabulary (P/anticipatory-application)."
bor-sec-38,treats-construct,mind-wandering / task-unrelated thought,~p.1-2,"Analogical only: EF-inhibition (suppressing distractor words during selection) is the same control substrate that resource-control models of mind-wandering invoke for suppressing task-unrelated thought, though this paper never engages that literature or names mind-wandering (P/anticipatory-application)."
bor-sec-38,operationalizes-measure,pupil dilation / pupillometry,~p.5-8/11-16,"250 Hz SMI remote infrared eye-tracker, chin-rest-stabilized (~70cm); N=23/19/24 across three experiments; increased in test vs. baseline (Exp.1 F(1,22)=21.85, p<.001; Exp.2 F(1,18)=32.61, p<.001); no difference once difficulty equalized (Exp.3) (FAITHFUL-Scharinger et al., p.7-8, 11-12, 15-16)."
bor-sec-38,operationalizes-measure,EEG alpha/theta power,~p.6-9/12-13,"27-electrode 10/20-system EEG at 500Hz; alpha band (8-13Hz) power at Pz; N=23/19; decreased in test vs. baseline (Exp.1 F(1,22)=16.05, p=.001; Exp.2 F(1,18)=15.00, p=.001); left-lateralized, parietal-occipital-maximal; theta band not analyzed (FAITHFUL-Scharinger et al., p.8-9, 12-13)."
bor-sec-38,operationalizes-measure,gaze variance / fixation dispersion,~p.5-7,"Secondary/apparatus use of the same eye-tracker: gaze position used to define text-line areas of interest for epoch placement and to visually confirm a linear (non-skimming) reading pattern; not itself a reported dependent measure or statistic (FAITHFUL-Scharinger et al., p.5-7)."
bor-sec-38,operationalizes-measure,blink / eye-closure,~p.6-7,"Eye-blink artifacts (missing data points) in the continuous eye-tracking stream were corrected via linear interpolation during preprocessing only; not analyzed as a dependent measure (FAITHFUL-Scharinger et al., p.6-7)."
bor-sec-38,operationalizes-measure,behavioral (RT / errors / performance-monitoring),~p.7-9/12-13/16,"LGVT reading-comprehension score (+2/-1 per correct/incorrect word selection) and total reading time; negatively correlated with alpha-power change (Exp.1 r=-.41 marginal; Exp.2 r=-.50 p<.05) and strongly with reading time (r=-.80/-.84, p<.001); not correlated with pupil dilation (FAITHFUL-Scharinger et al., p.7-9, 12-13, 16)."
bor-sec-38,qualifies,EEG frontal alpha asymmetry,~p.8-9/12-13,"The reported hemisphere/electrode-site laterality effects are topographic (left-hemisphere, parietal-occipital-maximal decrease tied to linguistic-task lateralization), not the classic frontal (F3/F4) approach-withdrawal asymmetry index; flagged to prevent conflation between the two constructs (FAITHFUL-Scharinger et al., p.8-9, 12-13)."
bor-sec-38,construct-measured-by,load on executive functions (EFs) / pupil dilation,~p.1-4/7-8,"Hypothesis 1a: EF load during link-selection is expected to and does manifest as increased pupil dilation relative to pure-reading baseline (FAITHFUL-Scharinger et al., p.4, 7-8)."
bor-sec-38,construct-measured-by,load on executive functions (EFs) / EEG alpha frequency band power,~p.1-4/8-9,"Hypothesis 1b: EF load during link-selection is expected to and does manifest as decreased (event-related-desynchronized) alpha power relative to pure-reading baseline (FAITHFUL-Scharinger et al., p.4, 8-9)."
bor-sec-38,cites,Kintsch construction-integration model of text comprehension,~p.2,"Distinguishes a construction step (textbase, affected by link-selection) from an integration step (situation model, affected by subsequent pages), framing where in the comprehension process this study's load effects should act (FAITHFUL-Scharinger et al., p.2)."
bor-sec-38,cites,"Miyake, A., Friedman, N.P., Emerson, M.J., Witzki, A.H., & Howerter, A. (2000)",~p.1,"Source of the updating/shifting/inhibition executive-function taxonomy adopted throughout the study (FAITHFUL-Scharinger et al., p.1)."
