subject,stimulus,signal,subseries,n_samples,mean,sd,roughness,provenance
S01,BOR,HR,0,2178,79.40725436179982,4.380845976490766,0.5044378458218328,csv_exact_dup
S01,BOR,HRV,0,2178,102.92502449311294,17.027090653168525,2.2177732075105157,csv_exact_dup
S01,BOR,CogLoad,0,2178,0.5712583278236915,0.13473091720823827,0.044984819148792744,csv_exact_dup
S01,BOR,EyeGazeAxis,0,2178,-0.010484848484848487,0.16542923549337604,0.1311826609843845,fig_derived_only
S01,BOR,EyeGazeAxis,1,2178,-0.20702708907254364,0.1254028355620741,0.07128688133740003,fig_derived_only
S01,BOR,EyeGazeAxis,2,2178,0.04472956841138661,0.03682971334438438,0.02795845559501728,fig_derived_only
S01,BOR,EyeGazeMedian,0,2178,-0.010649678604224059,0.15203755955522097,0.060648437334529036,fig_derived_only
S01,BOR,EyeGazeMedian,1,2178,-0.20854224058769516,0.1202649176592638,0.04198625529423822,fig_derived_only
S01,BOR,EyeGazeMedian,2,2178,0.04336042240587696,0.033463931958961246,0.013886027912373651,fig_derived_only
S01,BOR,PupilLeft,0,2178,3.020778675849403,0.28597571767562324,0.1337029890622054,fig_derived_only
S01,BOR,PupilLeft,1,2178,3.023611993572085,0.26765142585217694,0.05992051194879847,fig_derived_only
S01,BOR,PupilLeft,2,2178,3.022898895775941,0.2577500167978709,0.04640859204366971,fig_derived_only
S01,BOR,PupilLeft,3,2178,3.0222721533516994,0.2479004586491734,0.03762659285999753,fig_derived_only
S01,BOR,PupilLeft,4,2178,3.012485041322314,0.21436634974273797,0.019475982939563454,fig_derived_only
S01,BOR,PupilRight,0,2178,2.9165864701561066,0.2836181537408307,0.13264067414826936,fig_derived_only
S01,BOR,PupilRight,1,2178,2.9191510803489438,0.26447742386800127,0.06148565011044368,fig_derived_only
S01,BOR,PupilRight,2,2178,2.9175328985307623,0.25361726517159777,0.04543462731964104,fig_derived_only
S01,BOR,PupilRight,3,2178,2.915418233700643,0.2463006761052544,0.039013442467927185,fig_derived_only
S01,BOR,PupilRight,4,2178,2.9039538149678603,0.20831036251145552,0.019264966734157195,fig_derived_only
S01,CLC,HR,0,2179,77.10096374483709,4.027201450939671,0.4525123577521925,csv_exact_dup
S01,CLC,HRV,0,2179,121.37981681964207,12.492687503161173,1.6131123101747014,csv_exact_dup
S01,CLC,CogLoad,0,2179,0.5996197682423131,0.11953085225576077,0.04163531428212744,csv_exact_dup
S01,CLC,EyeGazeAxis,0,2179,-0.02748141349242772,0.12158701984500465,0.1108765680963689,fig_derived_only
S01,CLC,EyeGazeAxis,1,2179,-0.06076319412574577,0.12749188855258362,0.1068002257877073,fig_derived_only
S01,CLC,EyeGazeAxis,2,2179,0.018283616337769627,0.027102432835117162,0.025346233095220126,fig_derived_only
S01,CLC,EyeGazeMedian,0,2179,-0.02698347865993575,0.09853052353705603,0.04574264255621566,fig_derived_only
S01,CLC,EyeGazeMedian,1,2179,-0.05672418540614961,0.10912776811164286,0.050751229554189696,fig_derived_only
S01,CLC,EyeGazeMedian,2,2179,0.015609453877925663,0.02125280690637774,0.010555768166316268,fig_derived_only
S01,CLC,PupilLeft,0,2179,3.280497431849472,0.2283026734909061,0.12128533846758113,fig_derived_only
S01,CLC,PupilLeft,1,2179,3.2795536163377697,0.20452331965554874,0.0495657356419541,fig_derived_only
S01,CLC,PupilLeft,2,2179,3.280800568150528,0.195311484032341,0.035173182069710145,fig_derived_only
S01,CLC,PupilLeft,3,2179,3.278819821936668,0.18963638698396404,0.02811868682844148,fig_derived_only
S01,CLC,PupilLeft,4,2179,3.2730939729233595,0.16646558458397775,0.01591624446121457,fig_derived_only
S01,CLC,PupilRight,0,2179,3.1405306581000456,0.2137816689933334,0.1168988692927158,fig_derived_only
S01,CLC,PupilRight,1,2179,3.1367265810004588,0.18853339328736954,0.045383247229762474,fig_derived_only
S01,CLC,PupilRight,2,2179,3.1364842905002295,0.18108547395684418,0.03410608413472567,fig_derived_only
S01,CLC,PupilRight,3,2179,3.1345187907296923,0.17459892525946105,0.027248639582171982,fig_derived_only
S01,CLC,PupilRight,4,2179,3.130390256080771,0.14778412560040236,0.014470892276305759,fig_derived_only
S01,INT,HR,0,1964,76.24745417515275,4.047184613375483,0.4252518742963771,csv_exact_dup
S01,INT,HRV,0,1964,111.83642729735236,20.413760774720004,1.8505636991158976,csv_exact_dup
S01,INT,CogLoad,0,1964,0.5069906237270876,0.15788729306370472,0.05557303903566729,csv_exact_dup
S01,INT,EyeGazeAxis,0,1964,0.0022036659877800414,0.1443721510217045,0.1380128102241154,fig_derived_only
S01,INT,EyeGazeAxis,1,1964,-0.11437627291242362,0.11899861997162652,0.07805506636781535,fig_derived_only
S01,INT,EyeGazeAxis,2,1964,0.02483350305498983,0.03027113184818423,0.023532167951379336,fig_derived_only
S01,INT,EyeGazeMedian,0,1964,0.00504480651731161,0.12065875712348335,0.0663819008822642,fig_derived_only
S01,INT,EyeGazeMedian,1,1964,-0.11531364562118127,0.11041056686802589,0.04681972129500942,fig_derived_only
S01,INT,EyeGazeMedian,2,1964,0.02315784114052954,0.025138851363679098,0.01003640431567134,fig_derived_only
S01,INT,PupilLeft,0,1964,2.921709916496945,0.3159765793737704,0.16975010194113815,fig_derived_only
S01,INT,PupilLeft,1,1964,2.9233554093686354,0.2813536375702772,0.08224303392643512,fig_derived_only
S01,INT,PupilLeft,2,1964,2.9221779872708757,0.2643150929792444,0.06126530970390079,fig_derived_only
S01,INT,PupilLeft,3,1964,2.916691934826884,0.24994352155298474,0.0478242223077284,fig_derived_only
S01,INT,PupilLeft,4,1964,2.911998482179226,0.1984106191420257,0.02511991059656208,fig_derived_only
S01,INT,PupilRight,0,1964,2.8530091751527493,0.30458053082129816,0.16352215561427844,fig_derived_only
S01,INT,PupilRight,1,1964,2.8525501008146636,0.27132740128855215,0.07865286050724236,fig_derived_only
S01,INT,PupilRight,2,1964,2.8514446232179225,0.2553230208213125,0.059460549500838206,fig_derived_only
S01,INT,PupilRight,3,1964,2.8455014557026477,0.2400067847751888,0.04632908625454489,fig_derived_only
S01,INT,PupilRight,4,1964,2.839799264256619,0.1814828010731214,0.02302303660647301,fig_derived_only
S02,BOR,HR,0,2734,68.30797366495976,3.777396204093603,0.46932955287431,csv_exact_dup
S02,BOR,HRV,0,2734,95.89400998207755,21.608080656060345,1.970834319483941,csv_exact_dup
S02,BOR,CogLoad,0,2734,0.42127421177761526,0.14604276921321846,0.06656660904204088,csv_exact_dup
S02,BOR,EyeGazeAxis,0,2734,-0.027529992684711044,0.18331312133550975,0.12441696879800994,fig_derived_only
S02,BOR,EyeGazeAxis,1,2734,-0.15780760790051207,0.12392039531564188,0.0696271229374772,fig_derived_only
S02,BOR,EyeGazeAxis,2,2734,0.03879261155815655,0.038278793881109836,0.026998959569061957,fig_derived_only
S02,BOR,EyeGazeMedian,0,2734,-0.029528529626920267,0.16778144341947174,0.07804081512559001,fig_derived_only
S02,BOR,EyeGazeMedian,1,2734,-0.15642867593269935,0.11917949737237032,0.05031160552091599,fig_derived_only
S02,BOR,EyeGazeMedian,2,2734,0.036867593269934176,0.03385018020071627,0.015295786666167951,fig_derived_only
S02,BOR,PupilLeft,0,2734,3.4333441832479883,0.3309191949841071,0.16195007436498168,fig_derived_only
S02,BOR,PupilLeft,1,2734,3.4338889370885153,0.3046859993031424,0.06965974980222317,fig_derived_only
S02,BOR,PupilLeft,2,2734,3.4326824915874177,0.2937972575708554,0.052497963315573354,fig_derived_only
S02,BOR,PupilLeft,3,2734,3.4325847549378206,0.2829979100264848,0.041950915213363416,fig_derived_only
S02,BOR,PupilLeft,4,2734,3.4260951217995608,0.25008494885876714,0.02315470607555347,fig_derived_only
S02,BOR,PupilRight,0,2734,3.560179567300658,0.336815319471409,0.16714469170026047,fig_derived_only
S02,BOR,PupilRight,1,2734,3.563163589246525,0.3118729735570046,0.07189329833553959,fig_derived_only
S02,BOR,PupilRight,2,2734,3.563177211046086,0.2995383839283322,0.05329780649632897,fig_derived_only
S02,BOR,PupilRight,3,2734,3.5617918803950253,0.29188376928499976,0.04385749381188885,fig_derived_only
S02,BOR,PupilRight,4,2734,3.556573002560351,0.2577639465467743,0.02417495618996017,fig_derived_only
S02,CLC,HR,0,2716,70.06516936671576,3.6344097323210582,0.40847228518631556,csv_exact_dup
S02,CLC,HRV,0,2716,79.80121998564064,20.987082884687347,2.237542772830192,csv_exact_dup
S02,CLC,CogLoad,0,2716,0.49906690868924886,0.16802354758756702,0.05096331271748155,csv_exact_dup
S02,CLC,EyeGazeAxis,0,2716,-0.045652061855670105,0.14080962272570446,0.10513679354848923,fig_derived_only
S02,CLC,EyeGazeAxis,1,2716,-0.10097901325478646,0.159329582880155,0.10550325468847771,fig_derived_only
