round,row,col,spearman,subject,stimulus,validity_proxy,continuous_openness,pearson_r
1,eye openness,eye openness,1,,,,,
1,eye openness,pupil dilation,-0.146553602073,,,,,
1,eye openness,cognitive load,0.291367695516,,,,,
1,eye openness,HR,0.227440753365,,,,,
1,eye openness,gaze deviation variance,0.135681673136,,,,,
1,eye openness,gaze deviation median,0.0413133299612,,,,,
1,pupil dilation,eye openness,-0.146553602073,,,,,
1,pupil dilation,pupil dilation,1,,,,,
1,pupil dilation,cognitive load,-0.453913043478,,,,,
1,pupil dilation,HR,-0.044347826087,,,,,
1,pupil dilation,gaze deviation variance,-0.0417391304348,,,,,
1,pupil dilation,gaze deviation median,-0.319130434783,,,,,
1,cognitive load,eye openness,0.291367695516,,,,,
1,cognitive load,pupil dilation,-0.453913043478,,,,,
1,cognitive load,cognitive load,1,,,,,
1,cognitive load,HR,0.0730434782609,,,,,
1,cognitive load,gaze deviation variance,0.132173913043,,,,,
1,cognitive load,gaze deviation median,0.253913043478,,,,,
1,HR,eye openness,0.227440753365,,,,,
1,HR,pupil dilation,-0.044347826087,,,,,
1,HR,cognitive load,0.0730434782609,,,,,
1,HR,HR,1,,,,,
1,HR,gaze deviation variance,0.281739130435,,,,,
1,HR,gaze deviation median,0.470434782609,,,,,
1,gaze deviation variance,eye openness,0.135681673136,,,,,
1,gaze deviation variance,pupil dilation,-0.0417391304348,,,,,
1,gaze deviation variance,cognitive load,0.132173913043,,,,,
1,gaze deviation variance,HR,0.281739130435,,,,,
1,gaze deviation variance,gaze deviation variance,1,,,,,
1,gaze deviation variance,gaze deviation median,0.559130434783,,,,,
1,gaze deviation median,eye openness,0.0413133299612,,,,,
1,gaze deviation median,pupil dilation,-0.319130434783,,,,,
1,gaze deviation median,cognitive load,0.253913043478,,,,,
1,gaze deviation median,HR,0.470434782609,,,,,
1,gaze deviation median,gaze deviation variance,0.559130434783,,,,,
1,gaze deviation median,gaze deviation median,1,,,,,
2,eye openness,eye openness,1,,,,,
2,eye openness,pupil dilation,0.216783216783,,,,,
2,eye openness,cognitive load,-0.0839160839161,,,,,
2,eye openness,HR,-0.321212121212,,,,,
2,eye openness,gaze deviation variance,-0.202797202797,,,,,
2,eye openness,gaze deviation median,-0.20979020979,,,,,
2,pupil dilation,eye openness,0.216783216783,,,,,
2,pupil dilation,pupil dilation,1,,,,,
2,pupil dilation,cognitive load,0.00699300699301,,,,,
2,pupil dilation,HR,0.757575757576,,,,,
2,pupil dilation,gaze deviation variance,-0.776223776224,,,,,
2,pupil dilation,gaze deviation median,-0.65034965035,,,,,
2,cognitive load,eye openness,-0.0839160839161,,,,,
2,cognitive load,pupil dilation,0.00699300699301,,,,,
2,cognitive load,cognitive load,1,,,,,
2,cognitive load,HR,0.454545454545,,,,,
2,cognitive load,gaze deviation variance,-0.272727272727,,,,,
2,cognitive load,gaze deviation median,-0.0769230769231,,,,,
2,HR,eye openness,-0.321212121212,,,,,
2,HR,pupil dilation,0.757575757576,,,,,
2,HR,cognitive load,0.454545454545,,,,,
2,HR,HR,1,,,,,
2,HR,gaze deviation variance,-0.878787878788,,,,,
2,HR,gaze deviation median,-0.660606060606,,,,,
2,gaze deviation variance,eye openness,-0.202797202797,,,,,
2,gaze deviation variance,pupil dilation,-0.776223776224,,,,,
2,gaze deviation variance,cognitive load,-0.272727272727,,,,,
2,gaze deviation variance,HR,-0.878787878788,,,,,
2,gaze deviation variance,gaze deviation variance,1,,,,,
2,gaze deviation variance,gaze deviation median,0.671328671329,,,,,
2,gaze deviation median,eye openness,-0.20979020979,,,,,
2,gaze deviation median,pupil dilation,-0.65034965035,,,,,
2,gaze deviation median,cognitive load,-0.0769230769231,,,,,
2,gaze deviation median,HR,-0.660606060606,,,,,
2,gaze deviation median,gaze deviation variance,0.671328671329,,,,,
2,gaze deviation median,gaze deviation median,1,,,,,
2,validity proxy,continuous openness,,R2-01,BOR,0.757640556882,0.771792246124,0.997851199234
2,validity proxy,continuous openness,,R2-01,CLC,0.909267059184,0.907995241907,0.997851199234
2,validity proxy,continuous openness,,R2-01,INT,0.864345704031,0.862150533031,0.997851199234
2,validity proxy,continuous openness,,R2-02,BOR,0.699523590905,0.712359542105,0.997851199234
2,validity proxy,continuous openness,,R2-02,CLC,0.91168332571,0.908713257349,0.997851199234
2,validity proxy,continuous openness,,R2-02,INT,0.918119206284,0.916171521325,0.997851199234
2,validity proxy,continuous openness,,R2-03,BOR,0.851170174837,0.845229125743,0.997851199234
2,validity proxy,continuous openness,,R2-03,CLC,0.893523635301,0.889747449725,0.997851199234
2,validity proxy,continuous openness,,R2-03,INT,0.91063033034,0.904281075001,0.997851199234
2,validity proxy,continuous openness,,R2-04,BOR,0.868816177418,0.868846494918,0.997851199234
2,validity proxy,continuous openness,,R2-04,CLC,0.895109507037,0.901331333072,0.997851199234
2,validity proxy,continuous openness,,R2-04,INT,0.877153136946,0.874604602354,0.997851199234
