source_id,relation,target_id,domain,evidence_pdf_page,evidence_bekker_or_page,contributor,notes
PHX-07-HAWHEE,defines,CONCEPT:rhetorical-vision,signature-thesis,2-3,139-141,Hawhee,"Words form, alter, conjure visual perception in audiences; unifies Rhetoric I/II/III"
PHX-07-HAWHEE,distinguishes,CONCEPT:rhetorical-vision-vs-visual-rhetoric,programmatic,3,140,Hawhee,"Rhetorical vision = word-centered; visual rhetoric (Finnegan, Hariman/Lucaites) = object-centered"
PHX-07-HAWHEE,argues,READING:R1-unity-of-rhetoric,interpretive-thesis,3,140,Hawhee,"Rhetorical vision lends unity to the Rhetoric's three books"
PHX-07-HAWHEE,argues,READING:R2-non-metaphorical-vision,interpretive-thesis,4,141 +161 (Note 15),Hawhee,"Phantasia operates near/at direct sense perception, not only metaphorical 'seeing-as-understanding'"
PHX-07-HAWHEE,refines,PHX-01-NUSSBAUM,cluster-citation,15,152,Hawhee,"'Phantasia moves closer to the way Nussbaum (1985) figures it — as interpretation, but interpretation grafted onto direct perception'"
PHX-07-HAWHEE,affirms,READING:R3-grafted-interpretation,interpretive-thesis,15,152,Hawhee,"Synthesis of imagist (Modrak) and interpretivist (Nussbaum) readings"
PHX-07-HAWHEE,argues,READING:R4-deliberative-spread-of-invention,interpretive-thesis,18,155-156,Hawhee,"Deliberative phantasia spreads invention from rhetor to audience"
PHX-07-HAWHEE,argues,READING:R5-Demosthenes-as-performative-proof,interpretive-thesis,19-22,155-159,Hawhee,"Demosthenes' Epitaphios as performative case study"
PHX-07-HAWHEE,argues,READING:R6-neurorhetorical-bridge,interpretive-thesis,22-23,159-160,Hawhee,"Aristotle on phantasia consonant with Kosslyn & Thompson 2003 on visual cortex"
PHX-07-HAWHEE,analyzes,ARISTOTLE-LOCUS:DA-3.3-428a.1-8,canonical-locus,5,DA 428a.1-8,Hawhee,"Phantasia as dunamis distinct from aisthesis, opinion, knowledge, intelligence"
PHX-07-HAWHEE,analyzes,ARISTOTLE-LOCUS:DA-3.3-427b.14-16,canonical-locus,5,DA 427b.14-16,Hawhee,"Phantasia different from perceiving/thinking but not found without them"
