source,relation,target,locus,note
bor-sec-09,treats-construct,profound/deep boredom (FCM 3rd form),"pp.35-39","Central object of the article; site of the truth/meaning diagnosis (FE)"
bor-sec-09,treats-construct,being-bored-by (1st form),"p.32","Brief baseline recap via station/waiting example (FAITHFUL-Mihacevic, p.32)"
bor-sec-09,treats-construct,being-bored-with (2nd form),"pp.33-34, 40","Party example read via Mitsein; sole locus of genuine loss of personal meaning (FAITHFUL-Mihacevic, p.33-34)"
bor-sec-09,treats-construct,situational vs. trait/state boredom,"p.32 n.50; p.34 n.58","Adopts Elpidorou & Freeman's state/trait labels for 1st/2nd forms (FAITHFUL-Mihacevic, p.32 n.50)"
bor-sec-09,treats-construct,monotony/meaninglessness,"pp.29, 40-41","Central interpretive stake; disputes uniform loss-of-meaning reading across all three forms (FE)"
bor-sec-09,treats-construct,temporality of boredom (time-drag),"pp.32-40","Extended argument that 3rd-form time-alteration is nunc stans/noeseos noesis, not linear repetition (FE)"
bor-sec-09,treats-construct,flow / engagement (contrast pole),"p.39","Gelassenheit (non-willing meditative thinking) posed against calculative/planned thought (FAITHFUL-Mihacevic, p.39)"
bor-sec-09,bridges-to-fcm,fcm-04-first-form,"Mihacevic p.32; FCM pp.87-105 (pdf 53-64)","Source's own gloss of 1st-form Zeitvertreib and being-held-in-limbo via the station-waiting analogy (FAITHFUL-Mihacevic, p.32)"
bor-sec-09,bridges-to-fcm,fcm-05-second-form,"Mihacevic pp.33-34; FCM pp.106-131 (pdf 65-77)","Source's own reading of the party scene as Mitsein-boredom, more profound/indeterminate than the 1st form (FAITHFUL-Mihacevic, p.33-34)"
bor-sec-09,bridges-to-fcm,fcm-06-third-form,"Mihacevic pp.34-39; FCM pp.132-159 (pdf 78-91)","Sustained engagement with 'it is boring for one,' the indifference of beings as a whole, and the moment of vision (FAITHFUL-Mihacevic, p.35-36)"
bor-sec-09,contests-reading-of,fcm-06-third-form,"Mihacevic pp.39-40; FCM pp.152-153 (pdf 88)","Argues 3rd-form time-alteration is nunc stans/noeseos noesis (non-repetitive), against an ecstatic-repetition reading of Langeweile's temporal structure (FE)"
bor-sec-09,bridges-to-fcm,fcm-07-particular-profound,"Mihacevic pp.35-36; FCM pp.160-168 (pdf 92-96)","Conclusion's turn to technological rationality/Das Man parallels FCM's diagnostic register for contemporary Dasein (FAITHFUL-Mihacevic, p.35-36)"
bor-sec-09,cites-cluster-author,bor-sec-04,"Mihacevic pp.28, 34, 39-40 (n.18, n.58, n.91-92)","Engages Elpidorou & Freeman's claim that profound boredom = lack of meaning + disengagement + altered time-perception (FAITHFUL-Mihacevic, p.39-40)"
bor-sec-09,contests-reading-of,bor-sec-04,"p.40-41","Disputes the uniform loss-of-meaning claim across all three forms; only the 2nd form is genuine loss of personal meaning (FE)"
bor-sec-09,cites-cluster-author,bor-sec-07,"p.28 (n.19)","Cites Gibbs on boredom's difficulty of recognition as an internally or externally caused mood (FAITHFUL-Mihacevic, p.28)"
bor-sec-09,cites-cluster-author,bor-sec-13,"pp.28, 34 (n.14, n.68)","Cites Slaby on moods as existential orientations and on the Mitsein-structure of 2nd-form boredom (FAITHFUL-Mihacevic, p.28)"
bor-sec-09,contests-reading-of,"Svendsen, Lars","p.29","Agrees boredom involves loss of meaning generally, disputes Svendsen's causal attribution (meaning-of-Being vs. truth-of-Being) and rejects his 'no Being as such' conclusion (FE)"
bor-sec-09,qualifies,"Ciocan, Cristian","pp.28-29","Credits Ciocan's tracing of continuities between FCM and Being and Time on boredom/anxiety, but judges the authentic/inauthentic gap 'bridged but not closed' (FAITHFUL-Mihacevic, p.28)"
bor-sec-09,cites,"Boss, Medard","pp.32-33","Cites Boss on time 'standing' rather than flowing in profound boredom (FAITHFUL-Mihacevic, p.32)"
bor-sec-09,cites,"Parvis, E.","pp.32, 36","Cites Parvis on Langeweile's literal 'long-while' sense and on boredom as access to Dasein (FAITHFUL-Mihacevic, p.36)"
