source,relation,target,locus,note
ped-sec-11,treats-construct,presence (spatial/physical),"p.18, 22-24","Presence measured with 4 items (alpha=0.78); predicted by VR features (beta=0.871) not usability; sole affective-family mediator with any downstream path, to change in motivation (beta=0.429) (FAITHFUL-Makransky-Petersen)."
ped-sec-11,treats-construct,representational fidelity,"p.17, 22","VR-features indicator; 3 items alpha=0.86; beta=0.874 to the latent VR-features factor (FAITHFUL-Makransky-Petersen)."
ped-sec-11,treats-construct,agency / interactivity,"p.17, 22","Operationalized as immediacy of control (view/object manipulation); 3 items alpha=0.76; beta=0.823 to VR features (FAITHFUL-Makransky-Petersen)."
ped-sec-11,treats-construct,affect: enjoyment & intrinsic motivation,"p.18-19, 22-24","Perceived enjoyment (non-predictive mediator) and change in intrinsic motivation (outcome, predicted by presence beta=0.429, predicts change in self-efficacy beta=0.278) (FE)."
ped-sec-11,treats-construct,self-efficacy,"p.19, 23-24","Terminal mediator and sole direct predictor of learning (beta=0.579); convergence point of both affective and cognitive paths (FE)."
ped-sec-11,treats-construct,learning outcomes: retention & transfer,"p.19, 23-24","Operationalized as pre-to-post change on a 20-item knowledge test (facts/concepts/procedures); the model's terminal outcome (FAITHFUL-Makransky-Petersen)."
ped-sec-11,treats-construct,cognitive load (extraneous vs germane),p.24,"Not operationalized in this study's own instruments; invoked interpretively to explain other studies' high-fidelity-VR presence-without-learning findings (FE, qualified)."
ped-sec-11,tests-condition,desktop-3D / non-immersive VR,p.20-22,"Single-arm design: all N=199 participants used the same desktop-VR (Labster) genetics simulation; no HMD/immersive or 2D condition present (FAITHFUL-Makransky-Petersen)."
ped-sec-11,tests-condition,SEM / process model (no media contrast),p.21-24,"Confirmatory SEM in Mplus; a priori 29-path model trimmed to a final model (RMSEA=0.057, CFI=0.964, TLI=0.960) isolating affective and cognitive paths to learning (FAITHFUL-Makransky-Petersen)."
ped-sec-11,defines,VR features (CONSTRUCT),p.17,"Latent construct comprising representational fidelity and immediacy of control, coined by Whitelock, Brna & Holland 1996, adopted from Lee et al. 2010 (FAITHFUL-Makransky-Petersen)."
ped-sec-11,defines,usability (CONSTRUCT),p.17-18,"Perceived usefulness + perceived ease of use, per Davis's Technology Acceptance Model (FAITHFUL-Makransky-Petersen)."
ped-sec-11,defines,presence (CONSTRUCT),p.18,"Glossed via Lee et al.'s 'psychological sense of being there' and Witmer & Singer's subjective-experience-of-place definition (FAITHFUL-Makransky-Petersen, p.18)."
