source,target,relation,domain,weight,units,evidence
ψυχή,ἐντελέχεια ἡ πρώτη,defined_as,ontological,1.0,"DA-02","Soul IS first actuality of a natural organized body (412a27)"
ψυχή,οὐσία,instantiates,ontological,0.95,"DA-02","Soul is substance in the sense of form (412a6-9)"
ψυχή,εἶδος,defined_as,ontological,0.95,"DA-02","Soul is substance as form of a body having life potentially (412a10-20)"
ψυχή,αἰτία,instantiates,ontological,0.95,"DA-02","Soul is cause in three senses: efficient, final, formal (415b8-28)"
ψυχή,τὸ τί ἦν εἶναι,defined_as,ontological,0.9,"DA-02","Soul as formal cause: essence identical with cause of being (415b12)"
ψυχή,τέλος,instantiates,teleological,0.9,"DA-02","Nature acts for an end; all natural bodies are organs of soul (415b16-18)"
ψυχή,κίνησις,contrasts_with,psychological,0.9,"DA-01","Soul is not a self-mover; refutation of predecessors (406a12-407a2)"
εἶδος,ὕλη,contrasts_with,ontological,0.9,"DA-02,DA-03","Form/matter = actuality/potentiality; soul/body instantiate this polarity (412a6-10)"
ἐντελέχεια,ἐνέργεια,contrasts_with,ontological,0.9,"DA-02","First actuality = possession (hexis); second = exercise (energeia). Sleep vs. waking (412a23-26)"
ἐνέργεια,δύναμις,contrasts_with,ontological,1.0,"DA-02,DA-03","Sense is potentially what the sensible is actually; joint actualization is one event (425b26-426a27)"
αἴσθησις,δύναμις / ἐνέργεια,explained_by,ontological,1.0,"DA-02","Perception is transition from potentiality to actuality through external agent (416b33-418a6)"
αἴσθησις,εἶδος ἄνευ τῆς ὕλης,operationalizes,ontological,0.95,"DA-03","Sense receives sensible forms without matter — wax-signet analogy (424a17-28)"
αἴσθησις,μεσότης,depends_on,perceptual,0.9,"DA-03","Sense-organ is a mean between contraries; explains discriminative power (424a2-7)"
αἴσθησις,μεταξύ,depends_on,perceptual,0.95,"DA-03","All perception requires a medium; even touch operates through flesh (423b1-8)"
φαντασία,αἴσθησις,depends_on,psychological,0.95,"DA-04","Phantasia is a movement resulting from actual sense (429a1-2)"
φαντασία,αἴσθησις,contrasts_with,psychological,0.85,"DA-04","Phantasia is distinct from sensation: occurs in dreams; can be false (428a1-16)"
φαντασία,κίνησις,defined_as,psychological,0.95,"DA-04","Phantasia IS a kinēsis — movement resulting from actual sensation (429a1-2)"
φαντασία,φάος / φῶς,depends_on,psychological,0.85,"DA-04","Etymology: phantasia from phaos because seeing requires light (429a2-4)"
φαντασία,ὄρεξις,supports,psychological,0.9,"DA-04","Appetite cannot function without imagination (433b28-29)"
νοῦς,φαντασία,depends_on,psychological,0.95,"DA-04","The soul never thinks without an image (431a17)"
νοῦς,αἴσθησις,contrasts_with,psychological,0.9,"DA-04","Nous is separable and impassible; aisthēsis depends on body (430a17-18 vs. 429a29-b5)"
νοῦς ποιητικός,νοῦς παθητικός,explains,psychological,0.9,"DA-04","Active nous makes all things thinkable (like light); passive nous is potentially all things (430a10-25)"
νοῦς ποιητικός,φῶς,exemplifies,psychological,0.85,"DA-04","Active nous likened to light making potential colours actual (430a15-17)"
ὄρεξις,κίνησις,explains,psychological,0.95,"DA-04","Appetite + practical thought is source of animal movement (433a9-b30)"
τὸ ἀγαθόν,ὄρεξις,explains,psychological,0.9,"DA-04","The real or apparent good is unmoved mover of action — object of appetite (433a27-29)"
φαντασία βουλευτική,φαντασία αἰσθητική,refines,psychological,0.85,"DA-04","Deliberative extends sensitive: making unity from several images (434a5-10)"
κοινὴ αἴσθησις,αἴσθησις,operationalizes,psychological,0.9,"DA-03,DA-04","Common sense unifies perception across modalities in single act (426b8-427a1)"
κοινὰ αἰσθητά,κοινὴ αἴσθησις,perceived_by,perceptual,0.95,"DA-03,DA-04","Common sensibles perceived by common sensibility, not a special sense (425a27-30)"
ἴδιον αἰσθητόν,κοινὰ αἰσθητά,contrasts_with,perceptual,0.95,"DA-02,DA-03","Proper = one sense only, infallible; common = shared across senses (418a11-19)"
φωνή,φαντασία,depends_on,psychological,0.85,"DA-03","Voice requires imagination; voice = sound with meaning (420b29-33)"
φωνή,ψόφος,specializes,perceptual,0.9,"DA-03","Voice is a species of sound: ensouled, meaningful, requiring special organs"
ἁφή,αἴσθησις,operationalizes,psychological,0.9,"DA-03,DA-04","Touch is the foundational/indispensable sense for animal existence (434a25-435b25)"
λόγοι ἔνυλοι,ψυχή,explains,methodological,0.9,"DA-01","Affections of soul require enmattered definitions — both form and matter (403a25-403b19)"
θρεπτικόν,αἰσθητικόν,presupposed_by,psychological,0.95,"DA-02","Nutritive is base of faculty hierarchy; sensitive presupposes it (414b28-32)"
αἰσθητικόν,ὀρεκτικόν,presupposed_by,psychological,0.85,"DA-02","Where sensation, there pleasure/pain; where these, necessarily appetite (413b22-24)"
λόγος (ratio),μεσότης,explains,ontological,0.9,"DA-03","Sense is a logos between contraries; the mean is what makes it a ratio (426a27-b8)"
DA-01,DA-02,presupposes,architectonic,0.95,"DA-01,DA-02","Aporetic critique clears ground for hylomorphic definition (411b30 → 412a1)"
DA-02,DA-03,presupposes,architectonic,0.9,"DA-02,DA-03","General perception theory (II.5-6) governs individual sense analyses (II.7-12)"
DA-03,DA-04,presupposes,architectonic,0.95,"DA-03,DA-04","Individual senses + wax-signet principle ground phantasia and nous treatments"
DA-01,DA-04,presupposes,architectonic,0.8,"DA-01,DA-04","I.3 argument that thought is impassible prepares III.4-5 nous doctrine (408b18-30)"
