source,relation,target,locus,provenance,note
Zweideutigkeit,defines,C1,(p.11 / GA pp.15-17 / pdf 17),faithful,"Ambiguity is named a positive characteristic of the essence of metaphysics, neither a whim nor a fault of philosophy."
C2,instances-in-text,Schein,(p.11 / GA pp.15-17 / pdf 17),faithful,"The dual semblance (Schein) of being science and of being worldview-proclamation; philosophy looks like both and is neither."
C3,deepens-into,C2,(p.12 / GA pp.17-18 / pdf 18),faithful,"The general ambiguity becomes MORE acute here-and-now (philosophy as examination subject), not less — §5 intensifies §4."
C4,qualifies,C3,(p.13 / GA pp.18-20 / pdf 18),faithful,"The teacher's undesired authority persuades only so long as he is not understood; once understood the authority collapses."
C5,contests,C4,(p.14 / GA pp.20-21 / pdf 18),faithful,"The 'decide on factual grounds of proof' reply is itself challenged: perhaps what is provable is only what is essentially irrelevant."
Plato,cites,C6,(p.16 / GA pp.23-24 / pdf 20),faithful,"Academy inscription (no entry without geometry) marshalled as evidence of the semblance that philosophical truth = mathematical certainty."
Descartes,cites,C6,(p.16 / GA pp.23-24 / pdf 20),faithful,"Descartes wants to furnish philosophical truth with the character of mathematical truth; Leibniz: without mathematics no ground of metaphysics."
C6,contests,C5,(p.17 / GA pp.24-26 / pdf 21),faithful,"Mathematical knowledge is the emptiest and least binding as regards human substance, so cannot be the measure for philosophical knowledge."
C7,concedes,C6,(p.18 / GA pp.26-27 / pdf 21),faithful,"The formal-contradiction objection is the 'much more acute' counter; Heidegger concedes its surface force then voids it as empty and non-binding."
Aristotle,instances-in-text,C6,(p.18 / GA pp.26-27 / pdf 21),faithful,"Aristotle, Descartes, Leibniz, Hegel 'refuted by a doctoral candidate' — the catastrophes attending philosophy-as-absolute-science."
Geschick,grounds-question,C8,(p.19 / GA pp.28-29 / pdf 22),faithful,"Philosophy's truth is essentially that of human Dasein and 'in part rooted in the fate (Geschick) of Dasein' — the chapter's keystone resolution of the ambiguity."
C8,deepens-into,C9,(p.19 / GA pp.28-29 / pdf 22),faithful,"Because truth is rooted in Dasein's fate, everything 'should start to vacillate'; philosophy is the opposite of all comfort — turbulence (Wirbel)."
philosophia,glosses-greek,C9,(p.19 / GA pp.28-29 / pdf 22),faithful,"Philosophia as love-of / homesickness-for must maintain itself in nothingness, in finitude — God does not philosophize."
C9,temporalizes-as,Schrecken,(p.21 / GA pp.31-32 / pdf 21),faithful,"The perilous neighbourhood of supreme uncertainty is sustained as terror (Schrecken) in which we must 'hold out'."
Da-sein,discloses,C10,(p.21 / GA pp.31-32 / pdf 21),faithful,"In philosophizing the Da-sein in man launches the attack (Angriff) upon man; man as a whole is in the grip of an attack."
C11,contests,C10,(p.22 / GA pp.32-34 / pdf 23),faithful,"The 'pessimistic' verdict stems from the normal human's eternal average (petty pleasures, shallow fears, smug comforts) — an illegitimate judge of philosophizing."
Heraclitus,cites,C12,(p.24 / GA pp.35-37 / pdf 24),faithful,"Heraclitus DK 108: the to sophon is 'separated off from everything else' (= absolutum) — philosophy is autonomous, stands on its own."
hypar / onar,glosses-greek,C12,(p.23 / GA pp.34-35 / pdf 23),faithful,"Plato (Republic): the philosophizing human is awake (hypar), the non-philosophizing — incl. the scientist — asleep (onar); only philosophizing is wakeful Dasein."
C12,deepens-into,Grundgeschehen,(p.24 / GA pp.35-37 / pdf 24),faithful,"There are sciences only because there is philosophy; philosophizing lies prior to every occupation and constitutes the fundamental occurrence (Grundgeschehen) of Dasein."
Grundgeschehen,grounds-question,C13,(p.24 / GA pp.35-37 / pdf 24),faithful,"As autonomous Grundgeschehen that lets Da-sein first become what it can be, philosophizing grounds the Part-One demand that an attunement be AWAKENED."
Geschick,bridges-to-pipeline,king-salvo-measurement-caution,(p.19 / GA pp.28-29 / pdf 22),faithful,"ANTICIPATORY-APPLICATION: truth rooted in Dasein's fate / 'turbulence' / not decidable on factual proof = warrant that a fundamental attunement (boredom) is no single present-at-hand instrument value."
C11,bridges-to-pipeline,king-salvo-second-form,(p.22 / GA pp.32-34 / pdf 23),faithful,"ANTICIPATORY-APPLICATION: the 'eternal average' / smug comforts as measure prefigures letting a convenient bipolar engaged-vs-bored metric mask the surface-vs-depth (second-form) split."
Schrecken,interprets-experiment-finding,king-salvo-low-arousal-boredom,(p.21 / GA pp.31-32 / pdf 21),faithful,"ANTICIPATORY-APPLICATION: the affective register (Schrecken/Angriff/Wirbel) installed here is the correlate against which profound boredom's stillness (low-arousal 'zombie stare') reads as privation."
Grundgeschehen,bridges-to-pipeline,king-salvo-task-vs-attunement,(p.24 / GA pp.35-37 / pdf 24),faithful,"ANTICIPATORY-APPLICATION: philosophizing prior to every 'occupation' frames why the awakened attunement, not the measured VR clinical-immersion task-performance, is the deeper datum."
