source,relation,target,locus,note
ped-sec-04,defines,3-D VLE affordances model (THEORY-MODEL),p.11-25,"The paper's own integrated model (Figures 1-2): ten distinguishing characteristics (representational fidelity; learner interaction) linked via intermediate outcomes (identity, presence, co-presence) to five learning affordances (FE)."
ped-sec-04,defines,affordance (TERM),p.21,"Adopts Gibson's (1979) coinage and Greeno's (1994) operative definition: 'an affordance relates attributes of something in the environment to an interactive activity by an agent who has some ability' (FAITHFUL-Dalgarno & Lee, p.21, quoting Greeno)."
ped-sec-04,defines,Affordance 1: spatial knowledge representation,p.17-18,"3-D VLEs facilitate tasks leading to enhanced spatial knowledge representation of the explored domain (FE, p.18)."
ped-sec-04,defines,Affordance 2: experiential learning tasks,p.18-19,"3-D VLEs facilitate experiential tasks impractical or impossible in the real world; nuclear-plant, astronaut, forestry-operator training examples (FE, p.19)."
ped-sec-04,defines,Affordance 3: motivation and engagement,p.19,"3-D VLEs facilitate tasks leading to increased intrinsic motivation and engagement, via personalization/choice and flow (FE, p.19)."
ped-sec-04,defines,Affordance 4: contextualization and transfer,p.20-21,"3-D VLEs facilitate tasks leading to improved transfer of knowledge/skills through contextualization of learning (FE, p.21)."
ped-sec-04,defines,Affordance 5: collaborative learning,p.21-23,"3-D VLEs facilitate tasks leading to richer/more effective collaborative learning than 2-D alternatives (FE, p.23)."
ped-sec-04,defines,representational fidelity (category),p.15-16,"Six sub-characteristics: realistic display, smooth view/object motion, consistent object behavior, user representation, spatial audio, kinaesthetic/tactile feedback; folds in Brna's social fidelity for multi-user contexts (FE, Table 1)."
ped-sec-04,defines,learner interaction (category),p.16-17,"Four sub-characteristics: embodied actions, embodied verbal/non-verbal communication, control of environment attributes, construction/scripting of objects (FE, Table 1)."
ped-sec-04,defines,co-presence,p.14,"'Being there together' with geographically dispersed users; explicit extension of the social-presence tradition (Short/Williams/Christie 1976) (FAITHFUL-Dalgarno & Lee, p.14)."
ped-sec-04,treats-construct,presence (spatial/physical),p.13,"Adopts Slater's immersion/presence distinction; presence treated as a consequence of fidelity + interactivity, not an independent property (FAITHFUL-Dalgarno & Lee, p.13)."
