source,relation,target,locus,note
ped-sec-05,treats-construct,representational fidelity,p.413-414,"Restated directly from Dalgarno & Lee's two unique characteristics; realism of display, object behavior, communication, and user representation (FAITHFUL-Fowler, p.413-414)."
ped-sec-05,treats-construct,agency / interactivity,p.413-414,"Restated as 'learner interaction'; richness of interaction resulting mainly from degree of embodiment experienced by the user (FAITHFUL-Fowler, p.413-414)."
ped-sec-05,treats-construct,embodiment / self-representation,p.414,"Avatar discussion: the user's representation, able to communicate, show emotion, control/create objects, as if actually present (FAITHFUL-Fowler, p.414)."
ped-sec-05,treats-construct,presence (spatial/physical),p.415,"Restated as emergent property of fidelity x interaction; reframed by Fowler as an antecedent of the learning experience, not the experience itself (FE, p.415)."
ped-sec-05,treats-construct,social presence / co-presence,p.415,"Restated as multi-user emergent property ('sense of being there together'); same antecedent-not-experience critique applied (FE, p.415)."
ped-sec-05,treats-construct,immersion (technological),p.416,"Reworked as bridge concept between technology and pedagogy, paired with a distinct pedagogical-immersion sense (FAITHFUL-Fowler, p.416)."
ped-sec-05,treats-construct,engagement / flow,p.418,"One of Dalgarno & Lee's five affordances; recast by Fowler as a 'generic' design-for-learning requirement applying to all activities (FAITHFUL-Fowler, p.418)."
ped-sec-05,treats-construct,learning outcomes: retention & transfer,"p.417, 419","Via 'contextual learning' affordance and Fowler's own ILO / Bloom's-revised-taxonomy knowledge-dimension mapping (FAITHFUL-Fowler)."
ped-sec-05,treats-construct,learning outcomes: procedural / skills,p.418-419,"Table 1's 'dialogue' stage; skill-acquisition and real-world-performance objectives mapped to Conole et al.'s mini-learning activities (FAITHFUL-Fowler, p.418-419)."
ped-sec-05,tests-condition,desktop-3D / non-immersive VR,p.413,"Fowler's (and Dalgarno & Lee's) scope-defining object throughout; standard-PC-explorable 3-D VLEs distinguished from immersive/CAVE systems — no original empirical test, conceptual paper (FE, p.413)."
ped-sec-05,tests-condition,SEM / process model (no media contrast),p.415,"Secondary citation of Lee, Wong & Fung (2010)'s SEM study; cited for its 'process' approach but flagged non-immersive/avatar-free, unable to test embodiment claims (FAITHFUL-Fowler, p.415)."
