Concept,Greek,U-Intro,U-FP1a,U-FP1b,U-FP2a,U-FP2b,U-FP3a,U-FP3b,U-FP3c,U-FP3d,U-FP3e,U-SP1,U-SP2a,U-SP2b,Total
logos,λόγος,x,x,x,x,x,x,x,x,x,x,x,x,x,13
ousia,οὐσία,,x,x,x,x,x,x,x,x,x,x,x,x,12
being-in-the-world,—,,x,x,x,x,x,x,x,x,x,x,x,x,12
Dasein / being-there,—,,x,x,x,x,x,x,x,x,x,x,x,x,12
psyche,ψυχή,,,x,x,x,x,x,x,x,x,,x,x,10
pathos,πάθος,,,,x,,x,x,x,x,x,,x,x,8
arete,ἀρετή,,,,x,x,,x,x,x,x,,x,x,8
hexis,ἕξις,,,,,,,x,x,x,x,x,x,x,7
praxis,πρᾶξις,,,,x,x,x,x,,x,,,,x,6
peras,πέρας,,x,x,,x,,,,,x,,x,x,6
telos / teleion,τέλος,,,x,,x,x,,x,x,,,,x,6
kinesis,κίνησις,,,,,,,,x,,x,x,x,x,5
phronesis,φρόνησις,,,,x,,x,x,x,x,,,,,5
koinonia,κοινωνία,,,,x,,x,x,,x,,,,x,5
energeia,ἐνέργεια,,,,x,x,,,,,,x,x,x,5
doxa,δόξα,,,,,,x,x,x,,x,,,x,5
dunamis,δύναμις,x,,,,,,,,,,x,x,x,4
agathon,ἀγαθόν,,,,x,x,x,,,,,,x,,4
nous,νοῦς,,,,,,,,x,,,x,x,x,4
entelecheia,ἐντελέχεια,,,,,x,,,,,,x,x,x,4
ethos,ἦθος,,,,,,x,x,x,,x,,,,4
kairos,καιρός,,,,,,,x,x,x,x,,,,4
steresis,στέρησις,x,,,,,,,,,,x,x,x,4
phantasia,φαντασία,,,,,,,,,x,x,,x,x,4
hedone / lupe,ἡδονή / λύπη,,,,x,x,,,x,x,,,,,4
proairesis,προαίρεσις,,,,x,,x,x,,,x,,,,4
phusis,φύσις,,,,,,,,,,x,,x,x,3
aletheuein,ἀληθεύειν,,,,,,,,,,,x,x,x,3
horismos,ὁρισμός,,x,x,,,,,,,,x,,,3
eidos / hule,εἶδος / ὕλη,,,,,,,,,x,x,,x,,3
Das Man,—,,,,x,,x,x,,,,,,,3
falling (Verfallen),—,,,,,,x,x,,,x,,,,3
care (Sorge),—,,,,x,,x,x,,,,,,,3
Ausgelegtheit,—,,,,,,x,,,,x,x,,,3
pistis,πίστις,,,,,,x,x,,,x,,,,3
phobos,φόβος,,,,,,,x,,,x,,,,2
mesotes,μεσότης,,,,,,,x,x,,,,,,2
arche,ἀρχή,,,,,,,,,,,,x,x,2
fore-having (Vorhabe),—,,,,,,,,,,,x,,,1
fore-sight (Vorsicht),—,,,,,,,,,,,x,,,1
fore-grasp (Vorgriff),—,,,,,,,,,,,x,,,1
aoriston,ἀόριστον,,,,,,,,,,,,,x,1
