source,relation,target,domain,provenance,book_page
Augustine,extends,officia-oratoris,rhetoric,burke-direct,74
Avarice (property-as-attitude),maps-to-pentad-term,Scene (scenic word property),pentad,anticipatory-projection,24
Bacon,cites,imagination-rhetorical,rhetoric,burke-direct,81
Bentham,cites,Aristotle,rhetoric,burke-direct,92
Burke,cites,Carlyle-Sartor-Resartus,rhetoric,burke-direct,114
Burke,cites,Cromwell,rhetoric,burke-direct,112
Burke,cites,Dionysius-the-Areopagite,rhetoric,burke-direct,118
Burke,cites,La-Rochefoucauld,rhetoric,burke-direct,113
Burke,cites,Marx-German-Ideology,rhetoric,burke-direct,101
Carlyle,contests,Marx,rhetoric,burke-direct,114
Cicero,cites,officia-oratoris,rhetoric,burke-direct,73
Hazlitt,defines,image-identification-node,rhetoric,burke-direct,84
Longinus,cites,collaborative-expectancy,rhetoric,burke-direct,57
Machiavelli,cites,agent-act-ratio,rhetoric,burke-direct,163
Machiavelli,cites,scene-act-ratio,rhetoric,burke-direct,162
Marx,contests,Bentham,rhetoric,burke-direct,101
Pico,cites,imagination-rhetorical,rhetoric,burke-direct,80
Plato-Republic-VIII-IX,defines,timocracy-oligarchy-democracy-tyranny,philosophy,burke-direct,188
Platonic-dialogue,defines,ascent-from-ideology-to-myth,philosophy,burke-direct,200
RM-01,bridges-to-pipeline,A Grammar of Motives (Burke 1945) GM-08/GM-02 substance,cross-pipeline,burke-direct,21
RM-01,bridges-to-pipeline,In-Game (Calleja 2011) IG-06 Shared involvement,cross-pipeline,anticipatory-projection,28
RM-01,bridges-to-pipeline,In-Game (Calleja 2011) IG-10 incorporation,cross-pipeline,anticipatory-projection,21
RM-01,cites,Aristotle (Art of Rhetoric / docens),rhetoric,burke-direct,36
RM-01,cites,Aristotle (rhetoric proves opposites),rhetoric,burke-direct,25
RM-01,cites,Cassirer (The Myth of the State),rhetoric,burke-direct,40
RM-01,cites,Coleridge (Religious Musings; property),rhetoric,burke-direct,24
RM-01,cites,Freud (Wit and the Unconscious; psyche-as-parliament),rhetoric,burke-direct,38
RM-01,cites,G. H. Mead (I addressing its me),rhetoric,burke-direct,38
RM-01,cites,Kardiner (The Individual and His Society),rhetoric,burke-direct,39
RM-01,cites,Kluckhohn (Navaho Witchcraft),rhetoric,burke-direct,40
RM-01,cites,Malinowski (magic as social cohesion),rhetoric,burke-direct,43
RM-01,cites,Marx / Marxism (capitalistic rhetoric),rhetoric,burke-direct,24
RM-01,cites,Stendhal (Julien Sorel) / Moliere (Tartuffe) / Shakespeare (Iago),rhetoric,burke-direct,36
RM-01,cites,Veblen (theorist of rhetoric),rhetoric,burke-direct,28
RM-01,defines,attitude-incipient-act,rhetoric,burke-direct,42
RM-01,defines,consubstantiality,rhetoric,burke-direct,21
RM-01,defines,division,rhetoric,burke-direct,22
RM-01,defines,identification,rhetoric,burke-direct,19
RM-01,defines,property (identifying nature),rhetoric,burke-direct,23
RM-01,defines,realistic function of rhetoric,rhetoric,burke-direct,43
RM-01,defines,rhetoric as addressed,rhetoric,burke-direct,38
RM-01,extends,Grammar of Motives (substance -> identification),rhetoric,burke-direct,21
RM-04,cites,Bacon,rhetoric,burke-direct,133
RM-04,cites,Dante,rhetoric,burke-direct,167
RM-04,cites,De-Gourmont,rhetoric,burke-direct,149
RM-04,cites,Dewey,rhetoric,burke-direct,134
RM-04,cites,Diderot,rhetoric,burke-direct,142
RM-04,cites,Empson,rhetoric,burke-direct,123
RM-04,cites,Machiavelli,rhetoric,burke-direct,158
RM-04,cites,McKeon,rhetoric,burke-direct,170
RM-04,cites,Pascal,rhetoric,burke-direct,154
RM-04,cites,Rochefoucauld,rhetoric,burke-direct,145
RM-04,cites,Veblen,rhetoric,burke-direct,127
RM-04,defines,administrative-rhetoric,rhetoric,burke-direct,158
RM-04,defines,comic-primness,rhetoric,burke-direct,126
RM-04,defines,directing-the-intention,rhetoric,burke-direct,154
RM-04,defines,entelechial-principle,rhetoric,burke-direct,141
RM-04,defines,hierarchic-psychosis,rhetoric,burke-direct,137
RM-04,defines,hierarchy,rhetoric,burke-direct,137
RM-04,defines,imitation,rhetoric,burke-direct,131
RM-04,defines,infancy,rhetoric,burke-direct,174
RM-04,defines,pantomime,rhetoric,burke-direct,142
RM-06,bridges-to-pipeline,Calleja-Shared-involvement,game-behavior,anticipatory-projection,208
RM-06,bridges-to-pipeline,Calleja-incorporation,game-behavior,anticipatory-projection,208
RM-06,bridges-to-pipeline,RM-01-identification,rhetoric,burke-direct,208
RM-06,bridges-to-pipeline,RM-03-mystery,rhetoric,burke-direct,220
RM-06,bridges-to-pipeline,RM-04-hierarchy,rhetoric,burke-direct,221
RM-06,bridges-to-pipeline,RM-07-pure-persuasion,rhetoric,burke-direct,230
RM-07,bridges-to-pipeline,RM-01 (identification arc completion),rhetoric,burke-direct,266
RM-07,bridges-to-pipeline,RM-06 (courtship as pure-persuasion ground),rhetoric,burke-direct,268
RM-07,cites,Austin Warren (Rage for Order),rhetoric,burke-direct,296
RM-07,cites,Dante (Purgatorio/Inferno),rhetoric,burke-direct,302
RM-07,cites,Gerard Manley Hopkins,rhetoric,burke-direct,313
RM-07,cites,Henry James (Spoils of Poynton),rhetoric,burke-direct,294
RM-07,cites,Kant (pure practical reason),rhetoric,burke-direct,308
RM-07,cites,Kierkegaard,rhetoric,burke-direct,252
RM-07,cites,Luther (Christ as katharma),rhetoric,burke-direct,328
RM-07,cites,Malinowski (phatic communion),rhetoric,burke-direct,270
RM-07,cites,T. S. Eliot (Quartets),rhetoric,burke-direct,318
RM-07,cites,W. B. Yeats (Byzantium poems),rhetoric,burke-direct,316
RM-07,cites,William James (Varieties of Religious Experience),rhetoric,burke-direct,328
RM-07,contests,Kierkegaard (Absurd as foundational),rhetoric,burke-direct,254
RM-07,contests,Kierkegaard (theology of the Kill),rhetoric,burke-direct,252
RM-07,contests,psychoanalysis (concealing hierarchic motive),rhetoric,burke-direct,280
RM-07,defines,Ersatzmystik,rhetoric,burke-direct,331
RM-07,defines,Order-Secret-Kill triad,rhetoric,burke-direct,260
RM-07,defines,attitudinal glow (mystic state),rhetoric,burke-direct,331
RM-07,defines,god-term (title-of-titles),rhetoric,burke-direct,275
RM-07,defines,hierarchic psychosis,rhetoric,burke-direct,278
RM-07,defines,homo dialecticus,rhetoric,burke-direct,283
RM-07,defines,katharma (sacred-loathsome scapegoat),rhetoric,burke-direct,328
RM-07,defines,pontification (bridging device),rhetoric,burke-direct,298
RM-07,defines,principle of the oxymoron,rhetoric,burke-direct,324
RM-07,defines,pure-persuasion,rhetoric,burke-direct,267
RM-07,defines,range of mountings,rhetoric,burke-direct,301
RM-07,defines,self-interference (standoffishness),rhetoric,burke-direct,269
RM-07,defines,socioanagogic method,rhetoric,burke-direct,296
RM-07,defines,the Kill / victimage,rhetoric,burke-direct,252
RM-07,defines,ultimate identification,rhetoric,burke-direct,328
RM-07,extends,Attitude-6th-term,rhetoric,burke-direct,331
RM-07,extends,consubstantiality,rhetoric,burke-direct,266
RM-07,extends,courtship,rhetoric,burke-direct,268
RM-07,extends,hierarchy,rhetoric,burke-direct,260
RM-07,extends,identification,rhetoric,burke-direct,266
RM-07,extends,mystery,rhetoric,burke-direct,298
RM-07,extends,terministic screen,rhetoric,burke-direct,299
RM-07,identifies-with,pure-persuasion,rhetoric,burke-direct,271
RM-07,maps-to-pentad-term,Act,dramatism,anticipatory-projection,267
RM-07,maps-to-pentad-term,Attitude-6th-term,dramatism,anticipatory-projection,331
RM-07,maps-to-pentad-term,Purpose,dramatism,anticipatory-projection,260
RM-07,maps-to-pim-dimension,Affective involvement (Calleja),game-behavior,anticipatory-projection,313
RM-07,maps-to-pim-dimension,Incorporation,game-behavior,anticipatory-projection,328
RM-07,maps-to-pim-dimension,Ludic-involvement,game-behavior,anticipatory-projection,267
RM-07,maps-to-pim-dimension,Narrative involvement (Calleja),game-behavior,anticipatory-projection,299
RM-07,maps-to-pim-dimension,Performative involvement (Calleja),game-behavior,anticipatory-projection,270
RM-07,maps-to-pim-dimension,Shared-involvement,game-behavior,anticipatory-projection,266
RM-07,maps-to-pim-dimension,Spatial involvement (Calleja),game-behavior,anticipatory-projection,294
Shylock-vengeance,defines,parliamentary-jangle-without-resolution,rhetoric,burke-direct,194
addressed-quality,maps-to-pim-dimension,Shared,game-behavior,anticipatory-projection,222
administrative-rhetoric,maps-to-pentad-term,Scene,pentad,anticipatory-projection,161
administrative-rhetoric,maps-to-pim-dimension,Calleja-Spatial-involvement,game-behavior,anticipatory-projection,158
advantage-pleonexia,extends,agonistic-rhetoric,rhetoric,burke-direct,60
advantage-pleonexia,maps-to-pentad-term,purpose,pentad,anticipatory-projection,60
advantage-pleonexia,maps-to-pim-dimension,Ludic-involvement,game-behavior,anticipatory-projection,61
agent-act-ratio,bridges-to-pipeline,Grammar-of-Motives-RM-04,grammar,burke-direct,163
agent-act-ratio,maps-to-pentad-term,Agent,pentad,anticipatory-projection,163
agonistic-rhetoric,defines,advantage-pleonexia,rhetoric,burke-direct,61
agonistic-rhetoric,maps-to-pim-dimension,Ludic-involvement,game-behavior,anticipatory-projection,60
amplification-auxesis,defines,formal-appeal,rhetoric,burke-direct,68
amplification-auxesis,maps-to-pim-dimension,Affective-involvement,game-behavior,anticipatory-projection,68
attitude-incipient-act,defines,persuasion-to-attitude-action,rhetoric,burke-direct,50
attitude-incipient-act,extends,formal-appeal,rhetoric,burke-direct,51
attitude-incipient-act,maps-to-pentad-term,Attitude,pentad,anticipatory-projection,251
attitude-incipient-act,maps-to-pentad-term,Attitude-6th-term,pentad,anticipatory-projection,42
attitude-incipient-act,maps-to-pentad-term,act,pentad,anticipatory-projection,50
attitude-incipient-act,maps-to-pim-dimension,Affective-involvement,game-behavior,anticipatory-projection,42
attitude-incipient-act,maps-to-pim-dimension,Kinesthetic-involvement,game-behavior,anticipatory-projection,50
attitude-tonal,bridges-to-pipeline,grammar-attitude-6th-term,inter-unit,burke-direct,91
attitude-tonal,qualifies,censorial-appellative,rhetoric,burke-direct,91
attitudinal glow (mystic state),maps-to-pentad-term,Attitude-6th-term,dramatism,anticipatory-projection,331
barnabas-episode,extends,mystery-social,rhetoric,burke-direct,240
caricature-of-courtship,maps-to-pim-dimension,Shared,game-behavior,anticipatory-projection,233
castiglione-book4,bridges-to-pipeline,RM-07-pure-persuasion,rhetoric,burke-direct,231
castiglione-book4,identifies-with,pure-persuasion,rhetoric,burke-direct,230
castiglione-courtier,defines,paradigm-vs-caricature,rhetoric,burke-direct,221
castiglione-courtier,extends,addressed-quality,rhetoric,burke-direct,222
castiglione-courtier,extends,courtship,rhetoric,burke-direct,221
castiglione-courtier,extends,pure-persuasion,rhetoric,burke-direct,230
censorial-appellative,defines,assumption-without-its-form,rhetoric,burke-direct,94
censorial-appellative,maps-to-pentad-term,Agency,pentad,anticipatory-projection,94
collaborative-expectancy,maps-to-pim-dimension,Ludic-involvement,game-behavior,anticipatory-projection,58
comic-primness,qualifies,courtship,rhetoric,burke-direct,126
concrete-universal,defines,developmental-series,philosophy,burke-direct,190
consubstantiality through shared sacrifice,extends,consubstantiality,rhetoric,burke-direct,266
consubstantiality,extends,substance as act / acting-together,rhetoric,burke-direct,21
consubstantiality,identifies-with,community-of-ways,rhetoric,burke-direct,131
