source_claim,relation,edge_domain,target,note,location
DISS-00-C001,grounds,architectural,DISS-00-C065,Animal-motion-as-actualization-of-desire grounds three-factor schema's animal-motion application,line 3
DISS-00-C001,needs-citation,citation,ARISTOTLE-LOCUS-CLUSTER:DA III.10 + MA 6,Inlinenote prose needs orexis-as-cause-of-motion + MA-proximate-cause anchors,line 3
DISS-00-C002,grounds,framing,DISS-00-C004,DA central-task framing grounds the DA-faculties overview,line 7
DISS-00-C002,cites-as-support,citation,ARISTOTLE-LOCUS:DA I.1 402a5-7,Opening quotation,line 7
DISS-00-C004,grounds,framing,DISS-00-C008,DA-overview grounds the intermediary-frame (via C006 transitively),line 7
DISS-00-C005,extends,framing,DISS-00-C004,Plato-rejection / hylomorphism extends the DA-overview,line 7
DISS-00-C008,refines,framing,DISS-00-C009,Phantasia-intermediary-frame refined by Frede's threefold,line 7
DISS-00-C009,cites-as-support,citation,SECONDARY-LOCUS:Frede 1992 p.279,Threefold (capacity/activity/product),line 7
DISS-00-C010,grounds,definitional,DISS-00-C014,Phantasia textual definition grounds the mediation thesis,line 9
DISS-00-C010,cites-as-support,citation,ARISTOTLE-LOCUS:DA III.3 428a1-3,Canonical phantasia definition,line 9
DISS-00-C011,grounds,definitional,DISS-00-C040,Phantasia-thinking-dependence grounds methodology's phantasia-cognitive-ubiquity thesis,line 9
DISS-00-C011,cites-as-support,citation,ARISTOTLE-LOCUS:DA III.7 431a15-17,Soul-never-thinks-without-image,line 9
DISS-00-C012,cites-as-support,citation,ARISTOTLE-LOCUS:DA III.7 431b6-8,Calculate-and-deliberate via images,line 9
DISS-00-C013,refines,definitional,DISS-00-C012,O'Gorman's sumplokē reading refines the calculate-and-deliberate textual claim,line 9
DISS-00-C014,cites-as-support,citation,SECONDARY-LOCUS:Nussbaum 1985 p.265,Phantasia ties abstract thought to concrete perceptibles,line 11
DISS-00-C014,grounds,definitional,DISS-00-C022,Mediation thesis grounds (via perception-dependence) the four-temporal-events thesis,line 11
DISS-00-C015,cites-as-support,citation,ARISTOTLE-LOCUS:DA III.3 428a16-18,Phantasia may be false,line 11
DISS-00-C016,instantiates,illustrative,DISS-00-C015,Distant-figure example instantiates the fallibility claim,line 11
DISS-00-C017,cites-as-support,citation,ARISTOTLE-LOCUS:DA III.3 429a1-2,Phantasia as movement from sense,line 13
DISS-00-C020,refines,definitional,DISS-00-C014,White's intermediary thesis refines the mediation thesis,line 15
DISS-00-C020,cites-as-support,citation,SECONDARY-LOCUS:White 1985 p.502,Phantasia as intermediary + persistence,line 15
DISS-00-C021,grounds,architectural,DISS-00-C022,White's persistence claim grounds the T_3 resonant-motion-as-persistence event,line 15
DISS-00-C021,needs-citation,citation,ARISTOTLE-LOCUS:On Dreams 459a24-460b3,Persistence claim needs residual-motion anchor,line 15
DISS-00-C022,grounds,architectural,DISS-00-C035,Four-events thesis grounds the temporal-medium canonical thesis,line 19
DISS-00-C022,grounds,architectural,DISS-00-C054,Four-events thesis grounds the methodology's five-node canonical statement,line 19
DISS-00-C022,needs-citation,citation,ARISTOTLE-LOCUS-CLUSTER:DA II.5 + On Dreams + On Memory,T_2 + T_3 + T_4 anchors needed,line 19
DISS-00-C023,needs-citation,citation,ARISTOTLE-LOCUS:On Memory 449b28-30,Memory-imagination distinction anchor for T_3-vs-memory distinction,line 19
DISS-00-C024,needs-citation,citation,ARISTOTLE-LOCUS:DA III.7 431b2,Phantasma-engaged-by-cognition anchor at T_4,line 19
DISS-00-C025,refines,architectural,DISS-00-C022,Mediating-power thesis synthesizes T_1..T_4 into mediating role,line 21
DISS-00-C026,needs-citation,citation,ARISTOTLE-LOCUS:DA III.7 431a8-12,Diakrisis/krisis/kritikon textual anchor for line-23 methodology note,line 23
