source_id,relation,target_id,domain,centrality_tier,book_page,provenance,notes
IG-08:affective-involvement,defines,IG-08:cybernetic-feedback-loop,game-studies,1,135,text-anchored,"Lines 4732-4737 — cognitive + emotional + kinesthetic feedback loop is the medium-specific basis for digital-game affective intensity"
IG-08:affective-involvement,defines,IG-08:dimension-operational-definition,game-studies,1,135,text-anchored,"Lines 4737-4738 — 'a particularly powerful medium for affecting players' moods and emotional states' (Bryant + Davies 2006; Grodal 2000)"
IG-08:affective-involvement,structured-by,IG-08:macro-micro-phase-split,game-studies,1,135,text-anchored,"Macro Phase (Escapism and Affect, pp.135-139) vs Micro Phase (Emotional Affect during Gameplay, pp.139-142) + Aesthetics-and-Affect swing-section (pp.142-145)"
IG-08:macro-phase,centers-on,IG-08:escapism-vs-escape,game-studies,1,136,text-anchored,"Lines 4778-4795 — escape = permanent one-way move; escapism = round-trip with return-expectation"
IG-08:macro-phase,centers-on,IG-08:imagination-as-escapism-faculty,game-studies,1,137,text-anchored,"Lines 4814-4831 — Tuan 1998 block quote: humans are animals 'congenitally indisposed to accept reality'; culture is 'seeing what is not there'"
IG-08:imagination-as-escapism-faculty,cites-block-quote,Tuan-1998-Escapism,cultural-geography,1,137,text-anchored,"Block quote lines 4824-4831 (p.5-6) — Yi-Fu Tuan as PRIMARY conceptual interlocutor for Macro Phase"
IG-08:macro-phase,cites,Tuan-1998-Escapism,cultural-geography,1,138,text-anchored,"Block quote lines 4842-4845 (p.23) — 'local pattern or order' definition of the real; interpretability as determinant"
IG-08:secondary-worlds,cites-block-quote,Tolkien-1983-On-Fairy-Stories,literary-theory,1,138,text-anchored,"Block quote lines 4883-4889 (p.132) — 'inner consistency of reality'; 'secondary worlds'; willing-suspension-of-disbelief critique"
IG-08:escape-prisoner-vs-flight-deserter,cites-block-quote,Tolkien-1983-On-Fairy-Stories,literary-theory,2,139,text-anchored,"Block quote lines 4894-4905 (p.148) — Escape of the Prisoner vs Flight of the Deserter; escapism-defense against academic scorn"
IG-08:escapism-defense-apparatus,cites,Evans-2001-This-Virtual-Life,media-studies,3,139,text-anchored,"Line 4892 — Evans aligned with Tuan + Tolkien against scornful uses of 'escape'; light citation"
IG-08:micro-phase,centers-on,IG-08:designed-vs-precipitated-affect,game-studies,1,139,text-anchored,"Lines 4913-4927 — designers cannot dictate specific effects but design choices encourage particular reactions; player interpretation + interruptions + interest produce precipitated rather than designed responses"
IG-08:micro-phase,centers-on,IG-08:verisimilitude-vs-media-pastiche,game-studies,1,140,text-anchored,"Lines 4956-4991 — Medal of Honor (Hollywood-pastiche via Saving Private Ryan + Pearl Harbor) vs Red Orchestra (historical-accuracy + iron-sights). 'Very different affective experiences in these two ostensibly similar games'"
IG-08:micro-phase,paradigm-case,IG-08:suppressing-fire-as-apprehension,game-studies,1,141,text-anchored,"Lines 4992-5019 — graphical distortion + loud audio + destructible-cover physics + iron-sights aiming → 'a heightened sense of urgency, if not panic.' Calleja's clearest mechanic-level designed-affect exhibit"
IG-08:aesthetics-and-affect,paradigm-case,IG-08:aesthetic-mood-regulation,game-studies,1,142,text-anchored,"Lines 5022-5036 — Aprile-on-Night-Elf-Land 'whenever I don't feel like playing, I come here'; WoW designers' tasteful-palette + broad-appeal design policy"
IG-08:aesthetics-and-affect,paradigm-case,IG-08:atmospherics-as-affect-design,game-studies,1,140,text-anchored,"Lines 4934-4939 — Inauro-on-Duskwood/Mirkwood/Silverpine/Brill: lighting + sound + monster placement + thematic consistency"
