surface,round,stimulus,cohort_mean_z
pupil dilation,1,BOR,-0.69214705718
pupil dilation,1,CLC,0.397697350002
pupil dilation,1,INT,0.294449707179
pupil dilation,2,BOR,-0.26730887617
pupil dilation,2,CLC,0.179655031623
pupil dilation,2,INT,0.0876538445471
cognitive load,1,BOR,-0.18993491217
cognitive load,1,CLC,0.347801732727
cognitive load,1,INT,-0.157866820557
cognitive load,2,BOR,-0.00772608105419
cognitive load,2,CLC,-0.77879119177
cognitive load,2,INT,0.786517272824
HR,1,BOR,0.45599093653
HR,1,CLC,0.0777329371435
HR,1,INT,-0.533723873674
HR,2,BOR,-0.478158709406
HR,2,CLC,-0.333337274065
HR,2,INT,0.572416628767
gaze deviation variance,1,BOR,0.38965803919
gaze deviation variance,1,CLC,-0.428812969622
gaze deviation variance,1,INT,0.0391549304318
gaze deviation variance,2,BOR,0.220839730104
gaze deviation variance,2,CLC,-0.479963298633
gaze deviation variance,2,INT,0.259123568529
gaze deviation (per-file baseline),1,BOR,0.446406872866
gaze deviation (per-file baseline),1,CLC,-0.152298104056
gaze deviation (per-file baseline),1,INT,-0.29410876881
gaze deviation (per-file baseline),2,BOR,1.06095468646
gaze deviation (per-file baseline),2,CLC,-0.331946417834
gaze deviation (per-file baseline),2,INT,-0.729008268628
eye closure,1,BOR,1.00412760172
eye closure,1,CLC,-0.628205310346
eye closure,1,INT,-0.375922291373
eye closure,2,BOR,1.05669650614
eye closure,2,CLC,-0.734981137901
eye closure,2,INT,-0.321715368236
