surface,scope,pair,n,wilcoxon_p,effect_rb,n_first_lower,n_first_higher,direction,median_diff,poolable,holm_p,significant
self-report boredom,pooled N=12,BORvCLC,12,0.07568359375,0.576923076923,2,10,10/12,2,True,0.1513671875,False
self-report boredom,pooled N=12,BORvINT,12,0.0205078125,0.74358974359,2,10,10/12,4,True,0.0615234375,False
self-report boredom,pooled N=12,CLCvINT,12,0.212890625,0.454545454545,4,7,7/12,1,True,0.212890625,False
self-report engagement,pooled N=12,BORvCLC,12,0.0693359375,-0.589743589744,10,2,10/12,-2,True,0.0703125,False
self-report engagement,pooled N=12,BORvINT,12,0.005859375,-0.893939393939,10,1,10/12,-4,True,0.017578125,True
self-report engagement,pooled N=12,CLCvINT,12,0.03515625,-0.727272727273,7,3,7/12,-1.5,True,0.0703125,False
sleep-fight,pooled N=12,BORvCLC,11,0.029296875,0.763636363636,1,9,9/11,2,True,0.05859375,False
sleep-fight,pooled N=12,BORvINT,12,0.001953125,1,0,10,10/12,2.5,True,0.005859375,True
sleep-fight,pooled N=12,CLCvINT,11,0.9912109375,-0.0151515151515,5,6,5/11,1,True,0.9912109375,False
felt duration,pooled N=12,BORvCLC,12,0.7578125,-0.133333333333,5,4,5/12,0,True,1,False
felt duration,pooled N=12,BORvINT,12,0.60498046875,0.179487179487,4,8,8/12,5,True,1,False
felt duration,pooled N=12,CLCvINT,12,0.2734375,0.418181818182,3,7,7/12,3.5,True,0.8203125,False
felt-duration dilation ratio,pooled N=12,BORvCLC,12,0.7578125,-0.133333333333,5,4,5/12,0,True,1,False
felt-duration dilation ratio,pooled N=12,BORvINT,12,0.55615234375,0.205128205128,4,8,8/12,0.294117647059,True,1,False
felt-duration dilation ratio,pooled N=12,CLCvINT,12,0.2265625,0.454545454545,3,7,7/12,0.205882352941,True,0.6796875,False
depletion (fatigue after - prior),pooled N=12,BORvCLC,12,0.248046875,0.436363636364,3,7,7/12,1,True,0.744140625,False
depletion (fatigue after - prior),pooled N=12,BORvINT,12,0.5048828125,0.242424242424,4,7,7/12,1,True,1,False
depletion (fatigue after - prior),pooled N=12,CLCvINT,12,0.6640625,-0.194444444444,4,4,4/12,0,True,1,False
minutes until bored,pooled N=12,BORvCLC,10,0.009765625,-0.890909090909,8,2,8/10,-3,True,0.029296875,True
minutes until bored,pooled N=12,BORvINT,8,0.03125,-0.861111111111,7,1,7/8,-5,True,0.0625,False
minutes until bored,pooled N=12,CLCvINT,9,0.34765625,-0.377777777778,6,3,6/9,-2,True,0.34765625,False
