source,relation,target,locus,note
Thomas Wendt,contests,Cartesian thinking-subject,(p.49 / pdf 51),thinking inherently involves making
Thomas Wendt,defines,Daseinerly/designerly process,(p.49 / pdf 51),design and Dasein mutually characterize each other
Thomas Wendt,cites,Vilem Flusser,(p.50 / pdf 52),designer makes a designer of himself
Thomas Wendt,cites,Richard Buchanan,(p.51 / pdf 53),design = Aristotelian forethought / architectonic art
Thomas Wendt,cites,Aristotle,(p.51 / pdf 53),making as integrative intellectual virtue
Thomas Wendt,cites,Martin Heidegger,(p.52 / pdf 54),craft = relatedness to materials (cabinetmaker)
Thomas Wendt,defines,craft as relatedness to materials,(p.52 / pdf 54),essence of craft is orientation to material not tools
Thomas Wendt,cites,Jacques Derrida,(p.53 / pdf 55),the hand and technics
Thomas Wendt,defines,the hand designs and signs,(p.53 / pdf 55),hands couple making/thinking/speaking
Thomas Wendt,cites,Henk Oosterling,(p.54 / pdf 56),design as un-throwing (ontwerpen)
Thomas Wendt,cites,Sigmund Freud,(p.54 / pdf 56),fort-da as active coping with thrown-ness
Thomas Wendt,cites,Maurice Merleau-Ponty,(p.55 / pdf 57),speech accomplishes rather than translates thought
Thomas Wendt,cites,Martin Heidegger,(p.56 / pdf 58),empathy grounded in being-with
Thomas Wendt,glosses,empathy from being-with,(p.56 / pdf 58),empathy emerges from being-with not vice versa
Thomas Wendt,defines,craft vs design,(p.58 / pdf 60),craft unifies maker/user; design splits via division of labor
Thomas Wendt,cites,Carl Mitcham,(p.59 / pdf 61),craft = local material + bodily skill; design is modern
Thomas Wendt,cites,Tony Fry,(p.61 / pdf 63),care has to be designed into being; craft as means
Thomas Wendt,defines,abduction,(p.62 / pdf 64),logic of design; reasoning to what could be
Thomas Wendt,cites,Nigel Cross,(p.61 / pdf 63),three cultures: sciences/humanities/design
Thomas Wendt,cites,C. S. Peirce,(p.63 / pdf 65),abduction as a flash of insight
Thomas Wendt,cites,Cameron Tonkinwise,(p.64 / pdf 66),know-how resists articulation; tacit-ed expertise
Thomas Wendt,cites,Hubert Dreyfus,(p.65 / pdf 67),embodied expertise; felt on-track sense
Thomas Wendt,cites,Donald Schon,(p.69 / pdf 71),reflective practice links theory and practice
Thomas Wendt,cites,Rittel & Webber,(p.70 / pdf 72),wicked problems
Thomas Wendt,cites,Klaus Krippendorff,(p.70 / pdf 72),design thinking as creation of meaning
Thomas Wendt,extends,design thinking,(p.69 / pdf 71),phenomenology as next evolution of design thinking
Thomas Wendt,applies-to-design,prototyping as praxis observation,(p.69 / pdf 71),observe artifacts-in-use from present-at-hand position
Thomas Wendt,qualifies,unicornism,(p.59 / pdf 61),generalist ill-equipped for complex design
