source,relation,edge_domain,target,note,chapters
ambient rhetoric,depends_on,ontological,attunement,"Ambient rhetoric is grounded in attunement as the fundamental disclosure of the world","Intro;Ch2;Ch3;Ch4;Ch5;Ch8;Conc"
ambient rhetoric,depends_on,ontological,disclosure,"Rhetoric is 'ambience as affective disclosure'; disclosure is the central ontological operation","Ch5;Ch6;Ch7;Ch8;Conc"
ambient rhetoric,depends_on,ontological,dwelling,"Dwelling is the mode through which affectability becomes rhetoric conceived ambiently","Ch7;Ch8;Conc"
ambient rhetoric,depends_on,ontological,ecology,"Rhetoric's action is material affective ecological and emergent","Ch3;Ch4;Ch6;Ch7;Ch8"
attunement,presupposes,ontological,worldliness,"Attunement (Stimmung) is a structure of Being-in-the-world; arises from worldly immersion not interior psychology","Intro;Ch4;Ch5"
attunement,contrasts_with,rhetorical,mastery,"Mastery of the kairotic moment reintroduces subjective control; attunement replaces mastery as proper disposition","Ch2;Ch8"
chora,refines,ontological,ambience,"The chora is the ancient precursor to ambience; opens the theme that ambience is not mere presence but includes a withdrawing background","Ch1;Ch3;Conc"
chora,explains,ontological,invention,"The chora is the generative matrix from which emplaced invention emerges; topoi are cradled within the chora","Ch1;Ch2"
chora,presupposes,ontological,withdrawal,"The chora's generative function is inseparable from its withdrawal; it recedes even as it generates","Ch1;Conc"
kairos,depends_on,ontological,emplacement,"Without a more materialist understanding of emplacement kairos is an empty concept","Ch2"
kairos,refines,rhetorical,invention,"Kairos reframed ambiently reveals invention as emergent from emplaced conditions","Ch2;Ch3"
kairos,contrasts_with,ontological,subjectivity,"Ambient kairos dissolves the subject-object dichotomy; kairos wills the human not vice versa","Ch2;Ch3"
kairos,operationalizes,ontological,attunement,"Kairos understood ambiently demands attunement; a gathering that springs forward","Ch2;Ch3"
networks,refines,ontological,ambience,"Ambience supplements and exceeds networks through immersion and permeation","Ch3"
networks,contrasts_with,ontological,ambience,"Networks remain invested in binaries (node/link); ambience is immersive osmotic choric","Ch3"
disclosure,depends_on,ontological,withdrawal,"Withdrawal is the condition of possibility for ongoing disclosure; every unconcealing is also a concealing","Ch5;Ch7;Ch8;Conc"
disclosure,operationalizes,ontological,ambient rhetoric,"Disclosure is the mechanism through which ambient rhetoric operates","Ch5;Ch6;Conc"
dwelling,depends_on,ontological,fourfold,"Dwelling takes its bearings from manifests and cultivates attunement to the fourfold","Ch7;Ch8"
dwelling,explains,ontological,ethos,"Ethos reconceived as the making of a dwelling place; things are integral to ethos","Ch7;Ch8"
dwelling,supports,ontological,sufficiency,"Sufficiency emerges as a principle only insofar as abstracted from already ongoing dwelling","Ch8"
dwelling,contrasts_with,ontological,efficiency,"Efficiency is the ambient logic of modernity that forecloses genuine dwelling","Ch8"
fourfold,explains,ontological,thing/gathering,"Things gather the fourfold; the jug stays the fourfold in Heidegger's analysis","Ch7"
