source,relation,target,locus,note
bor-sec-48,defines,THEME:phenomenologys-measure-of-evidence,pp.69-71,"chapter's governing thesis: BT revises phenomenology's own criterion of evidence, not only its ontological categories"
§2,extends-reading-of,INTERLOCUTOR:Edmund Husserl,pp.72-77,reconstructs Husserl's Principle of All Principles and the apodictic-certainty ideal as the target BT will radicalize
§2,cites,INTERLOCUTOR:Taylor Carman,p.73,Kant's 'epistemic conditions' / Heidegger's 'hermeneutic conditions' analogy (Carman 2003)
§2,defines,TERM:resoluteness (Entschlossenheit),pp.74-75,methodological analogue of Husserl's epoché: the normative switch that licenses reinterpretation and grounds transcendental knowledge
§3.2,extends-reading-of,INTERLOCUTOR:Philipp Berghofer,pp.77-79,adopts Berghofer's classification of Husserl as a mentalist evidentialist in Conee & Feldman's technical sense
§3.2,defines,THEORY-MODEL:mentalist evidentialism,pp.77-79,evidence determines justification; evidence consists of mental states; one's ultimate evidence is internal to one's own experience
§3.2,instances-in-text,TERM:unconscious anxiety as non-justifier,pp.78-79,"Berghofer's example: an unconscious, indeterminate state of anxiety may be a mental state but not a justifier -- weak/incidental parallel to FCM's own refusal of the conscious/unconscious framing for attunement"
§4.1,contests-reading-of,INTERLOCUTOR:Edmund Husserl,pp.79-82,Heidegger's angst-based evidence juxtaposed against and displacing Husserl's reflective/originary-intuition beginning
§4.1,defines,CLAIM:angst-satisfies-BTs-disclosure-requirement,p.81,anxiety nominated by Heidegger (SZ 182) as the phenomenon exhibiting Dasein's primordial totality of Being
§4.2.1,defines,TERM:care for certainty (Sorge um die Gewissheit),pp.83-85,"Heidegger's diagnosis, in the 1923/24 IPR lectures, of the Cartesian tendency organizing Husserl's phenomenology"
§4.2.1,cites,INTERLOCUTOR:Rene Descartes,pp.84-86,genealogical source of the care-for-certainty and clarity/distinctness criteria Husserl inherits
§4.2.2,cites,TERM:clarity and distinctness (Descartes),pp.85-86,Descartes' non-localized-pain example used to show moods fail the distinctness criterion for evidence
§4.2.3,defines,CLAIM:reflection-distorts-affective-phenomena,pp.86-88,"Husserl's care-for-certainty, operative via reflection, 'mangles' evidence for anxiety, joy, terror (IPR 209, 220)"
§4.3,defines,CLAIM:moods-methodologically-significant-in-BT,pp.89-91,disposition/mood is 'methodologically significant in principle' (SZ 139); lack of mood is never simply nothing (SZ 134)
§4.4,defines,CLAIM:authentic-certainty-of-resoluteness,pp.91-93,Being-certain about death cannot be computed by ascertaining cases; not part of the present-at-hand's graded evidentiary order (SZ 264-265)
§4.4,instances-in-text,TERM:das Nichts (the nothing) / Being-towards-death,"pp.71,92-93",angst discloses Dasein face to face with the nothing; the possibility of impossibility of existence
§5,qualifies,CLAIM:heidegger-as-quasi-evidentialist,pp.93-94,"Heidegger rejects epistemology's/certainty's priority over ontology but still needs a positive notion of evidence, else the project collapses"
§5,defines,CLAIM:angst-not-a-mental-state,pp.94-95,"Befindlichkeit better translated 'disposition' than 'state-of-mind'; neither a state nor mental, precognitive, felt by the moving body"
§5,defines,CLAIM:angst-not-internal-to-subject,pp.95-97,"mood assails 'neither from inside nor outside' (SZ 136); angst reveals self-and-world togetherness, not a bounded subject's internal state"
§5,cites,INTERLOCUTOR:Steven Crowell,pp.96-97,"Heidegger's affectedness contests Husserl's residual individualism, rationalism (theoretism), and internalism (Crowell 2013)"
§5,cites,INTERLOCUTOR:Stephen Mulhall,pp.95-96,"quoted on moods as revelatory of world and Dasein together, not merely of an inner state"
§5,defines,CLAIM:everyday-displacement-of-angst-into-fear,pp.92-93,"the 'they' transforms anxiety into fear of a determinate event, banishing angst from the epistemological frame (SZ 254)"
bor-sec-48,shifts-debate-axis,DEBATE-AXIS:mentalist-evidentialism-vs-quasi-evidentialism,pp.93-97,"chapter's organizing debate: is phenomenological evidence necessarily mentalist/internalist, or can a non-mental-state mood ground knowledge?"
n.8,instances-in-text,DEBATE-AXIS:Befindlichkeit-translation,pp.98-102,extended engagement with the same translation debate as bor-sec-02; Hadjioannou defends 'disposition' via an Aristotelian διάθεσις homology
n.8,cites-cluster-author,bor-sec-02,pp.98-102,sustained engagement with Elpidorou & Freeman's 'Affectivity in Heidegger I' survey of Befindlichkeit translations
n.8,contests-reading-of,bor-sec-02,pp.99-101,contests Elpidorou & Freeman's reasons for leaving Befindlichkeit untranslated; argues 'disposition' is adequate given the διάθεσις homology
n.7,cites-cluster-author,bor-sec-51,p.98,cites Katherine Withy's 'The Methodological Role of Angst in Being and Time' (2012) approvingly for angst's specifically methodological significance
n.8,cites-cluster-author,bor-sec-49,p.101,"counts Daniel Dahlstrom (2001) among scholars translating Befindlichkeit as 'disposition,' alongside Carman and Wrathall"
bor-sec-48,cites,AUTHOR:Christos Hadjioannou (self-citation),"pp.80,101",cites own prior work: Hadjioannou 2018 on Heidegger's critique of Husserl's reductive method; Hadjioannou 2013 on Befindlichkeit as Aristotelian διάθεσις
bor-sec-48,bridges-to-fcm,fcm-03-awakening-18c,fcm-03 p.62 vs Hadjioannou pp.86-88 (IPR 220),"P/anticipatory-application: both texts hold that reflective objectification distorts/destroys the affective phenomenon it would grasp -- FCM's 'ascertaining' an attunement vs. Heidegger's 'reflection' mangling anxiety/joy/terror; structural parallel across two Heidegger lecture courses, not the chapter's own claim"
bor-sec-48,bridges-to-fcm,fcm-03-awakening-18c,fcm-03 p.68 vs Hadjioannou p.90 (SZ 134),P/anticipatory-application: both units build on the identical BT passage (SZ 134-138) that Dasein is always already attuned and lack-of-mood is never simply nothing
bor-sec-48,bridges-to-fcm,fcm-03-awakening-18c,fcm-03 pp.60-62 (§16b) vs Hadjioannou pp.78-79 (Berghofer),"P/anticipatory-application (weak/incidental): both texts refuse to let conscious/unconscious settle the evidentiary or ontological status of an affective phenomenon, though for different reasons"
bor-sec-48,bridges-to-fcm,fcm-06-third-form,Hadjioannou pp.91-93 (SZ 264-265) vs FCM pp.136-146,P/anticipatory-application (exploratory): the non-apodictic evidentiary argument for angst's disclosure of Dasein's totality is the argument-form profound boredom's own totalizing disclosure would require; chapter does not extend to boredom itself
bor-sec-48,treats-construct,CONSTRUCT:profound/deep boredom (FCM 3rd form),n/a (P/anticipatory-application only),"required construct-floor link, honestly flagged as OUR analogical construction; chapter contains zero mentions of boredom or Langeweile"
bor-sec-48,treats-construct,CONSTRUCT:temporality of boredom (time-drag),"n/a (P/anticipatory-application, weak analogy)",chapter's account of authentic temporality in anticipatory resoluteness (SZ 304-307) is the general temporal-disclosure structure of which boredom-specific time-drag would be a special case; not addressed by the chapter
