source,target,relation,domain,weight,units,evidence
ousia,to_on,is_meaning_of,ontological,0.95,"META-03,META-04,META-05","Substance is the primary sense of being; the question 'what is being?' reduces to 'what is substance?' (Gamma.2 1003a33-b19; Z.1 1028a10-b7)"
ousia,to_ti_en_einai,depends_on,ontological,0.90,"META-05,META-06","Substance is specified by essence: the essence is what a thing is in virtue of itself and belongs primarily to substance (Z.iv 1029b14)"
to_ti_en_einai,ousia,refines,ontological,0.90,"META-06","Each primary self-subsistent thing is identical with its essence; separation generates infinite regress (Z.vi 1031b20)"
eidos,ousia,is_meaning_of,ontological,0.95,"META-06,META-09","Z.xvii concludes substance in the primary sense is form — the cause by reason of which matter is a determinate thing (1041b25)"
hyle,eidos,presupposes,ontological,0.90,"META-06,META-07","Matter is the capacity for receiving form; generation is from matter into form (Z.vii 1032a20; Eta.6 1045b17)"
hyle,dynamis,operationalizes,ontological,0.85,"META-07,META-09","Matter just is potentiality in the domain of substance; the proximate substratum is potentially each thing (Lambda.2 1069b3-15)"
energeia,dynamis,contrasts_with,ontological,0.95,"META-07,META-09","Actuality is prior to potentiality in formula time and substance; if only potential things existed nothing need ever have been actual (Theta.8 1049b3-1051a2)"
energeia,kinesis,contrasts_with,ontological,0.90,"META-07","Complete actualities (seeing thinking) distinguished from incomplete movements (learning building) by the tense test (Theta.6 1048b18-35)"
energeia,telos,depends_on,teleological,0.85,"META-07","The actuality is the end and potentiality is acquired for the sake of the actuality (Theta.8 1050a7-15)"
synolon,eidos,depends_on,ontological,0.85,"META-06,META-07","The composite depends on form as its determining principle; what is generated is form-in-matter not form alone (Z.viii 1033b)"
synolon,hyle,depends_on,ontological,0.85,"META-06,META-07","The composite depends on matter as its substrate; all generated things have matter (Z.vii 1032a20)"
genesis,synolon,explains,ontological,0.85,"META-06","Generation produces the composite never the form itself (Z.viii 1033b)"
genesis,eidos,presupposes,ontological,0.85,"META-06","Generation presupposes form: form must pre-exist in actuality in the soul of the maker or parent (Z.vii-ix 1032b-1034b)"
to_on_hei_on,ousia,depends_on,ontological,0.95,"META-03,META-05","Being qua being depends on substance as focal meaning; all senses of being refer to ousia (Gamma.2 1003a33-b19)"
pros_hen,ousia,operationalizes,methodological,0.85,"META-03","Focal meaning structure operationalizes the primacy of substance by showing how all senses of being refer to it (Gamma.2 1003a33-b5)"
PNC,to_on_hei_on,presupposes,logical,0.90,"META-03,META-08","PNC holds for all beings as such; it belongs to the science of being qua being (Gamma.3 1005a19-b34)"
elenctic_demonstration,PNC,supports,methodological,0.85,"META-03","Elenctic argument defends PNC by showing any meaningful speech presupposes it (Gamma.4 1006a11-1009a5)"
ousia,symbebekos,contrasts_with,ontological,0.85,"META-03,META-04","PNC-denial collapses the substance/accident distinction; their contrast is essential to ontological structure (Gamma.4 1007a20-b18)"
unmoved_mover,energeia,is_meaning_of,ontological,0.95,"META-09","The unmoved mover's very substance is actuality; it is purely actual with no admixture of potentiality (Lambda.6 1071b20)"
