source_id,relation,target_id,domain,centrality_tier,book_page,provenance,notes
IG-00:involvement-as-umbrella,defines,IG-00:six-dimensions-preview,game-studies,1,4,text-anchored,"Lines 119-136 — involvement umbrella covers the six dimensions named in tight succession with one-clause glosses"
IG-00:involvement-as-umbrella,defines,IG-00:macro-micro-preview,game-studies,1,4,text-anchored,"Lines 110-118 — PIM spans macro (off-line) and micro (moment-to-moment) phases; involvement is the genus spanning both"
IG-00:involvement-as-umbrella,extends,IG-00:incorporation-preview,game-studies,1,3,text-anchored,"Lines 79-82 — incorporation is the most intensified and internalized blend of involvement dimensions; species within the involvement genus"
IG-00:presence-immersion-quandary,defines,IG-00:incorporation-preview,virtual-worlds-theory,1,3,text-anchored,"Lines 79-87 — incorporation announced as the book's answer to the presence/immersion quandary"
IG-00:incorporation-preview,defines,IG-00:incorporation-as-metaphor,virtual-worlds-theory,2,3,text-anchored,"Lines 83-87 — Calleja concedes incorporation is 'ultimately a metaphor like presence or immersion' but claims it avoids problematic connotations and is more robust scaffolding"
IG-00:incorporation-preview,defines,IG-00:blending-of-experiential-phenomena,virtual-worlds-theory,1,3,text-anchored,"Lines 75-79 — presence/immersion reframed as blending of experiential phenomena, not stand-alone phenomena"
IG-00:incorporation-preview,defines,IG-00:intensified-internalized-blend,virtual-worlds-theory,1,3,text-anchored,"Lines 79-82 — culmination requires both intensification AND internalization (two operative criteria, thresholds unspecified at Intro level)"
IG-00:subjective-distance,defines,IG-00:virtual-environment-habitation,virtual-worlds-theory,1,2,text-anchored,"Lines 63-66 — shortening of subjective distance yields sensation of inhabiting the on-screen space; habitation is the surviving metaphor"
IG-00:cybernetic-circuit,defines,IG-00:cybernetic-native-standpoint,game-studies,2,2,text-anchored,"Lines 35-44 — Calleja positions himself as first-generation cybernetic native; the Gzira vignette grounds the authorial standpoint"
IG-00:pim-preview,announces,IG-03:player-involvement-model,game-studies,1,2,text-anchored-forward-pointer,"Lines 56-66 — PIM announced as ranging from general motivations to moment-to-moment gameplay; full elaboration in Ch.3"
IG-00:six-dimensions-preview,announces,IG-04:kinesthetic-involvement,game-studies,1,4,text-anchored-forward-pointer,"Line 130 — 'control and movement (kinesthetic involvement)' named with one-clause gloss; full elaboration in Ch.4"
IG-00:six-dimensions-preview,announces,IG-05:spatial-involvement,game-studies,1,4,text-anchored-forward-pointer,"Lines 130-131 — 'exploration and learning of the game's spatial domain (spatial involvement)'; full elaboration in Ch.5"
IG-00:six-dimensions-preview,announces,IG-06:shared-involvement,game-studies,1,4,text-anchored-forward-pointer,"Lines 131-133 — 'co-presence, collaboration, and competition with other agents (human or AI)'; full elaboration in Ch.6"
IG-00:six-dimensions-preview,announces,IG-07:narrative-involvement,game-studies,1,4,text-anchored-forward-pointer,"Lines 133-134 — 'formation of an ongoing story and interaction with the scripted narrative (narrative involvement)'; full elaboration in Ch.7"
IG-00:six-dimensions-preview,announces,IG-08:affective-involvement,game-studies,1,4,text-anchored-forward-pointer,"Lines 134-135 — 'affect generated during gameplay (affective involvement)'; full elaboration in Ch.8"
IG-00:six-dimensions-preview,announces,IG-09:ludic-involvement,game-studies,1,4,text-anchored-forward-pointer,"Lines 135-136 — 'decision making undertaken in the pursuit of both game- and self-assigned goals (ludic involvement)'; full elaboration in Ch.9"
IG-00:macro-micro-preview,announces,IG-03:macro-micro-temporal-phase,game-studies,1,4,text-anchored-forward-pointer,"Lines 110-118 — macro (off-line: initial attraction, returning, community, off-line planning) vs. micro (moment-to-moment); full elaboration in Ch.3"
IG-00:incorporation-preview,announces,IG-10:incorporation,game-studies,1,4,text-anchored-forward-pointer,"Lines 137-146 — Ch.10 will argue incorporation avoids the four challenges and emerges from combinations of PIM dimensions; two participant-reported incorporating experiences forward-pointed"
IG-00:four-conceptual-challenges-preview,announces,IG-02:four-conceptual-challenges,virtual-worlds-theory,1,3,text-anchored-forward-pointer,"Lines 103-107 — Ch.2 will outline four challenges for understanding presence/immersion in game research; challenges NOT enumerated in Intro"
IG-00:family-resemblance-preview,announces,IG-01:wittgensteinian-family-resemblance,game-studies,2,3,text-anchored-forward-pointer,"Lines 88-102 — Ch.1 will refuse essentialist definition via family-resemblance approach; Wittgenstein not named in Intro"
IG-00:holistic-common-framework,announces,IG-11:conclusion,game-studies,2,5,text-anchored-forward-pointer,"Lines 158-161 — PIM offered as common holistic framework for further research; methodological-reflection + future-research agenda in Ch.11"
IG-00:cybernetic-circuit,instances-in-text,IG-00.G1:kick-off,game-studies,3,2,text-anchored,"Lines 33-37 — Kick-Off (Dini 1989) as exemplar of digital game with machine-upheld rules; passing-illustrative in Gzira vignette"
