source,relation,target,locus,note
bor-sec-11,treats-construct,being-bored-by (1st form),pp.203-207,"My Own Private Idaho (Van Sant) + Tarkovsky's The Killers dramatize Hingehaltenheit/Leergelassenheit as waiting, clock-watching, and failed Zeitvertreib (FE)."
bor-sec-11,treats-construct,being-bored-with (2nd form),pp.207-211,"The Dead (Huston/Joyce) + Hour of the Wolf (Bergman): the pastime becomes coextensive with the occasion itself, producing an extended present and Unheimlichkeit (FE)."
bor-sec-11,treats-construct,profound/deep boredom (FCM 3rd form),pp.211-214,"White Nights (Visconti/Dostoevsky) stages 'es ist einem langweilig' on an anonymous Sunday afternoon where no pastime is even possible (FE)."
bor-sec-11,treats-construct,temporality of boredom (time-drag),"pp.204-206, 214-216","Zeitvertreib etymology ('driving time along'), clock-checking as symptom of failed pastime, and the kairological Augenblick contrasted with chronological time (FAITHFUL-HERNÁNDEZ ALBARRACÍN, pp.204-206, 214-216)."
bor-sec-11,treats-construct,monotony / meaninglessness,pp.216-219,"Modern technological/entertainment 'overflow' is diagnosed as producing meaninglessness while marketing itself as escape from boredom (FE)."
bor-sec-11,contests,boredom-as-regulatory-signal (functional account),p.195,"Rejects the causal-psychological model that treats mood as an internal state with a specific external cause, 'to be analyzed psychologically... to determine the factors that forged [a] neurosis' (FE, p.195)."
bor-sec-11,treats-construct,situational vs. trait/state boredom,pp.195-196,"Distinguishes 'aburrimiento' from 'aburribilidad' (boringness) to resist any state/trait causal framing of mood entirely; aburribilidad is ontological-structural, not diagnosable (FE)."
bor-sec-11,qualifies,flow/engagement (contrast pole),pp.209-211,"The Bergman dinner-party pastime is itself shown relapsing into boredom rather than escaping it, complicating any simple engagement/boredom binary (FE)."
bor-sec-11,treats-construct,mind-wandering / task-unrelated thought,p.206,"Clock-checking and 'looking toward nothing in particular' gesture at attentional disengagement, though undertheorized relative to cognitive-science treatments (FE)."
bor-sec-11,treats-construct,attentional disengagement / meta-awareness,p.213,"The White Nights stroller's diffuse, near-invisible observation of the anonymous crowd on a silent Sunday (FE)."
bor-sec-11,bridges-to-fcm,fcm-04-first-form,FCM book pp.78-105,"First form (being-bored-by) is explicated by fcm-04's train-station/Zeitvertreib apparatus; this source's film pair (My Own Private Idaho, The Killers) is an illustrative gloss substituting road/bar for station, not a re-argument of FCM's own structure (P/anticipatory-application)."
bor-sec-11,bridges-to-fcm,fcm-05-second-form,FCM book pp.106-131,"Second form (being-bored-with) — this source's party-scene films (The Dead, Hour of the Wolf) map onto fcm-05's Sichlangweilen bei etwas, where the pastime dissolves into the occasion itself (P/anticipatory-application)."
bor-sec-11,bridges-to-fcm,fcm-06-third-form,FCM book pp.132-159,"Third form (es ist einem langweilig) — this source's White Nights reading maps onto fcm-06's profound boredom and its total refusal of beings-as-a-whole (P/anticipatory-application)."
bor-sec-11,bridges-to-fcm,fcm-07-particular-profound,FCM book pp.160-168,"This source's own framing thesis — Langweiligkeit as the Grundstimmung of our era — directly restates fcm-07's subject matter, 'a particular profound boredom' as the fundamental attunement of contemporary Dasein, though never cited by FCM section number (P/anticipatory-application)."
bor-sec-11,cites,Escudero,"pp.198, 215-216","Cites Escudero (2007, 2014) on affects stigmatized since Plato/Descartes and on the epochal-Grundstimmung claim that being manifests through moods such as dread, joy, or boredom."
bor-sec-11,cites,Svendsen,"pp.199-201, 209-210","Cites Svendsen's Filosofía del tedio on Kierkegaard's account of tedium, on transparency/extremity in modern entertainment, and on clock-watching as the proclamation of failed pastime."
bor-sec-11,cites,Löwith,"pp.211-212, 215","Cites Löwith on the demand that 'man remember himself' and on resolute selfhood as authentic self-sameness opposed to das Man."
bor-sec-11,cites,Held,"pp.196, 219","Cites Held on the fundamental attunement disclosing the totality of one's historical situation and on Dasein's potentiality-for-being (Seinkönnen)."
bor-sec-11,cites,Foucault,pp.216-217,"Invokes Foucault's 'cuidado de sí' (self-care) register from the Rux Martin interview to gloss authentic self-relation against das Man's public discourse."
bor-sec-11,cites,Wittgenstein,pp.196-197,"Invokes the Tractatus's 'world of the happy is different from the world of the unhappy' as a relational analogue for mood-constituted worldhood, against subjectivized readings of mood."
bor-sec-11,instances-in-text,temporality of boredom (time-drag),pp.204-207,"My Own Private Idaho's opening road scene and Tarkovsky's Killers bar scene furnish concrete images of Hingehaltenheit and failed Zeitvertreib (the repeated clock-check)."
bor-sec-11,instances-in-text,being-bored-with (2nd form),pp.207-211,"Huston's The Dead (post-party emptiness sensed only afterward) and Bergman's Hour of the Wolf (the castle dinner) furnish concrete images of Sichlangweilen bei etwas."
bor-sec-11,instances-in-text,profound/deep boredom (FCM 3rd form),pp.211-214,"Visconti's White Nights (the anonymous Sunday-afternoon stroller newly arrived in the city) furnishes the concrete image of es ist einem langweilig."
bor-sec-11,cites,Mendieta Rodríguez,p.213,"Cites Mendieta Rodríguez (2019) on the anonymous bored observer and on chronic ennui as a literary/cinematic topos, drawing a parallel to that author's own study of La grande bellezza (Sorrentino, 2013)."
bor-sec-11,cites,Hernández Albarracín (self-citation),"pp.201-202, 219","Co-author self-cites his 2012 study of Langeweile in Alejandra Pizarnik's poetry and his 2016 Heidegger-to-Morin complexity study to underwrite the 'aporía de la existencia' framing and prior work on boredom."
bor-sec-11,cites,Álvarez González (self-citation),p.216,"Co-author self-cites his 2018 doctoral dissertation on autonomous weapons systems as the originating source of the 'desbordamiento tecnológico' (technological overflow) concept applied here to boredom."
bor-sec-11,cites,Vattimo,pp.219-220,"Closes with Vattimo's account of Heidegger as 'polarized' between attention to individual experience (anxiety, death, care) and belonging to world-as-totality, framing declared future work on solitude and finitude."
bor-sec-11,cites,Ritsos,p.217,"Quotes Yannis Ritsos's poem on the indifferent passer-by (≤12 words) to figure technology's blank passing-by of the very Dasein it overflows."
bor-sec-11,extends-reading-of,bor-sec-10,n/a,"(P/anticipatory-application) Quaranta's 'In the Mood for Heideggerian Boredom: Film Viewership as Being-in-the-World' (2024) shares this source's cinema-Heidegger method but treats spectatorship itself, whereas this 2022 source treats film content as exemplary image for each form; the two units form the cluster's 'cinema strand' within Strand A. Chronologically the 2022 source could not have cited the 2024 paper -- this edge records a thematic, not citational, relation."
bor-sec-11,bridges-to-part-iii,Part III (dissertation),n/a,"(P/anticipatory-application) The technological-overflow (desbordamiento tecnológico) thesis offers a conceptual lens for comparing the survey's VR-lab and 2D-deployment poles as two different modes of technological enclosure of Dasein's possibility-horizon; the source itself never mentions VR or empirical attention studies."
bor-sec-11,bridges-to-part-iii,Part III (dissertation),n/a,"(P/anticipatory-application) The source's anti-causalist/anti-clinical stance on mood is a methodological caution against conflating Strand D/E physiological indices (EEG, gaze) with the Grundstimmung itself -- physiological signal may track ontic pastime-management (clock-checking, gaze-drift), not the attunement's disclosive structure."
bor-sec-11,grounds-measure,Boredom Experiment (VR Attention Study),n/a,"****** UNVERIFIED: dataset cluster not yet built. If built, this source's technological-overflow thesis could motivate a VR-vs-2D condition contrast; flagged only, not asserted by the source (P/anticipatory-application)."
bor-sec-11,shifts-debate-axis,boredom-as-regulatory-signal (functional account),pp.195-196,"(P/anticipatory-application) This source's disclosive/ontological account of mood sits opposite the evolutionary-regulatory account grounding bor-sec-25/bor-sec-26 (Elpidorou); flags a Strand A/C debate axis for future cluster synthesis rather than resolving it here."
