source,relation,target,locus,note
Thomas Wendt,cites,Heidegger 2008 (Being and Time),(p.148 / pdf 150),core ontological frame — Dasein/being-in-the-world for design
Thomas Wendt,cites,Heidegger 1982 (Question Concerning Technology),(p.142 / pdf 144),enframing/technology critique most-cited Heidegger essay in notes
Thomas Wendt,cites,Heidegger 1988 (Basic Problems of Phenomenology),(p.144 / pdf 146),productive comportment and equipment ontology
Thomas Wendt,cites,Heidegger 2001 (Poetry Language Thought),(p.146 / pdf 148),"the thing" and dwelling for object/world analysis
Thomas Wendt,cites,Heidegger 1976 (What Is Called Thinking?),(p.134 / pdf 136),thinking-vs-making contrast (Mitcham counterpoint)
Thomas Wendt,cites,Heidegger 1977 (Building Dwelling Thinking),(p.140 / pdf 142),dwelling as ground for design comportment
Thomas Wendt,cites,Krippendorff 2004 (The Semantic Turn),(p.193 / pdf 195),anchor for design = making sense of things; most-cited design source
Thomas Wendt,cites,Krippendorff 1989 (Design is making sense of things),(p.190 / pdf 192),semantic foundation of design meaning
Thomas Wendt,cites,Cross 2011 (Design Thinking),(p.45 / pdf 47),designerly cognition / how designers think
Thomas Wendt,cites,Cross 2006 (Designerly Ways of Knowing),(p.44 / pdf 46),epistemology of design practice
Thomas Wendt,cites,Rittel and Webber 1973 (Dilemmas / wicked problems),(p.266 / pdf 268),wicked-problems basis for design-thinking thread
Thomas Wendt,cites,Buchanan 1995 (Rhetoric Humanism and Design),(p.36 / pdf 38),rhetorical/humanist framing of design
Thomas Wendt,cites,Buchanan 1992 (Wicked Problems in Design Thinking),(p.34 / pdf 36),wicked-problems in design thinking
Thomas Wendt,cites,Verbeek 2005b (What Things Do),(p.312 / pdf 314),core post-phenomenology of technological mediation
Thomas Wendt,cites,Verbeek 2005a (Artifacts and Attachment),(p.308 / pdf 310),mediation/attachment philosophy
Thomas Wendt,cites,Verbeek 2008 (Cyborg Intentionality),(p.318 / pdf 320),human-technology relations / intentionality
Thomas Wendt,cites,Verbeek and Kockelkoren 1998 (The Things That Matter),(p.306 / pdf 308),things that matter — mediation lineage
Thomas Wendt,cites,Ihde 1990 (Technology and the Lifeworld),(p.153 / pdf 155),foundational post-phenomenology of technics
Thomas Wendt,cites,Ihde 2008 (The Designer Fallacy),(p.156 / pdf 158),designer-fallacy critique central to Wendt's anti-intentionalism
Thomas Wendt,cites,Ihde 2010 (Heidegger's Technologies),(p.165 / pdf 167),postphenomenological reading of Heidegger
