edge_id,source,relation,target,domain,book_pp,provenance,note
E01,IG-07-NARRATIVE,defines,Alterbiography,game-studies,"115, 124-125",calleja-exegetical,Calleja's signature term — italicized definitional prose at p.115 + dedicated subsection p.124
E02,IG-07-NARRATIVE,defines,Scripted-narrative,game-studies,"115, 120-121",calleja-exegetical,Story content/structures explicitly written into the game by designers
E03,Alterbiography,instances-in-text,Alterbiography-of-self,game-studies,126,calleja-exegetical,First-person disposition focalization (Fallout 3 / Mount and Blade)
E04,Alterbiography,instances-in-text,Alterbiography-of-entity,game-studies,125-126,calleja-exegetical,Third-person disposition focalization (Max Payne / Fahrenheit)
E05,Alterbiography,instances-in-text,Alterbiography-of-miniatures,game-studies,125,calleja-exegetical,Managerial/collective focalization (Age of Empires / SimCity / Medieval II:TW)
E06,Alterbiography,extends,Focalization-Genette,game-studies,124-125,calleja-exegetical,Extends Genette's literary focalization concept to game environments via player disposition
E07,Scripted-narrative,instances-in-text,Push-narrative,game-studies,122-123,calleja-exegetical,Cut scenes / quick-time events — captive audience delivery (Levine 2008)
E08,Scripted-narrative,instances-in-text,Pull-narrative,game-studies,123-124,calleja-exegetical,Designer-embedded narrative requiring player elicitation (Bioshock audio diaries)
E09,Pull-narrative,operationalizes-via-game,Bioshock-2K-2008,game-studies,123,calleja-exegetical,Tape recorders in Rapture as paradigm pull elements
E10,Push-narrative,operationalizes-via-game,Half-Life-Valve-2004,game-studies,123,calleja-exegetical,Player-restricted-movement during cut scenes
E11,Scripted-narrative,instances-in-text,Scripted-narrative-structures-of-progression,game-studies,121-122,calleja-exegetical,Linear / branching / open / no-main-line typology
E12,Scripted-narrative-structures-of-progression,operationalizes-via-game,Halo-3-Bungie-2007,game-studies,121-122,calleja-exegetical,Linear progression paradigm
E13,Scripted-narrative-structures-of-progression,operationalizes-via-game,Fallout-3-Bethesda-2008,game-studies,122,calleja-exegetical,Branching backbone with side quests paradigm
E14,Scripted-narrative-structures-of-progression,operationalizes-via-game,World-of-Warcraft-Blizzard-2004,game-studies,122,calleja-exegetical,No-main-story-with-side-quests-only paradigm
E15,Alterbiography,operationalizes-via-game,World-of-Warcraft-Blizzard-2004,game-studies,128 132,calleja-exegetical,Two interview-quote disposition contrast + Figure 7.2 Muun episodes (Appendix tie)
E16,Alterbiography,operationalizes-via-game,The-Elder-Scrolls-IV-Oblivion-2006,game-studies,127-131,calleja-exegetical,Scripted-to-open-world transition + Redguard/Breton representation-without-simulation
E17,Alterbiography,operationalizes-via-game,Grand-Theft-Auto-IV-Rockstar-2008,game-studies,117-119,calleja-exegetical,Nico/Roman/Michelle extended walkthrough as anchor example
E18,Alterbiography,operationalizes-via-game,Max-Payne-Rockstar-2001,game-studies,125,calleja-exegetical,Third-person alterbiography-of-entity paradigm
E19,Scripted-narrative,operationalizes-via-game,Max-Payne-Rockstar-2001,game-studies,115,calleja-exegetical,Flashbacks/flashforwards as scripted-narrative — anti-Juul example
E20,Scripted-narrative,operationalizes-via-game,Call-of-Duty-IV-Infinity-Ward-2007,game-studies,115,calleja-exegetical,Single chapter set years before main events — anti-Juul example
E21,Alterbiography,operationalizes-via-game,Bioshock-2K-2008,game-studies,132-133,calleja-exegetical,Steinman scripted-becomes-alterbiography paradigm (Figure 7.3)
E22,Scripted-narrative,qualifies,Alterbiography,game-studies,131-133,calleja-exegetical,Not mutually exclusive — alterbiography integrates scripted-narrative elements relating to focalized entity
E23,Calleja,contests,Juul-2001-story-time-discourse-time-collapse,game-studies,114-115,calleja-exegetical,Juul slides between two senses of narrative; the proper distinction is scripted vs alterbiography
E24,Calleja,contests,Eskelinen-2004-anti-narrative,game-studies,115-116,calleja-exegetical,Eskelinen's argument self-undermining — invokes Genette+Prince to deny their applicability
E25,Calleja,extends,Ryan-2006-cognitive-mental-construct-narrative,game-studies,"114, 119, 128",calleja-exegetical,Ryan's reframing is Calleja's primary corrective to Juul+Eskelinen
E26,Calleja,extends,Salen-Zimmerman-emergent-embedded-narrative,game-studies,117,calleja-exegetical,Endorses framework but narrows via cybertextual-qualities constraint
E27,Calleja,contests,Salen-Zimmerman-poker-example,game-studies,117-119,calleja-exegetical,Poker-bluff thoughts do NOT count as narrative experience absent fictional environment
E28,Calleja,concedes,Aarseth-Cybertext-ergodic-anchoring,game-studies,"117, 120",calleja-exegetical,Endorses anchoring narrative in mechanical/coded structures of ergodic texts
E29,Calleja,qualifies,Pearce-2004-six-operators,game-studies,116-117,calleja-exegetical,Framework flagged as over-general (tic-tac-toe + basketball + Sims)
E30,Calleja,qualifies,Jenkins-2004-environmental-storytelling,game-studies,119-120,calleja-exegetical,Useful but restricted to spatial dimension
