source_id,relation,target_id,domain,evidence_pdf_page,evidence_bekker_or_page,contributor,notes
PHX-08-PAPACHRISTOU,reads,Aristotle:DA-III.3,aristotle,10-15,427b14-429a8,Papachristou,Section II reads DA III.3 — the phantasia chapter; close attention to definition kath' hen and motion kinesis
PHX-08-PAPACHRISTOU,reads,Aristotle:DA-III.10,aristotle,17-19,433a9-433b30,Papachristou,Sensitive phantasia and appetite — ὀρεκτικὸν δὲ οὐκ ἄνευ φαντασίας
PHX-08-PAPACHRISTOU,reads,Aristotle:DA-III.11,aristotle,15-25,433b31-434a12,Papachristou,Central locus — imperfect animals indeterminate phantasia (433b31-434a5); calculative/deliberative phantasia (434a5-12)
PHX-08-PAPACHRISTOU,reads,Aristotle:DA-II.1-II.4,aristotle,3-7,412a19-416a20,Papachristou,Hylomorphic soul and faculty division (Section I)
PHX-08-PAPACHRISTOU,cites-locus,Aristotle:DA-428a1-2,aristotle,2,428a1-2,Papachristou,Definition of phantasia: faculty by which a phantasma is presented to us (kath' hen formula)
PHX-08-PAPACHRISTOU,cites-locus,Aristotle:DA-428a8-11,aristotle,20-22,428a8-11,Papachristou,Ant-bee-scolex puzzle; Papachristou accepts Torstrik emendation
PHX-08-PAPACHRISTOU,cites-locus,Aristotle:DA-428b11-13,aristotle,12,428b11-13,Papachristou,Phantasia as kinesis from actual sensation; not without aisthesis
PHX-08-PAPACHRISTOU,cites-locus,Aristotle:DA-427b18-19,aristotle,13,427b18-19,Papachristou,πρὸ ὀμμάτων ποιήσασθαι — mnemonist's voluntary visualization; signature locus for phantasia as visual imagery
PHX-08-PAPACHRISTOU,cites-locus,Aristotle:DA-431a16-17,aristotle,15,431a16-17,Papachristou,διὸ οὐδέποτε νοεῖ ἄνευ φαντάσματος ἡ ψυχή — soul never thinks without a phantasma
PHX-08-PAPACHRISTOU,cites-locus,Aristotle:DA-431b6-8,aristotle,25,431b6-8,Papachristou,ὥσπερ ὁρῶν λογίζεται — pictorial/quasi-pictorial content of calculative phantasmata
PHX-08-PAPACHRISTOU,cites-locus,Aristotle:DA-433b31-434a5,aristotle,15,433b31-434a5,Papachristou,SIGNATURE LOCUS — imperfect animals have phantasia but indefinitely (ἀορίστως)
PHX-08-PAPACHRISTOU,cites-locus,Aristotle:DA-434a5-12,aristotle,24-25,434a5-12,Papachristou,Sensitive vs. deliberative phantasia; ἓν ἐκ πλειόνων φαντασμάτων ποιεῖν
PHX-08-PAPACHRISTOU,cites-locus,Aristotle:DA-433b28-29,aristotle,18-19,433b28-29,Papachristou,ὀρεκτικὸν δὲ οὐκ ἄνευ φαντασίας — appetitive cannot exist without phantasia
PHX-08-PAPACHRISTOU,cites-locus,Aristotle:HistAnim-I.1-488a7-10,aristotle,20,488a7-10,Papachristou,Ants and bees as political animals — counter-textual support for ant-bee phantasia
PHX-08-PAPACHRISTOU,cites-locus,Aristotle:Metaph-I.1-980b22-25,aristotle,20,980b22-25,Papachristou,Bees are intelligent and have memory — counter-textual support
PHX-08-PAPACHRISTOU,cites-locus,Aristotle:DeMem-I-450a12-17,aristotle,22,450a12-17,Papachristou,Memory involves phantasia — closes the ant-bee argument
PHX-08-PAPACHRISTOU,cites-locus,Aristotle:DePartAnim-II.2-648a6-7,aristotle,20,648a6-7,Papachristou,Bees are more intelligent (φρονιμώτερα) than many other animals
PHX-08-PAPACHRISTOU,cites-locus,Aristotle:DA-II.1-412b5-6,aristotle,3,412b5-6,Papachristou,Soul as ἐντελέχεια ἡ πρώτη σώματος φυσικοῦ ὀργανικοῦ — hylomorphic foundation
PHX-08-PAPACHRISTOU,cites-locus,Aristotle:DA-III.5-430a14-15,aristotle,6,430a14-15,Papachristou,Passive mind which becomes all things
PHX-08-PAPACHRISTOU,cites-locus,Aristotle:HistAnim-II.15-505b28-32,aristotle,22,505b28-32,Papachristou,Blooded animals classification (Table 4)
PHX-08-PAPACHRISTOU,cites-locus,Aristotle:DePartAnim-IV.5-678a27-31,aristotle,22,678a27-31,Papachristou,Bloodless animals classification (Table 4)
PHX-08-PAPACHRISTOU,cites-locus,Aristotle:EthNic-VI.13-1144a29-30,aristotle,13,1144a29-30,Papachristou,Eye of the soul — Tatakis citation for πρὸ ὀμμάτων reading
PHX-08-PAPACHRISTOU,depends-on,Aquinas:Sentencia-libri-De-anima-Liber-II,medieval,16-17,Corpus-Thomisticum-Taurini-1959-ed-Busa,Papachristou,LOAD-BEARING — Aquinas's Latin distinction phantasia indeterminata + motus phantasiae + animalia imperfecta vs. perfecta is the foundational interpretive frame for the tripartite thesis
PHX-08-PAPACHRISTOU,depends-on,Aquinas:Commentary-On-the-Soul-Kocourek-trans-1946,medieval,20,Kocourek-1946-p-19,Papachristou,English translation of Aquinas's argument cited at fn. 67 for the retention criterion
PHX-08-PAPACHRISTOU,follows,Themistius:Paraphrasis-122.11-12,ancient_other,15-16,5.3.122.11-12,Papachristou,Imperfect animals imagine indeterminately (ἀορίστως); phantasia inarticulate (ἀδιάρθωτον) and confused (συγκεχυμένη)
PHX-08-PAPACHRISTOU,follows,Philoponus:DeAnima-592.26-29,ancient_other,16,15.592.26-29,Papachristou,Zoophytes have ἀορίστως phantasia; movement contracts/expands indefinitely
PHX-08-PAPACHRISTOU,follows,Philoponus:DeAnima-255.4-5,ancient_other,6,15.255.4-5,Papachristou,διανοητικόν as δυνάμει νοῦς (potential mind)
PHX-08-PAPACHRISTOU,cites-locus,Themistius:Paraphrasis-90.5-8,ancient_other,22,5.3.90.5-8,Papachristou,KEY ATTESTATION for Torstrik emendation — ants and bees yes scolex no
PHX-08-PAPACHRISTOU,cites-locus,Sophonias:Paraphrasis-55.27-32,ancient_other,22,55.27-32,Papachristou,KEY ATTESTATION for Torstrik emendation — ants and bees yes scolex no
PHX-08-PAPACHRISTOU,cites,Simplicius:InDeAnima-242.17-18,ancient_other,6,11.242.17-18,Papachristou,Passive mind as matter-like substratum
PHX-08-PAPACHRISTOU,cites,AlexanderOfAphrodisias:DeAnima-81.24-25,ancient_other,6,81.24-25,Papachristou,Passive mind as ὑλικός νοῦς (mind like matter)
PHX-08-PAPACHRISTOU,distinguishes-from,Plato:Sophist-264a-b3,ancient_other,12,264a4-b3,Papachristou,Aristotle's phantasia DIFFERS from Plato's account in Sophist of phantasia as 'mixture of sensation and judgement' (σύμμειξις αἰσθήσεως καὶ δόξης)
PHX-08-PAPACHRISTOU,emends-with,Torstrik:1862,modern_secondary,21-22,DA-428a10-11,Papachristou,Accepts Torstrik's emendation: 'δοκεῖ οἷον μύρμηκι μὲν ἢ μελίττη σκώληκι δ' οὔ' — supported by Themistius and Sophonias
PHX-08-PAPACHRISTOU,supported-by,Forbes:Silkworm-of-Aristotle-1930,modern_secondary,21,Classical-Philology-25.1-22-26,Papachristou,σκώληξ as first-stage larva not 'grub' — entomological identification essential for excluding scolex from phantasia
PHX-08-PAPACHRISTOU,cites,Ross:Aristotle-1923,modern_secondary,11-25,Routledge-1995-90-91,Papachristou,Ross's list of six phantasia functions; two kinds of desire; calculative imagination as monopoly of reasoning beings
PHX-08-PAPACHRISTOU,cites,Hicks:DA-1907,modern_secondary,22,Arno-1976-462-463,Papachristou,Hicks support for Torstrik emendation
PHX-08-PAPACHRISTOU,cites,Wallace:Aristotles-Psychology,modern_secondary,22,Arno-1976-263,Papachristou,Wallace support for Torstrik emendation
PHX-08-PAPACHRISTOU,cites,Polansky:DA-Critical-Commentary-2007,modern_secondary,9,Cambridge-2007-p-9,Papachristou,Order of soul-faculties from widely-shared to less-widely-shared
PHX-08-PAPACHRISTOU,agrees-with,Hamlyn:DA-1968,modern_secondary,21,Clarendon-1968-p-54,Papachristou,Hamlyn's claim it is doubtful Aristotle would have denied imagination to ants and bees
PHX-08-PAPACHRISTOU,cites,Schofield:Aristotle-on-Imagination-1978,modern_secondary,11,CUP-1978-99,Papachristou,Aristotle gave first extended analytical description of imagining as distinct faculty
PHX-08-PAPACHRISTOU,cites,Castoriadis:Imaginary-Institution-1975,modern_secondary,11,MIT-1998-174-175,Papachristou,Castoriadis's dissent: Aristotle's thematic treatment of imagination of little consequence next to its hidden operation
